Aaleniella                               | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Abbasites                                | Animal    | Mollusca                   | -174100000    | -170300000   | Abbasites
Abbasitoides                             | Animal    | Mollusca                   | -174100000    | -168300000   | <>
Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Acaeniotylopsis                          | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Acanthodesmia                            | Micro     | Radiolaria                 | -190800000    | -168300000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acanthostrophia                          | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Acanthothiris                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acanthothyropsis                         | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acastea                                  | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -171600000    | -167700000   | Achistrum
Acmaea                                   | Animal    | Mollusca                   | -174100000    | -163500000   | Acmaea
Acrocoelites                             | Animal    | Mollusca                   | -175600000    | -171600000   | Acrocoelites
Acrocythere                              | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Acrodus                                  | Animal    | Chordata                   | -171600000    | -168400000   | Acrodus
Acrosalenia                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -174100000    | -168300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Acteonina                                | Animal    | Mollusca                   | -171600000    | -164700000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Actinomma                                | Micro     | Radiolaria                 | -171600000    | -168400000   | <>
Actinostreon                             | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -171600000    | -164700000   | <>
Adeorbisina                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -174100000    | -168300000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Advenaster                               | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Aeger                                    | Animal    | Arthropoda                 | -175600000    | -171600000   | Aeger
Aequitriradites                          | Plant     | Bryophyta                  | -174100000    | -93500000    | <>
