Abietites                                | Plant     | Coniferophyta              | -112030000    | -109000000   | <>
Abydosaurus                              | Animal    | Chordata                   | -109000000    | -105300000   | Abydosaurus
Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Abyssomelania                            | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -105300000    | -99600000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthoceras                             | Animal    | Mollusca                   | -112030000    | -109000000   | Acanthoceras_(ammonite)
Acanthochaetetes                         | Animal    | Porifera                   | -112030000    | -109000000   | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -105300000    | -93900000    | <>
Acanthocnemoides                         | Animal    | Arthropoda                 | -113000000    | -93500000    | <>
Acanthogyra                              | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Acanthohoplites                          | Animal    | Mollusca                   | -112030000    | -109000000   | Acanthohoplites
Acastea                                  | Micro     | Radiolaria                 | -105300000    | -99600000    | <>
Acesta                                   | Animal    | Mollusca                   | -105300000    | -99600000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Achistrum                                | Animal    | Echinodermata              | -113000000    | -100500000   | Achistrum
Acicularia                               | Plant     | Chlorophyta                | -105300000    | -99600000    | Acicularia
Acila                                    | Animal    | Mollusca                   | -105300000    | -99600000    | Acila
Acixiites                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Acmaea                                   | Animal    | Mollusca                   | -122460000    | -112030000   | Acmaea
Acompsoceras                             | Animal    | Mollusca                   | -105300000    | -93900000    | Acompsoceras
Aconeceras                               | Animal    | Mollusca                   | -105300000    | -99600000    | Aconeceras
Acriaster                                | Animal    | Echinodermata              | -105300000    | -99600000    | <>
Acrocanthosaurus                         | Animal    | Chordata                   | -122460000    | -109000000   | Acrocanthosaurus
Acrodus                                  | Animal    | Chordata                   | -105300000    | -99600000    | Acrodus
Acroporella                              | Plant     | Chlorophyta                | -112030000    | -109000000   | <>
Acrorhizodus                             | Animal    | Chordata                   | -125000000    | -100500000   | Acrorhizodus
Acrosmilia                               | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -122460000    | -112030000   | <>
Acroteuthis                              | Animal    | Mollusca                   | -122460000    | -112030000   | Acroteuthis
Actaea                                   | Animal    | Arthropoda                 | -145000000    | -100500000   | Actaea_(crab)
Actenobius                               | Animal    | Arthropoda                 | -105300000    | -99600000    | Actenobius
Acteonella                               | Animal    | Mollusca                   | -105300000    | -99600000    | Acteonella
Acteon                                   | Animal    | Mollusca                   | -105300000    | -93900000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -109000000    | -99600000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -105300000    | -93500000    | <>
Actinoceramus                            | Animal    | Mollusca                   | -105300000    | -93900000    | Actinoceramus
Actinostromarianina                      | Animal    | Porifera                   | -105300000    | -93900000    | <>
Adelocoenia                              | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Adelodelphys                             | Animal    | Chordata                   | -105300000    | -93500000    | <>
Adinodon                                 | Animal    | Chordata                   | -113000000    | -100500000   | <>
Adiozoptyxis                             | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Adkinsella                               | Animal    | Cnidaria                   | -109000000    | -105300000   | <>
Adocus                                   | Animal    | Chordata                   | -105300000    | -99600000    | Adocus
Aeger                                    | Animal    | Arthropoda                 | -113000000    | -93900000    | Aeger
Aegyptidium                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Aegyptosaurus                            | Animal    | Chordata                   | -105300000    | -93500000    | Aegyptosaurus
Aequitriradites                          | Plant     | Bryophyta                  | -105300000    | -93500000    | <>
Aethocarabus                             | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Afrollonia                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Afromimus                                | Animal    | Chordata                   | -113000000    | -100500000   | Afromimus
Afropollis                               | Plant     | Angiospermae               | -105300000    | -93500000    | <>
Afrotapejara                             | Animal    | Chordata                   | -105300000    | -93900000    | Afrotapejara
Agardhiellopsis                          | Plant     | Rhodophyta                 | -105300000    | -99600000    | <>
Agathelia                                | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Agathiphyllia                            | Animal    | Cnidaria                   | -109000000    | -105300000   | <>
Agathodonta                              | Animal    | Mollusca                   | -122460000    | -112030000   | Agathodonta
Agathoxylon                              | Plant     | Pinophyta                  | -145000000    | -100500000   | Agathoxylon
Agriopleura                              | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Agrostyliastraea                         | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Aioloceras                               | Animal    | Mollusca                   | -112030000    | -109000000   | Aioloceras
Aka                                      | Animal    | Porifera                   | -112030000    | -109000000   | <>
Akera                                    | Animal    | Mollusca                   | -105300000    | -99600000    | Akera
Akmazeina                                | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alabushevothyris                         | Animal    | Brachiopoda                | -112030000    | -105300000   | <>
Alamirifica                              | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Alaticolpites                            | Plant     | Cycadophyta                | -122460000    | -112030000   | <>
Alavamanota                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavametra                               | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavaraphidia                            | Animal    | Arthropoda                 | -105300000    | -99600000    | Alavaraphidia
Alavaromma                               | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavascelio                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavatanais                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavesia                                 | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavesiaphis                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alavia                                   | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Albanerpeton                             | Animal    | Chordata                   | -105300000    | -93500000    | Albanerpeton
Albicar                                  | Animal    | Arthropoda                 | -112030000    | -109000000   | <>
Albiogonalys                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alboberotha                              | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Alboconis                                | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Albocryptophagus                         | Animal    | Arthropoda                 | -112030000    | -109000000   | <>
Alburnia                                 | Animal    | Arthropoda                 | -109000000    | -105300000   | Alburnia
Aleteceras                               | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -109000000    | -105300000   | <>
Alkaidia                                 | Animal    | Echinodermata              | -105300000    | -99600000    | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Allocearagryllus                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Allocotocera                             | Animal    | Arthropoda                 | -105300000    | -99600000    | Allocotocera
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Altairia                                 | Animal    | Echinodermata              | -113000000    | -100500000   | <>
Altirhinus                               | Animal    | Chordata                   | -109000000    | -99600000    | Altirhinus
Amaea                                    | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Amanocina                                | Animal    | Mollusca                   | -113000000    | -93900000    | <>
Amarantoraphidia                         | Animal    | Arthropoda                 | -112030000    | -109000000   | Amarantoraphidia
Amauropsis                               | Animal    | Mollusca                   | -105300000    | -93900000    | Amauropsis
Amazonsaurus                             | Animal    | Chordata                   | -125000000    | -100500000   | Amazonsaurus
Ambaraphis                               | Animal    | Arthropoda                 | -105300000    | -93500000    | <>
Ambercyclus                              | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Amberleya                                | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Ambigostrea                              | Animal    | Mollusca                   | -105300000    | -93900000    | <>
Amblydactylus                            | Animal    | Chordata                   | -105300000    | -99600000    | Amblydactylus
