Abrekia                                  | Animal    | Brachiopoda                | -247200000    | -242000000   | Abrekia
Abriolina                                | Micro     | Foraminifera               | -247200000    | -237000000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -247200000    | -242000000   | Acanthosphaera
Acanthotheelia                           | Animal    | Echinodermata              | -247200000    | -242000000   | Acanthotheelia
Acentrophorus                            | Animal    | Chordata                   | -247200000    | -242000000   | Acentrophorus
Achistrum                                | Animal    | Echinodermata              | -247200000    | -242000000   | Achistrum
Aciculella                               | Micro     | Foraminifera               | -247200000    | -242000000   | <>
Acilia                                   | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Acratia                                  | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Acratina                                 | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Acrochordiceras                          | Animal    | Mollusca                   | -247200000    | -221500000   | Acrochordiceras
Acrodus                                  | Animal    | Chordata                   | -247200000    | -237000000   | Acrodus
Acronemus                                | Animal    | Chordata                   | -247200000    | -242000000   | Acronemus
Actinomma                                | Micro     | Radiolaria                 | -247200000    | -242000000   | <>
Adelidium                                | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Ademosyne                                | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Adygella                                 | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Aegeiceras                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Aeger                                    | Animal    | Arthropoda                 | -247200000    | -242000000   | Aeger
Aelurosuchus                             | Animal    | Chordata                   | -247200000    | -242000000   | <>
Aequipecten                              | Animal    | Mollusca                   | -247200000    | -242000000   | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -247200000    | -242000000   | <>
Aequspiriferina                          | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Aetheodontus                             | Animal    | Chordata                   | -247200000    | -242000000   | Aetheodontus
Aethophyllum                             | Plant     | Pinophyta                  | -252170000    | -242000000   | <>
Agathammina                              | Micro     | Foraminifera               | -247200000    | -235000000   | <>
Aghdarbandites                           | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Aipteris                                 | Plant     | Peltaspermophyta           | -247200000    | -237000000   | <>
Alanites                                 | Animal    | Mollusca                   | -247200000    | -242000000   | Alanites
Albanites                                | Animal    | Mollusca                   | -247200000    | -242000000   | Albanites
