Aaleniella                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aberrantochrysa                          | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Abitusavis                               | Animal    | Chordata                   | -129400000    | -113000000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Abrigramma                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abrocar                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abrohemeroscopus                         | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Abropelecinus                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Acaeniotyle                              | Micro     | Radiolaria                 | -122460000    | -112030000   | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -122460000    | -109000000   | <>
Acanthocoenia                            | Animal    | Cnidaria                   | -125000000    | -113000000   | <>
Acanthogyra                              | Animal    | Cnidaria                   | -129400000    | -122460000   | <>
Acanthohoplites                          | Animal    | Mollusca                   | -122460000    | -112030000   | Acanthohoplites
Acanthotrichaphis                        | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Acastea                                  | Micro     | Radiolaria                 | -122460000    | -112030000   | <>
Accretonemoura                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Acephialtitia                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Acesta                                   | Animal    | Mollusca                   | -122460000    | -112030000   | Acesta
Acicularia                               | Plant     | Chlorophyta                | -125000000    | -113000000   | Acicularia
Acinacodus                               | Animal    | Chordata                   | -125000000    | -113000000   | Acinacodus
Acixiites                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Acmaea                                   | Animal    | Mollusca                   | -122460000    | -112030000   | Acmaea
Acmaeoderimorpha                         | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aconeceras                               | Animal    | Mollusca                   | -122460000    | -109000000   | Aconeceras
Acristatherium                           | Animal    | Chordata                   | -125450000    | -122460000   | Acristatherium
Acrocanthosaurus                         | Animal    | Chordata                   | -122460000    | -109000000   | Acrocanthosaurus
Acrochordonia                            | Animal    | Porifera                   | -125000000    | -113000000   | <>
Acrodus                                  | Animal    | Chordata                   | -125000000    | -100500000   | Acrodus
Acroporella                              | Plant     | Chlorophyta                | -125450000    | -122460000   | <>
Acrorhizodus                             | Animal    | Chordata                   | -125000000    | -100500000   | Acrorhizodus
Acrosmilia                               | Animal    | Cnidaria                   | -122460000    | -109000000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -122460000    | -112030000   | <>
Acroteuthis                              | Animal    | Mollusca                   | -122460000    | -112030000   | Acroteuthis
Acruliammina                             | Micro     | Foraminifera               | -125000000    | -113000000   | <>
Actaea                                   | Animal    | Arthropoda                 | -145000000    | -100500000   | Actaea_(crab)
Acteonella                               | Animal    | Mollusca                   | -122460000    | -112030000   | Acteonella
Acteonina                                | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Acteon                                   | Animal    | Mollusca                   | -122460000    | -112030000   | Acteon
Actinacis                                | Animal    | Cnidaria                   | -122460000    | -112030000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -122460000    | -109000000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -122460000    | -100500000   | <>
Actinoceramus                            | Animal    | Mollusca                   | -125000000    | -100500000   | Actinoceramus
Actinostromaria                          | Animal    | Porifera                   | -125000000    | -113000000   | <>
Actostroma                               | Animal    | Porifera                   | -125450000    | -122460000   | <>
Adaptyxis                                | Animal    | Mollusca                   | -129400000    | -113000000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -125000000    | -113000000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -129400000    | -122460000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -125000000    | -113000000   | <>
Adiozoptyxis                             | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Adocus                                   | Animal    | Chordata                   | -122460000    | -112030000   | Adocus
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegyptidium                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Aequitriradites                          | Plant     | Bryophyta                  | -125000000    | -100500000   | <>
Aeschnidiella                            | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aeschnidiopsis                           | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Aeshna                                   | Animal    | Arthropoda                 | -125450000    | -122460000   | Aeshna
Aethehagla                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aetheogramma                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aethephasma                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aethocarabus                             | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Afrollonia                               | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Afropollis                               | Plant     | Angiospermae               | -122460000    | -109000000   | <>
Agapella                                 | Animal    | Mollusca                   | -125000000    | -113000000   | <>
Agardhiellopsis                          | Plant     | Rhodophyta                 | -125000000    | -113000000   | <>
Agathelia                                | Animal    | Cnidaria                   | -122460000    | -112030000   | <>
Agathodonta                              | Animal    | Mollusca                   | -122460000    | -112030000   | Agathodonta
