Abderites                                | Animal    | Chordata                   | -21000000     | -17500000    | Abderites
Abertella                                | Animal    | Echinodermata              | -23030000     | -15970000    | <>
Abies                                    | Plant     | Pinophyta                  | -23030000     | -2588000     | Abies
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abrachlamys                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Abra                                     | Animal    | Mollusca                   | -23030000     | -11608000    | Abra
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -15970000    | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acamana                                  | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acamptogenotia                           | Animal    | Mollusca                   | -23030000     | -11608000    | Acamptogenotia
Acanthina                                | Animal    | Mollusca                   | -23030000     | -15970000    | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -23030000     | -15970000    | Acanthocardia
Acanthocarpus                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Acanthocarpus
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthodesia                             | Animal    | Bryozoa                    | -23030000     | -15970000    | <>
Acantholyda                              | Animal    | Arthropoda                 | -23030000     | -15970000    | Acantholyda
Acanthurus                               | Animal    | Chordata                   | -23030000     | -15970000    | Acanthurus
Acarechimys                              | Animal    | Chordata                   | -21000000     | -17500000    | <>
Acaremys                                 | Animal    | Chordata                   | -21000000     | -17500000    | <>
Acar                                     | Animal    | Mollusca                   | -23030000     | -15970000    | Acar
Acdestodon                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acdestoides                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acentrophryne                            | Animal    | Chordata                   | -23030000     | -5333000     | Acentrophryne
Aceratherium                             | Animal    | Chordata                   | -23030000     | -15970000    | Aceratherium
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acer                                     | Plant     | Spermatophyta              | -23030000     | -20440000    | Acer
Acervulina                               | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Acesta                                   | Animal    | Mollusca                   | -23030000     | -15970000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Achatina                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Achatina
