Aatocrinus                               | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Acaciapora                               | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Acanthalosia                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Acanthodes                               | Animal    | Chordata                   | -296400000    | -268000000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -290100000    | -272300000   | Acanthophyllum
Acanthotriletes                          | Plant     | Lycophyta                  | -298900000    | -252170000   | <>
Acervoschwagerina                        | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Acheloma                                 | Animal    | Chordata                   | -290100000    | -279300000   | Acheloma
Aclisina                                 | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Acolosia                                 | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Acosarina                                | Animal    | Brachiopoda                | -290100000    | -272300000   | <>
Acratia                                  | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Acritosia                                | Animal    | Brachiopoda                | -290100000    | -272300000   | <>
Acrodus                                  | Animal    | Chordata                   | -290100000    | -272300000   | Acrodus
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -298900000    | -272300000   | Actinoconchus
Actinohymen                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Actinotrypella                           | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Acutichiton                              | Animal    | Mollusca                   | -290100000    | -279300000   | Acutichiton
Adamantina                               | Animal    | Chordata                   | -290100000    | -279300000   | Adamantina
Adatsagochonetes                         | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Adrianites                               | Animal    | Mollusca                   | -295500000    | -279300000   | Adrianites
Aechmina                                 | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Aeduella                                 | Animal    | Chordata                   | -298900000    | -272300000   | Aeduella
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Aequipecten                              | Animal    | Mollusca                   | -290100000    | -279300000   | Aequipecten
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
