Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Acaciapora                               | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -298900000    | -290100000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Acanthodes                               | Animal    | Chordata                   | -296400000    | -268000000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -298900000    | -252170000   | <>
Acharax                                  | Animal    | Mollusca                   | -303700000    | -295500000   | <>
Acheloma                                 | Animal    | Chordata                   | -296400000    | -268000000   | Acheloma
Achistrum                                | Animal    | Echinodermata              | -298900000    | -295500000   | Achistrum
Achlamydocarpon                          | Plant     | Lycophyta                  | -298900000    | -290100000   | <>
Acosarina                                | Animal    | Brachiopoda                | -298900000    | -259900000   | <>
Acosmoblatta                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Acratia                                  | Animal    | Arthropoda                 | -298900000    | -252170000   | <>
Acratina                                 | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Acritosia                                | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Acrodus                                  | Animal    | Chordata                   | -298900000    | -295500000   | Acrodus
Acropermula                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Acroplous                                | Animal    | Chordata                   | -298900000    | -295500000   | Acroplous
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -298900000    | -272300000   | Actinoconchus
Actinodon                                | Animal    | Chordata                   | -298900000    | -290100000   | Actinodon
Actinophrentis                           | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Adamantina                               | Animal    | Chordata                   | -298900000    | -295500000   | <>
Adetognathus                             | Animal    | Chordata                   | -298900000    | -290100000   | <>
Adlatipora                               | Animal    | Bryozoa                    | -298900000    | -295500000   | <>
Aeduella                                 | Animal    | Chordata                   | -298900000    | -272300000   | Aeduella
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Agassizodus                              | Animal    | Chordata                   | -298900000    | -295500000   | Agassizodus
Agathammina                              | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Agathiceras                              | Animal    | Mollusca                   | -298900000    | -279300000   | Agathiceras
Akmilleria                               | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Aktastioceras                            | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Alanstukella                             | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Alatoproductus                           | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Albaillella                              | Micro     | Radiolaria                 | -298900000    | -272300000   | <>
