Abbasitoides                             | Animal    | Mollusca                   | -174100000    | -168300000   | <>
Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Acaeniotyle                              | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Acanthocythere                           | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Acanthodesmia                            | Micro     | Radiolaria                 | -190800000    | -168300000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acanthostrophia                          | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Acanthothiris                            | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Acanthothyropsis                         | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -170300000    | -168300000   | Achistrum
Acmaea                                   | Animal    | Mollusca                   | -174100000    | -163500000   | Acmaea
Acrodus                                  | Animal    | Chordata                   | -171600000    | -168400000   | Acrodus
Acrosalenia                              | Animal    | Echinodermata              | -170300000    | -164700000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -174100000    | -168300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Acteonina                                | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Actinomma                                | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Actinostreon                             | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -171600000    | -164700000   | <>
Adeorbisina                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -174100000    | -168300000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Advenaster                               | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Aequipecten                              | Animal    | Mollusca                   | -170300000    | -168300000   | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -174100000    | -93500000    | <>
Africogryphaea                           | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Afropollis                               | Plant     | Angiospermae               | -174100000    | -93500000    | <>
Afrovenator                              | Animal    | Chordata                   | -170300000    | -166100000   | Afrovenator
Agrawalimya                              | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Agrilium                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Aguilerella                              | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Akera                                    | Animal    | Mollusca                   | -170300000    | -164700000   | Akera
Aldorfia                                 | Micro     | Myzozoa                    | -171600000    | -167700000   | <>
Alievium                                 | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -201300000    | -145000000   | <>
Allicospermum                            | Plant     | Gymnospermophyta           | -170300000    | -168300000   | <>
Allkaruen                                | Animal    | Chordata                   | -180100000    | -168400000   | Allkaruen
Allocosmia                               | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Alocolytoceras                           | Animal    | Mollusca                   | -171600000    | -168400000   | Alocolytoceras
Alsophilites                             | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Ambercyclus                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Amberleya                                | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Amicytheridea                            | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Amiodon                                  | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -170300000    | -168300000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -171600000    | -167700000   | Ammodiscus
Ammolagena                               | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Amnicola                                 | Animal    | Mollusca                   | -170300000    | -166100000   | Amnicola
