Aafrita                                  | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Aaleniella                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abitusavis                               | Animal    | Chordata                   | -129400000    | -113000000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abrigramma                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abrocar                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abropelecinus                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Abrytusites                              | Animal    | Mollusca                   | -130000000    | -125450000   | Abrytusites
Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Acaeniotyle                              | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Acanthocoenia                            | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -132900000    | -125000000   | Acanthodiscus
Acanthogyra                              | Animal    | Cnidaria                   | -129400000    | -122460000   | <>
Acanthohoplites                          | Animal    | Mollusca                   | -125450000    | -112030000   | Acanthohoplites
Acantholytoceras                         | Animal    | Mollusca                   | -129400000    | -125000000   | Acantholytoceras
Acanthoptychoceras                       | Animal    | Mollusca                   | -130000000    | -125450000   | Acanthoptychoceras
Acastea                                  | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Accretonemoura                           | Animal    | Arthropoda                 | -132900000    | -125000000   | <>
Acephialtitia                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Acharax                                  | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Acicularia                               | Plant     | Chlorophyta                | -125450000    | -122460000   | Acicularia
Acmaeoderimorpha                         | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Acocephalites                            | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Aconeceras                               | Animal    | Mollusca                   | -125450000    | -122460000   | Aconeceras
Acostasaurus                             | Animal    | Chordata                   | -130000000    | -125450000   | Acostasaurus
Acrioceras                               | Animal    | Mollusca                   | -129400000    | -125000000   | Acrioceras
Acristatherium                           | Animal    | Chordata                   | -125450000    | -122460000   | Acristatherium
Acrocythere                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Acrodus                                  | Animal    | Chordata                   | -145000000    | -100500000   | Acrodus
Acroporella                              | Plant     | Chlorophyta                | -125450000    | -122460000   | <>
Acroteuthis                              | Animal    | Mollusca                   | -129400000    | -125000000   | Acroteuthis
Acruliammina                             | Micro     | Foraminifera               | -130000000    | -125450000   | <>
Actaea                                   | Animal    | Arthropoda                 | -145000000    | -100500000   | Actaea_(crab)
Acteocina                                | Animal    | Mollusca                   | -130000000    | -125450000   | Acteocina
Acteonina                                | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Acteon                                   | Animal    | Mollusca                   | -129400000    | -125000000   | Acteon
Actinacis                                | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Actinoporella                            | Plant     | Chlorophyta                | -129400000    | -125000000   | <>
Actinostreon                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Actinostromaria                          | Animal    | Porifera                   | -125450000    | -122460000   | <>
Actostroma                               | Animal    | Porifera                   | -125450000    | -122460000   | <>
Adaptyxis                                | Animal    | Mollusca                   | -129400000    | -113000000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -129400000    | -122460000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -129400000    | -125000000   | <>
Adocus                                   | Animal    | Chordata                   | -130000000    | -113000000   | Adocus
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aequitriradites                          | Plant     | Bryophyta                  | -129400000    | -113000000   | <>
Aeschnidiella                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aeshna                                   | Animal    | Arthropoda                 | -125450000    | -122460000   | Aeshna
Aethehagla                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aetheogramma                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aethephasma                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Afropollis                               | Plant     | Angiospermae               | -125450000    | -122460000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -145000000    | -100500000   | Agathoxylon
Agriopleura                              | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Ahiromaimetsha                           | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Akidolestes                              | Animal    | Chordata                   | -129400000    | -125000000   | Akidolestes
Albanerpeton                             | Animal    | Chordata                   | -130000000    | -125450000   | Albanerpeton
Albisca                                  | Animal    | Arthropoda                 | -139800000    | -125000000   | <>
Alegorius                                | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alexanderella                            | Plant     | Chlorophyta                | -129400000    | -113000000   | <>
Algites                                  | Plant     | Phaeophyta                 | -129400000    | -122460000   | <>
Aliaga                                   | Animal    | Chordata                   | -136400000    | -125450000   | <>
Alievium                                 | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -129400000    | -122460000   | <>
Allaboilus                               | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alleremonomus                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Allocotoraphidia                         | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alloepipsychopsis                        | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Allogaster                               | Animal    | Arthropoda                 | -125450000    | -122460000   | Allogaster
Allomma                                  | Animal    | Echinodermata              | -129400000    | -125000000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -125450000    | -122460000   | Allophalerus
Allopterus                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Alloserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alonchoptera                             | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Alphitopsis                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Amargasaurus                             | Animal    | Chordata                   | -129400000    | -125000000   | Amargasaurus
Amargasuchus                             | Animal    | Chordata                   | -129400000    | -125000000   | Amargasuchus
Amargatitanis                            | Animal    | Chordata                   | -129400000    | -125000000   | Amargatitanis
Amberleya                                | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Ambiortus                                | Animal    | Chordata                   | -132900000    | -125000000   | Ambiortus
Amblydactylus                            | Animal    | Chordata                   | -139800000    | -125000000   | Amblydactylus
Ambolestes                               | Animal    | Chordata                   | -125450000    | -122460000   | <>
Amboserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Amia                                     | Animal    | Chordata                   | -129400000    | -125000000   | Amia
Amiopsis                                 | Animal    | Chordata                   | -129400000    | -122460000   | Amiopsis
Ammobaculites                            | Micro     | Foraminifera               | -129400000    | -113000000   | <>
Ammonitoceras                            | Animal    | Mollusca                   | -125450000    | -122460000   | Ammonitoceras
