Abderospira                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Abdounia                                 | Animal    | Chordata                   | -41300000     | -38000000    | Abdounia
Abies                                    | Plant     | Pinophyta                  | -56000000     | -33900000    | Abies
Abra                                     | Animal    | Mollusca                   | -41300000     | -38000000    | Abra
Abrosomys                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Abyssocypris                             | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Acaena                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Acalypha
Acamana                                  | Animal    | Chordata                   | -42000000     | -36000000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -48600000     | -37200000    | Acanthocardia
Acanthogalathea                          | Animal    | Arthropoda                 | -56000000     | -23030000    | Acanthogalathea
Acantholambrus                           | Animal    | Arthropoda                 | -41300000     | -38000000    | Acantholambrus
Acanthoportunus                          | Animal    | Arthropoda                 | -46200000     | -40400000    | <>
Acarinina                                | Micro     | Foraminifera               | -41300000     | -33900000    | Acarinina
Acar                                     | Animal    | Mollusca                   | -41300000     | -38000000    | Acar
Acer                                     | Plant     | Spermatophyta              | -46200000     | -40400000    | Acer
Acervulina                               | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Acesta                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Acesta
Achaenodon                               | Animal    | Chordata                   | -40400000     | -37200000    | Achaenodon
Acharax                                  | Animal    | Mollusca                   | -41300000     | -33900000    | <>
Achatina                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Achatina
Achrochordiella                          | Animal    | Porifera                   | -41300000     | -33900000    | <>
Aciculiscala                             | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Acila                                    | Animal    | Mollusca                   | -41300000     | -33900000    | Acila
Acirsa                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Acirsa
Aclis                                    | Animal    | Mollusca                   | -41300000     | -38000000    | Aclis
Aclistomycter                            | Animal    | Chordata                   | -40400000     | -37200000    | Aclistomycter
Acmaea                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -48600000     | -33900000    | Acmopyle
Acoelodus                                | Animal    | Chordata                   | -41300000     | -38000000    | <>
Acoelohyrax                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Acotherulum                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Acrilla                                  | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Acrocyon                                 | Animal    | Chordata                   | -48600000     | -15970000    | <>
Acrodontopsis                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Acrometa                                 | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Acropoma                                 | Animal    | Chordata                   | -43000000     | -37200000    | Acropoma
Acropora                                 | Animal    | Cnidaria                   | -41300000     | -38000000    | Acropora
Acrosmilia                               | Animal    | Cnidaria                   | -48600000     | -37200000    | <>
Acrosqualiolus                           | Animal    | Chordata                   | -47800000     | -38000000    | <>
Acrostichum                              | Plant     | Pteridophyta               | -41300000     | -38000000    | Acrostichum
Acrotitan                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Actaeites                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Actaeonema                               | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Acteocina                                | Animal    | Mollusca                   | -41300000     | -38000000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -41300000     | -33900000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -41300000     | -33900000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -48600000     | -37200000    | <>
Actinidia                                | Plant     | Spermatophyta              | -41300000     | -38000000    | Actinidia
Actinocythereis                          | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Aculops                                  | Animal    | Arthropoda                 | -48600000     | -37200000    | Aculops
Acutostrea                               | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Adapidium                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Adapis                                   | Animal    | Chordata                   | -41300000     | -38000000    | Adapis
Adapoides                                | Animal    | Chordata                   | -48600000     | -37200000    | Adapoides
Adeonellopsis                            | Animal    | Bryozoa                    | -41300000     | -38000000    | <>
Adeorbis                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Adeorbis
Adiantoides                              | Animal    | Chordata                   | -42000000     | -36000000    | <>
Adioryx                                  | Animal    | Chordata                   | -43000000     | -37200000    | <>
Adjidaumo                                | Animal    | Chordata                   | -40400000     | -33900000    | <>
Admete                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Admete
Admetula                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Admetula
Adocus                                   | Animal    | Chordata                   | -48600000     | -37200000    | Adocus
Adrana                                   | Animal    | Mollusca                   | -41300000     | -38000000    | Adrana
Adula                                    | Animal    | Mollusca                   | -41300000     | -33900000    | Adula
Advenimus                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aegialornis                              | Animal    | Chordata                   | -41300000     | -38000000    | Aegialornis
Aegyptocetus                             | Animal    | Chordata                   | -41300000     | -38000000    | Aegyptocetus
Aeneator                                 | Animal    | Mollusca                   | -48600000     | -37200000    | Aeneator
Aenigmatistes                            | Animal    | Arthropoda                 | -66000000     | -37200000    | <>
Aenigmavis                               | Animal    | Chordata                   | -48600000     | -37200000    | Aenigmavis
Aepinacodon                              | Animal    | Chordata                   | -40400000     | -37200000    | <>
Aequalobythites                          | Animal    | Chordata                   | -56000000     | -33900000    | <>
Aequipecten                              | Animal    | Mollusca                   | -41300000     | -33900000    | Aequipecten
Aethomylos                               | Animal    | Chordata                   | -46200000     | -40400000    | <>
Aetomylaeus                              | Animal    | Chordata                   | -41300000     | -38000000    | Aetomylaeus
Aforia                                   | Animal    | Mollusca                   | -41300000     | -33900000    | Aforia
Afrasia                                  | Animal    | Chordata                   | -41300000     | -38000000    | Afrasia
Africarca                                | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Afrohypselodontus                        | Animal    | Chordata                   | -41300000     | -38000000    | <>
Afrotarsius                              | Animal    | Chordata                   | -48600000     | -33900000    | Afrotarsius
Agamimus                                 | Animal    | Chordata                   | -48600000     | -37200000    | <>
Agaronia                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -41300000     | -38000000    | Agassizia
Agatha                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Agatha
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathistoma                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Agerinia                                 | Animal    | Chordata                   | -48600000     | -40400000    | Agerinia
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agrenocythere                            | Animal    | Arthropoda                 | -41300000     | -38000000    | <>
Agriochoerus                             | Animal    | Chordata                   | -40400000     | -37200000    | Agriochoerus
Agrypnus                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | Agrypnus
Aguafriamys                              | Animal    | Chordata                   | -40400000     | -37200000    | <>
Aguayoaster                              | Animal    | Echinodermata              | -41300000     | -33900000    | <>
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -46200000     | -40400000    | Ailanthus
Ailuravus                                | Animal    | Chordata                   | -41300000     | -38000000    | Ailuravus
Akania                                   | Plant     | Spermatophyta              | -58700000     | -37200000    | Akania
Akera                                    | Animal    | Mollusca                   | -41300000     | -38000000    | Akera
Aksyiromys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aktaua                                   | Animal    | Chordata                   | -48600000     | -37200000    | Aktaua
Aktautitan                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alabamina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Alaba                                    | Animal    | Mollusca                   | -41300000     | -38000000    | Alaba
Alangium                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Alangium
