Acantherpestes                           | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -318100000    | -314600000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -318100000    | -313800000   | <>
Acanthorhachis                           | Animal    | Chordata                   | -318100000    | -314600000   | Acanthorhachis
Acanthotriletes                          | Plant     | Lycophyta                  | -323200000    | -298900000   | <>
Acharax                                  | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Acherontiscus                            | Animal    | Chordata                   | -326400000    | -318100000   | Acherontiscus
Achlamydocarpon                          | Plant     | Lycophyta                  | -318100000    | -314600000   | <>
Acitheca                                 | Plant     | Pteridophyta               | -323200000    | -298900000   | Acitheca
Aclisina                                 | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Acratia                                  | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Acrocrinus                               | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Acrolepis                                | Animal    | Chordata                   | -326400000    | -314600000   | Acrolepis
Acteonina                                | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -326400000    | -318100000   | Actinoconchus
Actinophrentis                           | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Actinopteria                             | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Adeloblatta                              | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Adelophthalmus                           | Animal    | Arthropoda                 | -318100000    | -314600000   | Adelophthalmus
Adelospondylus                           | Animal    | Chordata                   | -326400000    | -318100000   | Adelospondylus
Adetognathus                             | Animal    | Chordata                   | -318100000    | -314600000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Adnatoceras                              | Animal    | Mollusca                   | -323200000    | -315200000   | Adnatoceras
Aechminella                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Aedoeophasma                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Aenigmatoceras                           | Animal    | Mollusca                   | -318100000    | -314600000   | Aenigmatoceras
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Aesopichthys                             | Animal    | Chordata                   | -326400000    | -318100000   | <>
Affinocrinus                             | Animal    | Echinodermata              | -318100000    | -311450000   | <>
Afghanospirifer                          | Animal    | Brachiopoda                | -323200000    | -315200000   | <>
Agaeoleptoptera                          | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Agassizocrinus                           | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Agassizodus                              | Animal    | Chordata                   | -323200000    | -298900000   | Agassizodus
Aglaocrinus                              | Animal    | Echinodermata              | -318100000    | -311450000   | Aglaocrinus
Akiyoshiella                             | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Alaoceras                                | Animal    | Mollusca                   | -326400000    | -318100000   | Alaoceras
Alcimocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Alispirifer                              | Animal    | Brachiopoda                | -323200000    | -295500000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -358900000    | -252170000   | <>
Alitaria                                 | Animal    | Brachiopoda                | -323200000    | -315200000   | <>
Allenypterus                             | Animal    | Chordata                   | -326400000    | -318100000   | Allenypterus
Allocatillocrinus                        | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Allorisma                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Alternifenestella                        | Animal    | Bryozoa                    | -323200000    | -298900000   | <>
Althansia                                | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Alurites                                 | Animal    | Mollusca                   | -318100000    | -314600000   | Alurites
Amandophyllum                            | Animal    | Cnidaria                   | -318100000    | -311450000   | <>
Amaurotoma                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Amazonoproductus                         | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -323200000    | -315200000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Ameura                                   | Animal    | Arthropoda                 | -318100000    | -311450000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -318100000    | -306950000   | Ammodiscus
Ammovertella                             | Micro     | Foraminifera               | -318100000    | -314600000   | <>
Ampeliptera                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Ampelocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Amphipeltis                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -318100000    | -314600000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -323200000    | -307000000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -339400000    | -318100000   | Amplexus
Amygdalophylloides                       | Animal    | Cnidaria                   | -323200000    | -315200000   | <>
Amynilyspes                              | Animal    | Arthropoda                 | -318100000    | -314600000   | Amynilyspes
Anagesthes                               | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Ananias                                  | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -323200000    | -298900000   | <>
Anchicodium                              | Plant     | Chlorophyta                | -323200000    | -307000000   | <>
Anchicrinus                              | Animal    | Echinodermata              | -318100000    | -311450000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -358900000    | -298900000   | <>
Anematina                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Angiospirifer                            | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Anglolithoneura                          | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anglopterum                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Angyomphalus                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anisotrypa                               | Animal    | Bryozoa                    | -326400000    | -318100000   | <>
Ankyropteris                             | Plant     | Pteridophyta               | -318100000    | -314600000   | <>
Anniedarwinia                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Annularia                                | Plant     | Sphenophyta                | -318100000    | -306950000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -339400000    | -298900000   | <>
Annulispongia                            | Animal    | Porifera                   | -318100000    | -314600000   | <>
Anobasicrinus                            | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Anomphalus                               | Animal    | Mollusca                   | -318100000    | -314600000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracaris                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -323200000    | -307000000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -318100000    | -314600000   | Anthracoceras
Anthracomartus                           | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracomya                              | Animal    | Mollusca                   | -326400000    | -306950000   | Anthracomya
Anthraconauta                            | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -318100000    | -306950000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -323200000    | -307000000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anthracosaurus                           | Animal    | Chordata                   | -318100000    | -306950000   | Anthracosaurus
Anthracoscorpio                          | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracosiro                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -318100000    | -311450000   | <>
Anthracosta                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -318100000    | -306950000   | <>
Antonoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Antronaria                               | Animal    | Brachiopoda                | -323200000    | -307000000   | <>
Apachella                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantites                               | Animal    | Mollusca                   | -318100000    | -314600000   | Aphantites
Aphantomartus                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Aphelaeceras
Aphelecrinus                             | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Aphelomylacris                           | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Aphractus                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Aphralysia                               | Micro     | Cyanobacteria              | -339400000    | -318100000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -318100000    | -298900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -323200000    | -298900000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Apotocardium                             | Animal    | Mollusca                   | -323200000    | -307000000   | <>
Arakespongia                             | Animal    | Porifera                   | -318100000    | -314600000   | <>
Arcanoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | Arcanoceras
