Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -168300000    | -163500000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Acanthocythere                           | Animal    | Arthropoda                 | -167700000    | -164700000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Acanthothiris                            | Animal    | Brachiopoda                | -167700000    | -161200000   | <>
Acanthothyropsis                         | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -167700000    | -164700000   | Achistrum
Acmaea                                   | Animal    | Mollusca                   | -174100000    | -163500000   | Acmaea
Acrodus                                  | Animal    | Chordata                   | -167700000    | -164700000   | Acrodus
Acrosalenia                              | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Acteonina                                | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Actinomma                                | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Actinostreon                             | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adabofoloceras                           | Animal    | Mollusca                   | -168300000    | -163500000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Ademosynoides                            | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Adeorbisina                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Adikia                                   | Animal    | Arthropoda                 | -168300000    | -166100000   | Adikia
Adratiklit                               | Animal    | Chordata                   | -168300000    | -166100000   | Adratiklit
Advenaster                               | Animal    | Echinodermata              | -168300000    | -166100000   | <>
Aequipecten                              | Animal    | Mollusca                   | -167700000    | -164700000   | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -168300000    | -157300000   | <>
Africogryphaea                           | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Afropollis                               | Plant     | Angiospermae               | -174100000    | -93500000    | <>
Afrovenator                              | Animal    | Chordata                   | -170300000    | -166100000   | Afrovenator
Agathoxylon                              | Plant     | Pinophyta                  | -167700000    | -164700000   | Agathoxylon
Aggomorphastraea                         | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Agrawalimya                              | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Agrilium                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Aguilerella                              | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Akera                                    | Animal    | Mollusca                   | -170300000    | -164700000   | Akera
Albanesiceras                            | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Aldorfia                                 | Micro     | Myzozoa                    | -171600000    | -167700000   | <>
Alievium                                 | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -167700000    | -164700000   | <>
Allicospermum                            | Plant     | Gymnospermophyta           | -168300000    | -166100000   | <>
Allocoenia                               | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Alsophilites                             | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Ambercyclus                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Amberleya                                | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Ambondro                                 | Animal    | Chordata                   | -168300000    | -166100000   | Ambondro
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Amicytheridea                            | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Amijiella                                | Micro     | Foraminifera               | -167700000    | -164700000   | <>
Amiodon                                  | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -168300000    | -166100000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -171600000    | -167700000   | Ammodiscus
Ammolagena                               | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Amnicola                                 | Animal    | Mollusca                   | -170300000    | -166100000   | Amnicola
Ampakabastraea                           | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -168300000    | -161200000   | <>
Amphibetulimus                           | Animal    | Chordata                   | -168300000    | -166100000   | <>
Amphilestes                              | Animal    | Chordata                   | -167700000    | -164700000   | Amphilestes
Amphitherium                             | Animal    | Chordata                   | -167700000    | -164700000   | Amphitherium
Amphitrochus                             | Animal    | Mollusca                   | -168300000    | -155700000   | <>
Amplovalvata                             | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Ampullina                                | Animal    | Mollusca                   | -168300000    | -152100000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Ancestrimorpha                           | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Anchiornis                               | Animal    | Chordata                   | -167700000    | -150800000   | Anchiornis
Andemantastraea                          | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -168300000    | -163500000   | <>
Anglosuchus                              | Animal    | Chordata                   | -168300000    | -166100000   | Anglosuchus
Angulathilda                             | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Anhuilong                                | Animal    | Chordata                   | -174100000    | -163500000   | Anhuilong
Anhuistoma                               | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Anisicyrtis                              | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Anisocardia                              | Animal    | Mollusca                   | -167700000    | -163500000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annemys                                  | Animal    | Chordata                   | -168300000    | -163500000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -168300000    | -163500000   | <>
Ano                                      | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Anomia                                   | Animal    | Mollusca                   | -167700000    | -164700000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -174100000    | -163500000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -168300000    | -163500000   | <>
Anoptychia                               | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Anoualerpeton                            | Animal    | Chordata                   | -167700000    | -164700000   | Anoualerpeton
Antarctica                               | Animal    | Mollusca                   | -170300000    | -166100000   | Antarctica
Antexitus                                | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Anthracolestes                           | Animal    | Chordata                   | -168300000    | -166100000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -168300000    | -152100000   | <>
Aphanoptyxis                             | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -168300000    | -166100000   | Apiocrinites
Aplosmilia                               | Animal    | Cnidaria                   | -168300000    | -161200000   | <>
Apodosia                                 | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Aporrhais                                | Animal    | Mollusca                   | -168300000    | -166100000   | Aporrhais
Apsendesia                               | Animal    | Bryozoa                    | -167700000    | -164700000   | <>
Apseudocardinia                          | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Arabatia                                 | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Arapsothyris                             | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -167700000    | -164700000   | <>
Araucaria                                | Plant     | Pinophyta                  | -168300000    | -163500000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -168300000    | -166100000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -167700000    | -164700000   | <>
Arboroharamiya                           | Animal    | Chordata                   | -167700000    | -150800000   | Arboroharamiya
Arca                                     | Animal    | Mollusca                   | -168300000    | -166100000   | Arca
Arcanicapsa                              | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Arcelinithyris                           | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Arceythyris                              | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Archaeodontosaurus                       | Animal    | Chordata                   | -168300000    | -166100000   | Archaeodontosaurus
Archaeohagiastrum                        | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Archaeoistiodactylus                     | Animal    | Chordata                   | -167700000    | -150800000   | Archaeoistiodactylus
Archaeoniscus                            | Animal    | Arthropoda                 | -170300000    | -166100000   | Archaeoniscus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Archiphilopotamus                        | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Architipula                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Arcomya                                  | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Arctica                                  | Animal    | Mollusca                   | -167700000    | -164700000   | Arctica
Arcticoceras                             | Animal    | Mollusca                   | -167700000    | -164700000   | Arcticoceras
Arctocephalites                          | Animal    | Mollusca                   | -167700000    | -164700000   | Arctocephalites
Arctostrea                               | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Ares                                     | Micro     | Radiolaria                 | -171600000    | -167700000   | Ares
Arganodus                                | Animal    | Chordata                   | -168300000    | -166100000   | Arganodus
Argoviaster                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Aromasithyris                            | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Arthraster                               | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Artocarpidium                            | Plant     | Spermatophyta              | -174100000    | -163500000   | <>
Asphinctites                             | Animal    | Mollusca                   | -167700000    | -164700000   | Asphinctites
Aspidistes                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Aspidorhynchus                           | Animal    | Chordata                   | -167700000    | -164700000   | Aspidorhynchus
Astacolus                                | Micro     | Foraminifera               | -168300000    | -166100000   | <>
Astandes                                 | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Astarte                                  | Animal    | Mollusca                   | -167700000    | -161200000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -167700000    | -164700000   | Asteracanthus
Asteriaceros                             | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Asterias                                 | Animal    | Echinodermata              | -167700000    | -164700000   | Asterias
Asterocidaris                            | Animal    | Echinodermata              | -171600000    | -167700000   | Asterocidaris
Asthenoceras                             | Animal    | Mollusca                   | -171600000    | -167700000   | Asthenoceras
Astraeofungia                            | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Astraraea                                | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Astropecten                              | Animal    | Echinodermata              | -167700000    | -164700000   | Astropecten
Astrospongia                             | Animal    | Porifera                   | -167700000    | -164700000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Atlasaurus                               | Animal    | Chordata                   | -168300000    | -166100000   | Atlasaurus
Atreta                                   | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -168300000    | -166100000   | <>
Aulacothyris                             | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Aurornis                                 | Animal    | Chordata                   | -167700000    | -150800000   | Aurornis
Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avonothyris                              | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Azyga                                    | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bacharaboilus                            | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacharia                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacharogryllus                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacharovoliopus                          | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bactroptyxis                             | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -170300000    | -166100000   | <>
Baeorhynchia                             | Animal    | Brachiopoda                | -168300000    | -166100000   | <>
Baga                                     | Animal    | Arthropoda                 | -170300000    | -166100000   | Baga
Baharellus                               | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Baianochorista                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -168300000    | -166100000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Bajanchongoria                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Bakharia                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bakonyia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Balnealacerta                            | Animal    | Chordata                   | -167700000    | -164700000   | <>
Bandellina                               | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Baptanodon                               | Animal    | Chordata                   | -168300000    | -157300000   | Baptanodon
Barbatia                                 | Animal    | Mollusca                   | -167700000    | -164700000   | Barbatia
Barbuta                                  | Micro     | Radiolaria                 | -171600000    | -167700000   | Barbuta
Baryphyllia                              | Animal    | Cnidaria                   | -168300000    | -166100000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathmophlebia                            | Animal    | Arthropoda                 | -168300000    | -166100000   | <>
Bathmosmilia                             | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bathycoenia                              | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | Batrachopus
Beania                                   | Plant     | Cycadophyta                | -168300000    | -163500000   | Beania
Belemnites                               | Animal    | Mollusca                   | -168300000    | -166100000   | Belemnites
Belemnobatis                             | Animal    | Chordata                   | -168300000    | -166100000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -167700000    | -164700000   | Belemnopsis
Bellairsia                               | Animal    | Chordata                   | -167700000    | -164700000   | <>
Belleza                                  | Micro     | Radiolaria                 | -167700000    | -161200000   | Belleza
Belmonticeras                            | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Berbericeras                             | Animal    | Mollusca                   | -167700000    | -164700000   | Berbericeras
Berenicea                                | Animal    | Bryozoa                    | -167700000    | -164700000   | <>
Bernoullius                              | Micro     | Radiolaria                 | -167700000    | -155700000   | <>
Biarmatoidella                           | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bigotites                                | Animal    | Mollusca                   | -171600000    | -167700000   | Bigotites
Bihenithyris                             | Animal    | Brachiopoda                | -168300000    | -163500000   | <>
Bilsdalea                                | Plant     | Coniferophyta              | -171600000    | -166100000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Bishanopliosaurus                        | Animal    | Chordata                   | -174100000    | -163500000   | Bishanopliosaurus
Bistarkum                                | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Bisulcocypris                            | Animal    | Arthropoda                 | -167700000    | -164700000   | <>
Bithynia                                 | Animal    | Mollusca                   | -170300000    | -166100000   | Bithynia
Blapsium                                 | Animal    | Arthropoda                 | -168300000    | -166100000   | Blapsium
Blattula                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Boeckhia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Boeckhia
Borealestes                              | Animal    | Chordata                   | -167700000    | -164700000   | Borealestes
Boreomerope                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bositra                                  | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bosniella                                | Micro     | Foraminifera               | -167700000    | -164700000   | <>
Bothryopneustes                          | Animal    | Echinodermata              | -168300000    | -166100000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -167700000    | -164700000   | Botryococcus
Bourguetia                               | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Brachidontes                             | Animal    | Mollusca                   | -168300000    | -163500000   | Brachidontes
Brachyoxylon                             | Plant     | Coniferophyta              | -167700000    | -164700000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -167700000    | -164700000   | Brachyphyllum
Brachyseris                              | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Brachytrema                              | Animal    | Mollusca                   | -168300000    | -166100000   | <>
Bradfordia                               | Animal    | Mollusca                   | -167700000    | -164700000   | Bradfordia
Bradfordirhynchia                        | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Bralitzia                                | Animal    | Mollusca                   | -167700000    | -164700000   | <>
