Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Acaeniotyle                              | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -140200000    | -136400000   | Acanthodiscus
Acanthogyra                              | Animal    | Cnidaria                   | -152100000    | -139800000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -145000000    | -139800000   | Acanthosphaera
Acastea                                  | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Acicularia                               | Plant     | Chlorophyta                | -145000000    | -140200000   | Acicularia
Acrocythere                              | Animal    | Arthropoda                 | -140200000    | -136400000   | <>
Acrodus                                  | Animal    | Chordata                   | -145000000    | -100500000   | Acrodus
Acrosmilia                               | Animal    | Cnidaria                   | -145000000    | -140200000   | <>
Acroteuthis                              | Animal    | Mollusca                   | -140200000    | -136400000   | Acroteuthis
Actaea                                   | Animal    | Arthropoda                 | -145000000    | -100500000   | Actaea
Acteon                                   | Animal    | Mollusca                   | -140200000    | -136400000   | Acteon
Actinaraea                               | Animal    | Cnidaria                   | -145000000    | -132900000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -145000000    | -136400000   | <>
Actinomma                                | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Actinostromarianina                      | Animal    | Porifera                   | -145000000    | -136400000   | <>
Acusten                                  | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -145000000    | -140200000   | <>
Advenina                                 | Animal    | Brachiopoda                | -140200000    | -136400000   | <>
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegialodon                               | Animal    | Chordata                   | -140200000    | -136400000   | Aegialodon
Aegirosaurus                             | Animal    | Chordata                   | -140200000    | -136400000   | Aegirosaurus
Aegyptosaurus                            | Animal    | Chordata                   | -145000000    | -136400000   | Aegyptosaurus
Aequipecten                              | Animal    | Mollusca                   | -145000000    | -139800000   | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -145000000    | -125000000   | <>
Aeschnidium                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Aeschnopsis                              | Animal    | Arthropoda                 | -145000000    | -139800000   | <>
Afriquiamus                              | Animal    | Chordata                   | -145000000    | -139800000   | <>
Afropollis                               | Plant     | Angiospermae               | -145000000    | -125000000   | <>
Agathelia                                | Animal    | Cnidaria                   | -145000000    | -132900000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -145000000    | -100500000   | Agathoxylon
Agrilium                                 | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Agrionidium                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Aguilerella                              | Animal    | Mollusca                   | -145000000    | -130000000   | <>
Akopovorhynchia                          | Animal    | Brachiopoda                | -140200000    | -136400000   | <>
Albionbaatar                             | Animal    | Chordata                   | -145000000    | -140200000   | Albionbaatar
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alievium                                 | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -145000000    | -100500000   | <>
Allicospermum                            | Plant     | Gymnospermophyta           | -152100000    | -139800000   | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -145000000    | -140200000   | <>
Allosaurus                               | Animal    | Chordata                   | -145000000    | -139800000   | Allosaurus
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Amblotherium                             | Animal    | Chordata                   | -145000000    | -140200000   | Amblotherium
Amijiella                                | Micro     | Foraminifera               | -152100000    | -139800000   | <>
Amitchellia                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Ammobaculoides                           | Micro     | Foraminifera               | -145000000    | -139800000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -140200000    | -136400000   | Ammodiscus
Ammoglobigerina                          | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Ammomarginulina                          | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -145000000    | -132900000   | <>
Amphiaulastrea                           | Animal    | Cnidaria                   | -145000000    | -140200000   | <>
Amphibrachium                            | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Amphipyndax                              | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Amphitriscoelus                          | Animal    | Mollusca                   | -140200000    | -125000000   | <>
Amygdalum                                | Animal    | Mollusca                   | -145000000    | -130000000   | Amygdalum
Anacoloptera                             | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Anapiptus                                | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Anchisauripus                            | Animal    | Chordata                   | -145000000    | -129400000   | Anchisauripus
Anchispirocyclina                        | Micro     | Foraminifera               | -145000000    | -130000000   | Anchispirocyclina
Ancyloceras                              | Animal    | Mollusca                   | -140200000    | -122460000   | Ancyloceras
Andersenolina                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Anditrigonia                             | Animal    | Mollusca                   | -150800000    | -139800000   | <>
Anemia                                   | Plant     | Pteridophyta               | -140200000    | -130000000   | Anemia
Anglopetalura                            | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Angulathilda                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Anisocardia                              | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Anisomyon                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Anisoporella                             | Plant     | Chlorophyta                | -145000000    | -140200000   | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anomia                                   | Animal    | Mollusca                   | -145000000    | -132900000   | Anomia
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -145000000    | -100500000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -152100000    | -125000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Anoualerpeton                            | Animal    | Chordata                   | -145000000    | -139800000   | Anoualerpeton
Antarctiteuthis                          | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -145000000    | -139800000   | <>
Antiquilima                              | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Antrigoulia                              | Animal    | Chordata                   | -140200000    | -136400000   | Antrigoulia
Aokiichthys                              | Animal    | Chordata                   | -145000000    | -130000000   | Aokiichthys
Aphrodina                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -140200000    | -136400000   | Apiocrinites
Apistotes                                | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Aplosmilia                               | Animal    | Cnidaria                   | -145000000    | -136400000   | <>
Apocritites                              | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Apodosia                                 | Animal    | Brachiopoda                | -145000000    | -139800000   | <>
Aporoblattina                            | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Aporrhais                                | Animal    | Mollusca                   | -145000000    | -66000000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
Apricosiren                              | Animal    | Chordata                   | -145000000    | -140200000   | Apricosiren
Apsataboilus                             | Animal    | Arthropoda                 | -145000000    | -129400000   | <>
Aquatilavipes                            | Animal    | Chordata                   | -145000000    | -100500000   | <>
Arabicodium                              | Plant     | Chlorophyta                | -145000000    | -100500000   | Arabicodium
Aragosaurus                              | Animal    | Chordata                   | -150800000    | -140200000   | Aragosaurus
Araliaephyllum                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -145000000    | -100500000   | Aralia
Araripelibellula                         | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Araucaria                                | Plant     | Pinophyta                  | -140200000    | -136400000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Arca                                     | Animal    | Mollusca                   | -145000000    | -139800000   | Arca
Arcanicapsa                              | Micro     | Radiolaria                 | -140200000    | -136400000   | <>
Arcellites                               | Plant     | Pteridophyta               | -140200000    | -136400000   | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -145000000    | -139800000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -140200000    | -125450000   | <>
Archaeogaleus                            | Animal    | Chordata                   | -140200000    | -136400000   | Archaeogaleus
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -100500000   | Archaeoniscus
Archaeopus                               | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -140200000    | -125450000   | <>
Archaeotritrabs                          | Micro     | Radiolaria                 | -140200000    | -130000000   | <>
Archiaustroconops                        | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -145000000    | -140200000   | <>
Archimedea                               | Animal    | Mollusca                   | -145000000    | -136400000   | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcomytilus                              | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Arctica                                  | Animal    | Mollusca                   | -140200000    | -136400000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Arctotis                                 | Animal    | Mollusca                   | -140200000    | -136400000   | Arctotis
Ardesciella                              | Animal    | Mollusca                   | -145000000    | -140200000   | <>
Arenobulimina                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Argentiniceras                           | Animal    | Mollusca                   | -145000000    | -139800000   | Argentiniceras
Argutostrea                              | Animal    | Mollusca                   | -145000000    | -139800000   | <>
Ariadnaesporites                         | Plant     | Pteridophyta               | -145000000    | -93900000    | <>
Artitocoblatta                           | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Artostrobium                             | Micro     | Radiolaria                 | -145000000    | -140200000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Asianopodus                              | Animal    | Chordata                   | -145000000    | -100500000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Aspidoceras                              | Animal    | Mollusca                   | -145000000    | -139800000   | Aspidoceras
Aspidorhynchus                           | Animal    | Chordata                   | -145000000    | -139800000   | Aspidorhynchus
Asplenium                                | Plant     | Pteridophyta               | -145000000    | -100500000   | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -140200000    | -130000000   | <>
Astarte                                  | Animal    | Mollusca                   | -140200000    | -136400000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -140200000    | -136400000   | Asteracanthus
Astraeofungia                            | Animal    | Cnidaria                   | -145000000    | -109000000   | <>
Astropecten                              | Animal    | Echinodermata              | -145000000    | -139800000   | Astropecten
Asuba                                    | Animal    | Arthropoda                 | -145000000    | -140200000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -140200000    | -136400000   | <>
