Abanaxipha                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Abderites                                | Animal    | Chordata                   | -16300000     | -15500000    | Abderites
Abertella                                | Animal    | Echinodermata              | -20440000     | -15970000    | <>
Abia                                     | Animal    | Arthropoda                 | -20440000     | -15970000    | Abia
Abies                                    | Plant     | Pinophyta                  | -20440000     | -15970000    | Abies
Ablabesmyia                              | Animal    | Arthropoda                 | -20440000     | -13820000    | Ablabesmyia
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abrachlamys                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Abra                                     | Animal    | Mollusca                   | -20440000     | -13820000    | Abra
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -15970000    | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acallepitrix                             | Animal    | Arthropoda                 | -20440000     | -13820000    | Acallepitrix
Acamptogenotia                           | Animal    | Mollusca                   | -20440000     | -15970000    | Acamptogenotia
Acamptus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Acamptus
Acanthastrea                             | Animal    | Cnidaria                   | -20440000     | -15970000    | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -20440000     | -15970000    | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -20440000     | -15970000    | Acanthocardia
Acanthocarpus                            | Animal    | Arthropoda                 | -23030000     | -15970000    | Acanthocarpus
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthocybium                            | Animal    | Chordata                   | -20440000     | -15970000    | Acanthocybium
Acanthodesia                             | Animal    | Bryozoa                    | -23030000     | -15970000    | <>
Acanthognathus Formicidae                | Animal    | Arthropoda                 | -20440000     | -13820000    | Acanthognathus
Acantholyda                              | Animal    | Arthropoda                 | -23030000     | -15970000    | Acantholyda
Acanthostichus                           | Animal    | Arthropoda                 | -20440000     | -13820000    | Acanthostichus
Acanthurus                               | Animal    | Chordata                   | -23030000     | -15970000    | Acanthurus
Acarechimys                              | Animal    | Chordata                   | -16300000     | -15500000    | <>
Acaremys                                 | Animal    | Chordata                   | -17500000     | -16300000    | <>
Acaricoris                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Acaricoris
Acar                                     | Animal    | Mollusca                   | -20440000     | -15970000    | Acar
Acasta                                   | Animal    | Arthropoda                 | -20440000     | -15970000    | Acasta
Accipiter                                | Animal    | Chordata                   | -20440000     | -15970000    | Accipiter
