Abax                                     | Animal    | Arthropoda                 | -1806000      | -126000      | Abax
Abies                                    | Plant     | Pinophyta                  | -2588000      | -781000      | Abies
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -1806000      | -781000      | Abra
Acacia                                   | Plant     | Spermatophyta              | -1806000      | -781000      | Acacia
Acaena                                   | Plant     | Spermatophyta              | -2588000      | -781000      | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -1806000      | 2030         | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -2588000      | 2030         | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -1806000      | -781000      | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -1806000      | -781000      | Acanthocardia
Acanthochitona                           | Animal    | Mollusca                   | -2588000      | 2030         | Acanthochitona
Acanthocythereis                         | Animal    | Arthropoda                 | -1806000      | -781000      | <>
Acar                                     | Animal    | Mollusca                   | -1806000      | -781000      | Acar
Accipiter                                | Animal    | Chordata                   | -1800000      | -300000      | Accipiter
Acer                                     | Plant     | Spermatophyta              | -10300000     | -1800000     | Acer
Acervulina                               | Micro     | Foraminifera               | -2588000      | -781000      | <>
Acesta                                   | Animal    | Mollusca                   | -1806000      | -781000      | Acesta
Achatina                                 | Animal    | Mollusca                   | -2588000      | -11700       | Achatina
Achelous                                 | Animal    | Arthropoda                 | -2588000      | 2030         | Achelous
Acinonyx                                 | Animal    | Chordata                   | -2588000      | -11700       | Acinonyx
Acipenser                                | Animal    | Chordata                   | -15970000     | -781000      | Acipenser
Aclypea                                  | Animal    | Arthropoda                 | -2588000      | -781000      | Aclypea
Acmaea                                   | Animal    | Mollusca                   | -2588000      | 2030         | Acmaea
Acmena                                   | Plant     | Spermatophyta              | -2588000      | -781000      | Acmena
Acomys                                   | Animal    | Chordata                   | -2588000      | -11700       | Acomys
Acratocnus                               | Animal    | Chordata                   | -2588000      | -11700       | Acratocnus
Acris                                    | Animal    | Chordata                   | -1800000      | -300000      | Acris
Acrobates                                | Animal    | Chordata                   | -2588000      | -11700       | Acrobates
Acroloxus                                | Animal    | Mollusca                   | -5333000      | -11700       | Acroloxus
Acropora                                 | Animal    | Cnidaria                   | -2588000      | 2030         | Acropora
Acrosterigma                             | Animal    | Mollusca                   | -2588000      | -781000      | Acrosterigma
Actaea                                   | Animal    | Arthropoda                 | -2588000      | -11700       | Actaea
Actaeopyramis                            | Animal    | Mollusca                   | -2588000      | -11700       | Actaeopyramis
Acteocina                                | Animal    | Mollusca                   | -1806000      | -781000      | Acteocina
Acteon                                   | Animal    | Mollusca                   | -1806000      | -781000      | Acteon
Actinocythereis                          | Animal    | Arthropoda                 | -2588000      | -781000      | <>
Actitis                                  | Animal    | Chordata                   | -4900000      | -1800000     | Actitis
Actonia                                  | Animal    | Mollusca                   | -2588000      | 2030         | <>
Acuticythereis                           | Animal    | Arthropoda                 | -1806000      | -781000      | <>
Adamnestia                               | Animal    | Mollusca                   | -2588000      | -11700       | <>
Adamussium                               | Animal    | Mollusca                   | -2588000      | -781000      | Adamussium
Adelomelon                               | Animal    | Mollusca                   | -2588000      | -781000      | Adelomelon
Adeonellopsis                            | Animal    | Bryozoa                    | -1806000      | -781000      | <>
Admete                                   | Animal    | Mollusca                   | -2588000      | 2030         | Admete
Adrana                                   | Animal    | Mollusca                   | -1806000      | -781000      | Adrana
Adusta                                   | Animal    | Mollusca                   | -5333000      | -11700       | <>
Aechmophorus                             | Animal    | Chordata                   | -2588000      | -11700       | Aechmophorus
Aedes                                    | Animal    | Arthropoda                 | -4900000      | -1800000     | Aedes
Aegypius                                 | Animal    | Chordata                   | -2588000      | -781000      | Aegypius
Aenigmys                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Aepycamelus                              | Animal    | Chordata                   | -10300000     | -1800000     | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -1806000      | -781000      | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -2588000      | -11700       | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -1806000      | -781000      | Aequipecten
Aeshna                                   | Animal    | Arthropoda                 | -2588000      | -11700       | Aeshna
Aesopus                                  | Animal    | Mollusca                   | -2588000      | 2030         | Aesopus
Aetea                                    | Animal    | Bryozoa                    | -2588000      | -781000      | <>
Aethesia                                 | Animal    | Chordata                   | -5333000      | -11700       | Aethesia
Aethomys                                 | Animal    | Chordata                   | -1806000      | -781000      | Aethomys
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Agabus                                   | Animal    | Arthropoda                 | -1806000      | -781000      | Agabus
Agalmaceros                              | Animal    | Chordata                   | -2588000      | -11700       | Agalmaceros
Agama                                    | Animal    | Chordata                   | -5333000      | -11700       | Agama
Agapornis                                | Animal    | Chordata                   | -5333000      | -11700       | Agapornis
Agaricia                                 | Animal    | Cnidaria                   | -2588000      | 2030         | Agaricia
Agassizia                                | Animal    | Echinodermata              | -2588000      | -781000      | Agassizia
Agastachys                               | Plant     | Spermatophyta              | -2588000      | -126000      | Agastachys
Agathaeromys                             | Animal    | Chordata                   | -2588000      | -11700       | Agathaeromys
Agathidium                               | Animal    | Arthropoda                 | -2588000      | -781000      | Agathidium
Agathis                                  | Plant     | Pinophyta                  | -2588000      | -11700       | Agathis
Agathistoma                              | Animal    | Mollusca                   | -2588000      | -11700       | <>
Agathotoma                               | Animal    | Mollusca                   | -2588000      | -781000      | Agathotoma
Agatrix                                  | Animal    | Mollusca                   | -1806000      | -781000      | Agatrix
Agelaius                                 | Animal    | Chordata                   | -1800000      | -300000      | Agelaius
Agkistrodon                              | Animal    | Chordata                   | -1800000      | -300000      | Agkistrodon
Aglaia                                   | Plant     | Spermatophyta              | -2588000      | -11700       | Aglaia
Agriocharis                              | Animal    | Chordata                   | -1800000      | -300000      | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -2588000      | -11700       | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -4900000      | -1800000     | Agriotherium
Ahytherium                               | Animal    | Chordata                   | -2588000      | 2030         | Ahytherium
Ailuropoda                               | Animal    | Chordata                   | -2588000      | -11700       | Ailuropoda
Aimulosia                                | Animal    | Bryozoa                    | -1806000      | -781000      | <>
Aix                                      | Animal    | Chordata                   | -1800000      | -300000      | Aix
Aizengyps                                | Animal    | Chordata                   | -2588000      | -781000      | <>
Akialoa                                  | Animal    | Chordata                   | -2588000      | -11700       | Akialoa
Akleistostoma                            | Animal    | Mollusca                   | -5333000      | -11700       | <>
Akodon                                   | Animal    | Chordata                   | -2588000      | 2030         | Akodon
Alabamina                                | Micro     | Foraminifera               | -2588000      | -781000      | <>
Alaba                                    | Animal    | Mollusca                   | -2588000      | -781000      | Alaba
Alabina                                  | Animal    | Mollusca                   | -1806000      | -781000      | Alabina
Alauda                                   | Animal    | Chordata                   | -1806000      | -126000      | Alauda
Alca                                     | Animal    | Chordata                   | -2588000      | -11700       | Alca
Alcelaphus                               | Animal    | Chordata                   | -1806000      | -781000      | Alcelaphus
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Alectoris                                | Animal    | Chordata                   | -1806000      | -781000      | Alectoris
Alectryon                                | Plant     | Spermatophyta              | -2588000      | -11700       | Alectryon
Alepocephalus                            | Animal    | Chordata                   | -2588000      | -126000      | Alepocephalus
Aleurites                                | Plant     | Spermatophyta              | -2588000      | -11700       | Aleurites
Algarolutra                              | Animal    | Chordata                   | -2588000      | -11700       | Algarolutra
Aliculastrum                             | Animal    | Mollusca                   | -2588000      | -11700       | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Alilepus                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Alisma                                   | Plant     | Angiospermae               | -5333000      | -11700       | Alisma
Allactaga                                | Animal    | Chordata                   | -2588000      | -11700       | Allactaga
Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -2588000      | -126000      | Allocasuarina
Allocricetus                             | Animal    | Chordata                   | -1806000      | -781000      | <>
Allohippus                               | Animal    | Chordata                   | -1806000      | -126000      | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -1800000      | -300000      | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloconatica                              | Animal    | Mollusca                   | -2588000      | -781000      | <>
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Alopex
Alopias                                  | Animal    | Chordata                   | -1806000      | -781000      | Alopias
Alphitonia                               | Plant     | Spermatophyta              | -2588000      | -11700       | Alphitonia
Alticola                                 | Animal    | Chordata                   | -2588000      | -781000      | Alticola
Aluralagus                               | Animal    | Chordata                   | -1800000      | -300000      | <>
Aluterus                                 | Animal    | Chordata                   | -1806000      | -781000      | Aluterus
Alvania                                  | Animal    | Mollusca                   | -1806000      | -781000      | Alvania
Alveopora                                | Animal    | Cnidaria                   | -2588000      | 2030         | Alveopora
Alytes                                   | Animal    | Chordata                   | -1806000      | -781000      | Alytes
Amara                                    | Animal    | Arthropoda                 | -2588000      | -781000      | Amara
Amazonina                                | Animal    | Arthropoda                 | -2588000      | -11700       | <>
Amblychilepas                            | Animal    | Mollusca                   | -2588000      | -11700       | Amblychilepas
Amblysomus                               | Animal    | Chordata                   | -2588000      | 2030         | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Americardia                              | Animal    | Mollusca                   | -2588000      | -11700       | Americardia
Amia                                     | Animal    | Chordata                   | -1800000      | -300000      | Amia
Amiantis                                 | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ammobaculites                            | Micro     | Foraminifera               | -2588000      | -781000      | <>
Ammonia                                  | Micro     | Foraminifera               | -1806000      | -781000      | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -1800000      | -300000      | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | 2030         | Ammotragus
Amperea                                  | Plant     | Spermatophyta              | -2588000      | -781000      | Amperea
Amphibalanus                             | Animal    | Arthropoda                 | -3600000      | -781000      | Amphibalanus
Amphibolurus                             | Animal    | Chordata                   | -2588000      | -11700       | Amphibolurus
Amphiroa                                 | Plant     | Rhodophyta                 | -2588000      | -11700       | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -2588000      | -11700       | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -2588000      | -781000      | <>
Amphissa                                 | Animal    | Mollusca                   | -2588000      | 2030         | Amphissa
Amphistegina                             | Micro     | Foraminifera               | -2588000      | -11700       | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -2588000      | 2030         | Amphithalamus
Amplibuteo                               | Animal    | Chordata                   | -1800000      | -300000      | Amplibuteo
Amusium                                  | Animal    | Mollusca                   | -1806000      | -781000      | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -1806000      | -781000      | <>
Amyda                                    | Animal    | Chordata                   | -2588000      | -11700       | Amyda
Amygdalum                                | Animal    | Mollusca                   | -1630000      | -340000      | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -1800000      | -300000      | Anabernicula
Anachis                                  | Animal    | Mollusca                   | -1806000      | -781000      | Anachis
Anadara                                  | Animal    | Mollusca                   | -1806000      | -781000      | Anadara
Anakinetica                              | Animal    | Brachiopoda                | -1806000      | -781000      | Anakinetica
Anancus                                  | Animal    | Chordata                   | -15970000     | -781000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | 2030         | <>
Anapella                                 | Animal    | Mollusca                   | -2588000      | -781000      | <>
Anapesus                                 | Animal    | Echinodermata              | -2588000      | -11700       | <>
Anas                                     | Animal    | Chordata                   | -1800000      | -300000      | Anas
Anatoma                                  | Animal    | Mollusca                   | -2588000      | -11700       | Anatoma
Anazola                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ancilla                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancilla
Ancylotherium                            | Animal    | Chordata                   | -2588000      | -781000      | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancylus
Andinomys                                | Animal    | Chordata                   | -2588000      | -781000      | Andinomys
Angaria                                  | Animal    | Mollusca                   | -1806000      | -126000      | Angaria
Anguis                                   | Animal    | Chordata                   | -1806000      | -781000      | Anguis
Angulogerina                             | Micro     | Foraminifera               | -1806000      | -781000      | <>
Angulus                                  | Animal    | Mollusca                   | -1806000      | -781000      | Angulus
Anhinga                                  | Animal    | Chordata                   | -2588000      | -11700       | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisodonta                               | Animal    | Mollusca                   | -2588000      | -11700       | <>
Anisus                                   | Animal    | Mollusca                   | -1806000      | -781000      | Anisus
Annachlamys                              | Animal    | Mollusca                   | -5333000      | -11700       | Annachlamys
Anniella                                 | Animal    | Chordata                   | -1800000      | -300000      | Anniella
Anobium                                  | Animal    | Arthropoda                 | -1806000      | -126000      | Anobium
Anodonta                                 | Animal    | Mollusca                   | -2588000      | -781000      | Anodonta
Anodontia                                | Animal    | Mollusca                   | -1806000      | -781000      | Anodontia
Anodopetalum                             | Plant     | Spermatophyta              | -2588000      | -126000      | Anodopetalum
Anoglochis                               | Animal    | Chordata                   | -2588000      | -11700       | <>
Anolis                                   | Animal    | Chordata                   | -2588000      | -11700       | Anolis
Anomalina                                | Micro     | Foraminifera               | -2588000      | -781000      | <>
Anomalocardia                            | Animal    | Mollusca                   | -1806000      | -781000      | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -2588000      | 2030         | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -1806000      | -781000      | Anomia
Anomodon                                 | Animal    | Chordata                   | -2588000      | -11700       | Anomodon
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Anopterus                                | Plant     | Spermatophyta              | -2588000      | -126000      | Anopterus
Anotylus                                 | Animal    | Arthropoda                 | -2588000      | -781000      | Anotylus
Anourosorex                              | Animal    | Chordata                   | -2588000      | -781000      | Anourosorex
Anser                                    | Animal    | Chordata                   | -1800000      | -300000      | Anser
Antalis                                  | Animal    | Mollusca                   | -2588000      | 2030         | Antalis
Antecalomys                              | Animal    | Chordata                   | -4900000      | -1800000     | <>
Antechinomys                             | Animal    | Chordata                   | -2588000      | -11700       | Antechinomys
Antechinus                               | Animal    | Chordata                   | -2588000      | -11700       | Antechinus
Anthemiphyllia                           | Animal    | Cnidaria                   | -2588000      | -11700       | <>
Anthicus                                 | Animal    | Arthropoda                 | -2588000      | -781000      | Anthicus
Anthobium                                | Animal    | Arthropoda                 | -2588000      | -781000      | Anthobium
Anthoceros                               | Plant     | Anthocerophyta             | -2588000      | -11700       | Anthoceros
Anthus                                   | Animal    | Chordata                   | -1806000      | -781000      | Anthus
Anticlimax                               | Animal    | Mollusca                   | -2588000      | -781000      | Anticlimax
Antidorcas                               | Animal    | Chordata                   | -1806000      | -781000      | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -2588000      | 2030         | Antigona
Antigone                                 | Animal    | Chordata                   | -2588000      | -11700       | Antigone
Antillophos                              | Animal    | Mollusca                   | -2588000      | -11700       | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -2588000      | 2030         | Antillophyllia
Antillothrix                             | Animal    | Chordata                   | -2588000      | -11700       | Antillothrix
Antilocapra                              | Animal    | Chordata                   | -1800000      | -12000       | Antilocapra
Antilope                                 | Animal    | Chordata                   | -2588000      | -11700       | Antilope
Antiplanes                               | Animal    | Mollusca                   | -2588000      | 2030         | Antiplanes
Antropora                                | Animal    | Bryozoa                    | -1806000      | -781000      | Antropora
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Anzanycteris                             | Animal    | Chordata                   | -4900000      | -1800000     | <>
Aonyx                                    | Animal    | Chordata                   | -1806000      | -781000      | Aonyx
Aorotrema                                | Animal    | Mollusca                   | -2588000      | -781000      | Aorotrema
Apalone                                  | Animal    | Chordata                   | -1800000      | -300000      | Apalone
Aphananthe                               | Plant     | Spermatophyta              | -2588000      | -11700       | Aphananthe
Aphanopus                                | Animal    | Chordata                   | -1806000      | -781000      | Aphanopus
Aphelesia                                | Animal    | Brachiopoda                | -1806000      | -781000      | <>
Aphelops                                 | Animal    | Chordata                   | -1800000      | -300000      | Aphelops
Aphia                                    | Animal    | Chordata                   | -1806000      | -781000      | Aphia
Aphodius                                 | Animal    | Arthropoda                 | -1800000      | -300000      | Aphodius
Apodemus                                 | Animal    | Chordata                   | -1806000      | -126000      | Apodemus
Apodytes                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Apodytes
Apolymetis                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Aporrhais                                | Animal    | Mollusca                   | -1806000      | -781000      | Aporrhais
Aptenodytes                              | Animal    | Chordata                   | -2400000      | -1630000     | Aptenodytes
Aptyxis                                  | Animal    | Mollusca                   | -2588000      | -781000      | Aptyxis
Apus                                     | Animal    | Chordata                   | -5333000      | -11700       | Apus
Aquila                                   | Animal    | Chordata                   | -1800000      | -300000      | Aquila
Arachnopusia                             | Animal    | Bryozoa                    | -1630000      | -340000      | <>
Araloselachus                            | Animal    | Chordata                   | -2588000      | -781000      | <>
Araucaria                                | Plant     | Pinophyta                  | -2588000      | -11700       | Araucaria
Arbacia                                  | Animal    | Echinodermata              | -2588000      | -11700       | Arbacia
Arca                                     | Animal    | Mollusca                   | -1806000      | -781000      | Arca
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -2588000      | -11700       | <>
Archaeomylodon                           | Animal    | Chordata                   | -1200000      | -781000      | <>
