Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -168300000    | -163500000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abolescus                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrderma                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrenthorrhinus                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrocossus                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrohadeocoleodes                        | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrotoma                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrotoxyela                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrotus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abscondus                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -164700000    | -157300000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -164700000    | -150800000   | <>
Acanthocythere                           | Animal    | Arthropoda                 | -167700000    | -164700000   | <>
Acanthogyra                              | Animal    | Cnidaria                   | -164700000    | -155700000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Acanthothiris                            | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Acastea                                  | Micro     | Radiolaria                 | -164700000    | -150800000   | <>
Acesta                                   | Animal    | Mollusca                   | -164700000    | -150800000   | Acesta
Acheonus                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Achistrum                                | Animal    | Echinodermata              | -164700000    | -161200000   | Achistrum
Achrysopilus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acirsa                                   | Animal    | Mollusca                   | -166100000    | -163500000   | Acirsa
Acisarcuatus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aclemus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aclistophasma                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acmaea                                   | Animal    | Mollusca                   | -174100000    | -163500000   | Acmaea
Acmaeoderimorpha                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acrocythere                              | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Acrodus                                  | Animal    | Chordata                   | -167700000    | -164700000   | Acrodus
Acrosalenia                              | Animal    | Echinodermata              | -166100000    | -163500000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -166100000    | -157300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Acteonina                                | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -164700000    | -155700000   | <>
Actinomma                                | Micro     | Radiolaria                 | -166100000    | -163500000   | <>
Actinostreon                             | Animal    | Mollusca                   | -164700000    | -150800000   | <>
Actinostroma                             | Animal    | Porifera                   | -166100000    | -157300000   | <>
Actostroma                               | Animal    | Porifera                   | -164700000    | -161200000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adabofoloceras                           | Animal    | Mollusca                   | -168300000    | -163500000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -164700000    | -150800000   | <>
Adiagnostus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Adjacivena                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Advenaster                               | Animal    | Echinodermata              | -164700000    | -161200000   | <>
Aeger                                    | Animal    | Arthropoda                 | -164700000    | -161200000   | Aeger
Aenictobelostoma                         | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Aenigmephemera                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aenigmestrinus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aequipecten                              | Animal    | Mollusca                   | -166100000    | -163500000   | Aequipecten
Aequispirella                            | Animal    | Mollusca                   | -164700000    | -161200000   | Aequispirella
Aequitriradites                          | Plant     | Bryophyta                  | -168300000    | -157300000   | <>
Aequixyela                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aerophasma                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aethirhynchia                            | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Aethotoma                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Affinigramma                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Africogryphaea                           | Animal    | Mollusca                   | -164700000    | -155700000   | <>
Afrocytheridea                           | Animal    | Arthropoda                 | -166100000    | -163500000   | <>
Afropollis                               | Plant     | Angiospermae               | -174100000    | -93500000    | <>
Afrovenator                              | Animal    | Chordata                   | -174100000    | -145000000   | Afrovenator
Agathammina                              | Micro     | Foraminifera               | -166100000    | -163500000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -167700000    | -164700000   | Agathoxylon
Ageratus                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aggomorphastraea                         | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Agilodocodon                             | Animal    | Chordata                   | -164700000    | -161200000   | Agilodocodon
Agrawalimya                              | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Agrilium                                 | Animal    | Arthropoda                 | -166100000    | -163500000   | <>
Aguilerella                              | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Ahirmoneura                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aidium                                   | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Akaimia                                  | Animal    | Chordata                   | -164700000    | -161200000   | Akaimia
Akainalepidopteron                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Akera                                    | Animal    | Mollusca                   | -166100000    | -163500000   | Akera
Aktassia                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alaodima                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Albanesiceras                            | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Alievium                                 | Micro     | Radiolaria                 | -164700000    | -161200000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -164700000    | -161200000   | <>
Allaboilus                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alligaticeras                            | Animal    | Mollusca                   | -164700000    | -161200000   | Alligaticeras
Allocoenia                               | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Allognosis                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Alloioscarabaeus                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
