Abavornis                                | Animal    | Chordata                   | -100500000    | -66000000    | Abavornis
Abdarainurus                             | Animal    | Chordata                   | -86300000     | -72100000    | Abdarainurus
Abelisaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | Abelisaurus
Acaeniotyle                              | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -83500000     | -70600000    | Acanthocardia
Acanthochaetetes                         | Animal    | Porifera                   | -83500000     | -70600000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Acanthocythereis                         | Animal    | Arthropoda                 | -83600000     | -72100000    | <>
Acanthodiscus Centrales                  | Plant     | Ochrophyta                 | -83600000     | -72100000    | <>
Acantholipan                             | Animal    | Chordata                   | -83600000     | -72100000    | Acantholipan
Acanthoscaphites                         | Animal    | Mollusca                   | -83500000     | -70600000    | Acanthoscaphites
Acanthoscyllium                          | Animal    | Chordata                   | -85800000     | -83500000    | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -83500000     | -70600000    | <>
Acanthoxenophora                         | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Acar                                     | Animal    | Mollusca                   | -83500000     | -66000000    | Acar
Acastea                                  | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Accordiella                              | Micro     | Foraminifera               | -83500000     | -66000000    | <>
Acesta                                   | Animal    | Mollusca                   | -83500000     | -70600000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -83600000     | -72100000    | <>
Achelousaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Achelousaurus
Acicularia                               | Plant     | Chlorophyta                | -83600000     | -66000000    | Acicularia
Aciculiscala                             | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Acila                                    | Animal    | Mollusca                   | -83500000     | -70600000    | Acila
Acipenser                                | Animal    | Chordata                   | -83500000     | -70600000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -83500000     | -70600000    | Acirsa
Aclistochara                             | Plant     | Charophyta                 | -100500000    | -66000000    | <>
Acmaea                                   | Animal    | Mollusca                   | -83500000     | -70600000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acristavus                               | Animal    | Chordata                   | -83500000     | -70600000    | Acristavus
Acrochordonia                            | Animal    | Porifera                   | -83500000     | -70600000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Acrocythere                              | Animal    | Arthropoda                 | -83600000     | -72100000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -83500000     | -70600000    | <>
Acrotemnus                               | Animal    | Chordata                   | -100500000    | -66000000    | Acrotemnus
Acrotholus                               | Animal    | Chordata                   | -85800000     | -83500000    | Acrotholus
Acteonella                               | Animal    | Mollusca                   | -83500000     | -66000000    | Acteonella
Acteonina                                | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Acteon                                   | Animal    | Mollusca                   | -83500000     | -70600000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -100500000    | -66000000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -83500000     | -66000000    | <>
Actinocamax                              | Animal    | Mollusca                   | -100500000    | -66000000    | Actinocamax
Actinomma                                | Micro     | Radiolaria                 | -86300000     | -70600000    | <>
Actinophyma                              | Animal    | Echinodermata              | -83500000     | -70600000    | <>
Actinopora                               | Animal    | Bryozoa                    | -85800000     | -83500000    | Actinopora
Actinoptychus                            | Plant     | Ochrophyta                 | -83600000     | -72100000    | Actinoptychus
Actinosepia                              | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Acutostrea                               | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Acynodon                                 | Animal    | Chordata                   | -83500000     | -66000000    | Acynodon
Adamantinasuchus                         | Animal    | Chordata                   | -83500000     | -66000000    | Adamantinasuchus
Adamantisaurus                           | Animal    | Chordata                   | -83500000     | -66000000    | Adamantisaurus
Adamisaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | <>
