Aaptochiton                              | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Abadehella                               | Micro     | Foraminifera               | -265100000    | -259900000   | Abadehella
Abajudon                                 | Animal    | Chordata                   | -268800000    | -259900000   | <>
Aboculus                                 | Animal    | Echinodermata              | -265100000    | -259900000   | <>
Abrobairdia                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Acanthophillipsia                        | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -265100000    | -259900000   | <>
Achistrum                                | Animal    | Echinodermata              | -265100000    | -259900000   | Achistrum
Acitheca                                 | Plant     | Pteridophyta               | -265100000    | -259900000   | Acitheca
Acosarina                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Acratia                                  | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Acratinella                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Acrolepis                                | Animal    | Chordata                   | -268000000    | -252300000   | Acrolepis
Acropyge                                 | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Acrostichites                            | Plant     | Pteridophyta               | -265100000    | -252170000   | <>
Acteonina                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -265100000    | -259900000   | Actinoconchus
Aelurosaurus                             | Animal    | Chordata                   | -265100000    | -254170000   | Aelurosaurus
Aenigmocoleus                            | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Aequalicosta                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Afghanella                               | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Afroedischia                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Aganaster                                | Animal    | Echinodermata              | -265100000    | -259900000   | <>
Agarikophyllum                           | Animal    | Cnidaria                   | -272300000    | -259900000   | <>
Agathammina                              | Micro     | Foraminifera               | -265100000    | -252170000   | <>
Agathiceras                              | Animal    | Mollusca                   | -265100000    | -259900000   | Agathiceras
Aissoblatta                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Akagophyllum                             | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Akasakiella                              | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Alatochonetes                            | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Alatoproductus                           | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Albaillella                              | Micro     | Radiolaria                 | -265100000    | -259900000   | <>
Alekhosara                               | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Alepognathus                             | Animal    | Chordata                   | -265100000    | -259900000   | <>
Alispiriferella                          | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -265000000    | -252300000   | <>
Allorhynchus                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Allorisma                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Alopecideops                             | Animal    | Chordata                   | -265100000    | -259900000   | <>
Alopecodon                               | Animal    | Chordata                   | -265100000    | -259900000   | <>
Alopecognathus                           | Animal    | Chordata                   | -265100000    | -259900000   | Alopecognathus
Alopecorhinus                            | Animal    | Chordata                   | -265100000    | -254170000   | Alopecorhinus
Alphaneospirifer                         | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Alrausuchus                              | Animal    | Chordata                   | -272500000    | -265000000   | Alrausuchus
Alternifenestella                        | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Altiplecus                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
