Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abriolina                                | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Acadiella                                | Animal    | Chordata                   | -237000000    | -228000000   | <>
Acanomyphoria                            | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Acanthinopus                             | Animal    | Arthropoda                 | -237000000    | -201300000   | Acanthinopus
Acanthocircus                            | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -235000000    | -232000000   | Acanthosphaera
Acanthotheelia                           | Animal    | Echinodermata              | -235000000    | -232000000   | Acanthotheelia
Acanthotriletes                          | Plant| Lycophyta                  | -237000000    | -201300000   | <>
Acanthotropites                          | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Accintisporites                          | Plant     | Gymnospermophyta           | -235000000    | -232000000   | <>
Achistrum                                | Animal    | Echinodermata              | -235000000    | -232000000   | Achistrum
Acilia                                   | Animal    | Mollusca                   | -237000000    | -228000000   | Acilia
Acodina                                  | Animal    | Chordata                   | -237000000    | -228000000   | <>
Acratia                                  | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Acrochordiceras                          | Animal    | Mollusca                   | -247200000    | -221500000   | Acrochordiceras
Acrocosmia                               | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Acrodus                                  | Animal    | Chordata                   | -232000000    | -221500000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -242000000    | -235000000   | Acrolepis
Acrostichites                            | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -237000000    | -208500000   | <>
Acteonella                               | Animal    | Mollusca                   | -237000000    | -201300000   | Acteonella
Acteonina                                | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -237000000    | -228000000   | <>
Actinoconites                            | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Actinofungia                             | Animal    | Porifera                   | -235000000    | -232000000   | <>
Actinostreon                             | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Acuminatella                             | Animal    | Chordata                   | -238500000    | -227500000   | Acuminatella
Ademosyne                                | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Ademosynoides                            | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -237000000    | -228000000   | <>
Adygella                                 | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Aeger                                    | Animal    | Arthropoda                 | -235000000    | -232000000   | Aeger
Aeolisaccus                              | Micro     | Foraminifera               | -237000000    | -228000000   | <>
Aethophyllum                             | Plant     | Pinophyta                  | -237000000    | -228000000   | <>
Aetobarbakinoides                        | Animal    | Chordata                   | -237000000    | -208500000   | Aetobarbakinoides
Aetosauripus                             | Animal    | Chordata                   | -237000000    | -228000000   | <>
Aetosauroides                            | Animal    | Chordata                   | -237000000    | -208500000   | Aetosauroides
Afristella                               | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Afrohagla                                | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Afrotriassothemis                        | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Agathammina                              | Micro     | Foraminifera               | -235000000    | -232000000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -237000000    | -201300000   | Agathoxylon
Aghdarbandites                           | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Agrascapha                               | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Ainigmacrinus                            | Animal    | Echinodermata              | -237000000    | -228000000   | <>
Aka                                      | Animal    | Porifera                   | -235000000    | -232000000   | Aka
Aksumya                                  | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Albasphe                                 | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Alcoveria                                | Animal    | Chordata                   | -242000000    | -235000000   | Alcoveria
Alemoatherium                            | Animal    | Chordata                   | -237000000    | -208500000   | Alemoatherium
Aleodon                                  | Animal    | Chordata                   | -242000000    | -228000000   | Aleodon
Alipunctifera                            | Animal    | Brachiopoda                | -237000000    | -228000000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -237000000    | -201300000   | <>
Alkaites                                 | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Allochorista                             | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Allogevanites                            | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Allolepidotus                            | Animal    | Chordata                   | -242000000    | -235000000   | Allolepidotus
Allorisma                                | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Allostrophia                             | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Almasaurus                               | Animal    | Chordata                   | -237000000    | -228000000   | Almasaurus
Alostrobus                               | Plant     | Coniferophyta              | -237000000    | -201300000   | <>
Alpinocodium                             | Plant     | Chlorophyta                | -242000000    | -235000000   | <>
Alpinophragmium                          | Micro     | Foraminifera               | -237000000    | -208500000   | <>
Alpinophyllia                            | Animal    | Cnidaria                   | -235000000    | -232000000   | <>
Alpinothalamia                           | Animal    | Porifera                   | -232000000    | -221500000   | <>
Alpinotubus                              | Animal    | Annelida                   | -237000000    | -228000000   | <>
Alvinia                                  | Animal    | Chordata                   | -237000000    | -228000000   | Alvinia
Alwalkeria                               | Animal    | Chordata                   | -237000000    | -228000000   | Alwalkeria
Amarassites                              | Animal    | Mollusca                   | -237000000    | -201300000   | Amarassites
Amauropsis                               | Animal    | Mollusca                   | -235000000    | -232000000   | Amauropsis
Amblysiphonella                          | Animal    | Porifera                   | -232000000    | -221500000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -237000000    | -228000000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -235000000    | -232000000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -235000000    | -232000000   | Ammodiscus
Ammonites                                | Animal    | Mollusca                   | -235000000    | -232000000   | Ammonites
Amoenirhynchia                           | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Amonotis                                 | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Amorphofungia                            | Animal    | Porifera                   | -235000000    | -232000000   | <>
Ampezzamilda                             | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Ampezzoa                                 | Animal    | Arthropoda                 | -237000000    | -228000000   | Ampezzoa
Ampezzogyra                              | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Ampezzonaticopsis                        | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Ampezzopleura                            | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Ampezzoscala                             | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Ampezzotrochus                           | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Amphiclina                               | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Amphiclinodonta                          | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Amphijanira                              | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Amphisphaera                             | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Amphitomaria                             | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -237000000    | -201300000   | <>
Ampullina                                | Animal    | Mollusca                   | -235000000    | -232000000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -232000000    | -221500000   | Amusium
Anablatta                                | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Anagymnites                              | Animal    | Mollusca                   | -242000000    | -235000000   | Anagymnites
Anaschisma                               | Animal    | Chordata                   | -237000000    | -201300000   | Anaschisma
Anasirenites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Anasirenites
Anatibetites                             | Animal    | Mollusca                   | -232000000    | -215560000   | Anatibetites
Anatina                                  | Animal    | Mollusca                   | -235000000    | -232000000   | Anatina
Anatomites                               | Animal    | Mollusca                   | -232000000    | -221500000   | Anatomites
Anatrisauropus                           | Animal    | Chordata                   | -237000000    | -228000000   | Anatrisauropus
Anatropites                              | Animal    | Mollusca                   | -232000000    | -215560000   | Anatropites
Anaulocidaris                            | Animal    | Echinodermata              | -237000000    | -228000000   | <>
Anchisauripus                            | Animal    | Chordata                   | -237000000    | -201300000   | Anchisauripus
Anchistrocheles                          | Animal    | Arthropoda                 | -235000000    | -232000000   | <>
Ancyrogondolella                         | Animal    | Chordata                   | -237000000    | -201300000   | <>
Andescynodon                             | Animal    | Chordata                   | -237000000    | -208500000   | Andescynodon
Andrazella                               | Animal    | Cnidaria                   | -235000000    | -232000000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -237000000    | -201300000   | <>
Aneurolepis                              | Animal    | Chordata                   | -242000000    | -235000000   | <>
Angaria                                  | Animal    | Mollusca                   | -235000000    | -232000000   | Angaria
Angistorhinus                            | Animal    | Chordata                   | -237000000    | -228000000   | Angistorhinus
Anguispongia                             | Animal    | Porifera                   | -232000000    | -221500000   | <>
Angularia                                | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Angulatella                              | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Angulocircus                             | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Angulodiscus                             | Micro     | Foraminifera               | -237000000    | -228000000   | <>
Angustothyris                            | Animal    | Brachiopoda                | -235000000    | -232000000   | <>
