Abadehella                               | Micro     | Foraminifera               | -254170000    | -252170000   | Abadehella
Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Abichites                                | Animal    | Mollusca                   | -254170000    | -252170000   | Abichites
Abrobairdia                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Absina                                   | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -254170000    | -252170000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Acanthotriletes                          | Plant| Lycophyta                  | -272500000    | -252300000   | <>
Accintisporites                          | Plant     | Gymnospermophyta           | -2.599e+08    | -252170000   | <>
Acerosodontosaurus                       | Animal    | Chordata                   | -2.599e+08    | -252170000   | Acerosodontosaurus
Aclisina                                 | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Acoelia                                  | Animal    | Porifera                   | -254170000    | -252170000   | <>
Acosarina                                | Animal    | Brachiopoda                | -254170000    | -251300000   | <>
Acratia                                  | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Acratina                                 | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Acratinella                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Acrodus                                  | Animal    | Chordata                   | -254170000    | -252170000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -268000000    | -252300000   | Acrolepis
Acropyge                                 | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Acrostichites                            | Plant     | Pteridophyta               | -2.651e+08    | -252170000   | <>
Acteonina                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Actinocoelia                             | Animal    | Porifera                   | -254170000    | -252170000   | <>
Actinodontophora                         | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Actinopteria                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Actinoscytina                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Ademosyne                                | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Aelurognathus                            | Animal    | Chordata                   | -2.599e+08    | -252170000   | Aelurognathus
Aelurosaurus                             | Animal    | Chordata                   | -2.599e+08    | -252170000   | Aelurosaurus
Aenigmocoleus                            | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Afrocladus                               | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Afrogrylloblattus                        | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Afroperla                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Afrostenovicia                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Afrotaldycupes                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Agathammina                              | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Agetopanorpa                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Aissoblatta                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Akidnognathus                            | Animal    | Chordata                   | -2.599e+08    | -252170000   | Akidnognathus
Alatoproductus                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Alatorthotetina                          | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Albaillella                              | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Aldanoceras                              | Animal    | Mollusca                   | -254170000    | -251300000   | <>
Aleuronympha                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Algites                                  | Plant     | Phaeophyta                 | -2.599e+08    | -252300000   | <>
Alibashites                              | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -254170000    | -252170000   | <>
Allorhynchus                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Allorisma                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -2.599e+08    | -252170000   | <>
Aloposaurus                              | Animal    | Chordata                   | -2.599e+08    | -252170000   | Aloposaurus
Alphaneospirifer                         | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Altajopanorpa                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Alternifenestella                        | Animal    | Bryozoa                    | -254170000    | -252170000   | <>
Alula                                    | Animal    | Mollusca                   | -254170000    | -252170000   | Alula
Ambikella                                | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Ambithalamia                             | Animal    | Porifera                   | -254170000    | -252170000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -254170000    | -252170000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -259000000    | -252300000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -254170000    | -251300000   | Ammodiscus
Amphisauropus                            | Animal    | Chordata                   | -2.599e+08    | -252170000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -298900000    | -252170000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -254170000    | -252170000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -298900000    | -252170000   | Amplexus
Amygdalocosta                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Anakitala                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Ananias                                  | Animal    | Mollusca                   | -254170000    | -252170000   | Ananias
Anchicodium                              | Plant     | Chlorophyta                | -298900000    | -252170000   | <>
Anchorhynchia                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Ancorhynchia                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Anemonaria                               | Animal    | Brachiopoda                | -2.599e+08    | -252170000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -298900000    | -252170000   | <>
Angustichorista                          | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Annalepis                                | Plant| Lycophyta                  | -254170000    | -252170000   | <>
Annatherapsidus                          | Animal    | Chordata                   | -259000000    | -252300000   | Annatherapsidus
Annularia                                | Plant     | Sphenophyta                | -254170000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Anomaloscytina                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Anomia                                   | Animal    | Mollusca                   | -254170000    | -252170000   | Anomia
Anomphalus                               | Animal    | Mollusca                   | -254170000    | -252170000   | Anomphalus
Antalis                                  | Animal    | Mollusca                   | -254170000    | -252170000   | Antalis
Anteosaurus                              | Animal    | Chordata                   | -268000000    | -252300000   | Anteosaurus
Anthichnium                              | Animal    | Chordata                   | -268000000    | -252300000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -268800000    | -252170000   | <>
Apachella                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -254170000    | -252170000   | Aphelaeceras
Aphryganoneura                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Araeopora                                | Animal    | Cnidaria                   | -254170000    | -252170000   | <>
Arasella                                 | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -259000000    | -254000000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -254170000    | -252170000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Araxobairdia                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Araxoceras                               | Animal    | Mollusca                   | -254170000    | -252170000   | Araxoceras
Araxopora                                | Animal    | Bryozoa                    | -254170000    | -252170000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -254170000    | -252170000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -2.599e+08    | -252170000   | Archaeocidaris
Archaeolithoporella                      | Plant     | Rhodophyta                 | -254170000    | -252170000   | <>
Archaeomalthus                           | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Archeosmylus                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Archepetromantis                         | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Archosaurus                              | Animal    | Chordata                   | -259000000    | -252300000   | Archosaurus
Arcibairdia                              | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Arcticopora                              | Animal    | Bryozoa                    | -254170000    | -252170000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
