Abderites                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Abies                                    | Plant     | Pinophyta                  | -28100000     | -23030000    | Abies
Abra                                     | Animal    | Mollusca                   | -28100000     | -23030000    | Abra_(bivalve)
Acacia                                   | Plant     | Spermatophyta              | -33900000     | -23030000    | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acaenitus                                | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Acalles                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Acalles
Acamana                                  | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acamptogenotia                           | Animal    | Mollusca                   | -28100000     | -23030000    | Acamptogenotia
Acanthastrea                             | Animal    | Cnidaria                   | -28100000     | -23030000    | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -28400000     | -23030000    | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -28100000     | -23030000    | Acanthocardia
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthodesia                             | Animal    | Bryozoa                    | -28100000     | -23030000    | <>
Acanthogalathea                          | Animal    | Arthropoda                 | -56000000     | -23030000    | Acanthogalathea
Acarechimys                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acar                                     | Animal    | Mollusca                   | -28100000     | -20440000    | Acar
Acdestodon                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acdestoides                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Aceratherium                             | Animal    | Chordata                   | -28400000     | -23030000    | Aceratherium
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acer                                     | Plant     | Spermatophyta              | -28100000     | -20440000    | Maple
Acesta                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Achenium                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Achenium
Acheronictis                             | Animal    | Chordata                   | -30800000     | -20430000    | <>
Acheta                                   | Animal    | Arthropoda                 | -28100000     | -23030000    | Acheta
Acila                                    | Animal    | Mollusca                   | -28100000     | -23030000    | Acila
Acipenser                                | Animal    | Chordata                   | -28400000     | -23030000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Acirsa
Aclis                                    | Animal    | Mollusca                   | -28100000     | -23030000    | Aclis
Acmaea                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Acmaea
Acmena                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Acmena
Acmopyle                                 | Plant     | Coniferophyta              | -55800000     | -5333000     | Acmopyle
Acrobrochus                              | Animal    | Brachiopoda                | -27300000     | -25200000    | Acrobrochus
Acrocyon                                 | Animal    | Chordata                   | -48600000     | -15970000    | <>
Acronychia                               | Plant     | Spermatophyta              | -33900000     | -15970000    | Acronychia
Acropoma                                 | Animal    | Chordata                   | -25200000     | -21700000    | Acropoma
Acropora                                 | Animal    | Cnidaria                   | -28100000     | -20440000    | Acropora
Actaeites                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Acteocina                                | Animal    | Mollusca                   | -28100000     | -20440000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -28100000     | -20440000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -28100000     | -23030000    | <>
Actinaraea                               | Animal    | Cnidaria                   | -28100000     | -23030000    | <>
Actinidia                                | Plant     | Spermatophyta              | -28100000     | -23030000    | Actinidia
Actinocythereis                          | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Actuariolum                              | Animal    | Chordata                   | -25200000     | -21700000    | <>
Acutostrea                               | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Adamussium                               | Animal    | Mollusca                   | -28100000     | -23030000    | Adamussium
Adelomelon                               | Animal    | Mollusca                   | -37200000     | -11608000    | Adelomelon
Adelomyarion                             | Animal    | Chordata                   | -28100000     | -23030000    | <>
Adelpharctos                             | Animal    | Chordata                   | -28400000     | -23030000    | <>
Adeona                                   | Animal    | Bryozoa                    | -33900000     | -5333000     | Adeona
Adeonellopsis                            | Animal    | Bryozoa                    | -28100000     | -23030000    | <>
Adiantum                                 | Plant     | Pteridophyta               | -33900000     | -5333000     | Adiantum
Adilophontes                             | Animal    | Chordata                   | -24800000     | -20430000    | Adilophontes
Adocus                                   | Animal    | Chordata                   | -28100000     | -23030000    | Adocus
Adrana                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Adrana
Aechmella                                | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aeneator                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Aequipecten                              | Animal    | Mollusca                   | -28100000     | -23030000    | Aequipecten
Aeshna                                   | Animal    | Arthropoda                 | -28100000     | -23030000    | Aeshna
Aetalion                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Aetheia                                  | Animal    | Brachiopoda                | -27300000     | -25200000    | <>
Aetiocetus                               | Animal    | Chordata                   | -28100000     | -23030000    | Aetiocetus
Aforia                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Aforia
Afrohyrax                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Agabus                                   | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Agama                                    | Animal    | Chordata                   | -28100000     | -23030000    | Agama
Agapilia                                 | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Agaricia                                 | Animal    | Cnidaria                   | -28100000     | -23030000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -28100000     | -23030000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -28100000     | -11620000    | Agassizia
Agathiphyllia                            | Animal    | Cnidaria                   | -28100000     | -23030000    | <>
Agathis                                  | Plant     | Pinophyta                  | -28400000     | -15970000    | Agathis
Aglaoreidia                              | Plant     | Angiospermae               | -33900000     | -15970000    | <>
Aglyptorhynchus                          | Animal    | Chordata                   | -27300000     | -25200000    | Aglyptorhynchus
Agnopterus                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Agnotocastor                             | Animal    | Chordata                   | -28400000     | -23030000    | Agnotocastor
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agorophius                               | Animal    | Chordata                   | -28100000     | -23030000    | Agorophius
Agrilus                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Agrilus
Agriochoerus                             | Animal    | Chordata                   | -30800000     | -20430000    | Agriochoerus
Agriopoma                                | Animal    | Mollusca                   | -28400000     | -23030000    | Agriopoma
Aguascalientia                           | Animal    | Chordata                   | -24800000     | -20430000    | Aguascalientia
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -28100000     | -23030000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Aixaphis                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Alabamina                                | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Alangium                                 | Plant     | Spermatophyta              | -28400000     | -15970000    | Alangium
Alashania                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Alastor                                  | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Albanerpeton                             | Animal    | Chordata                   | -28400000     | -23030000    | Albanerpeton
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertocetus                             | Animal    | Chordata                   | -28100000     | -23030000    | Albertocetus
Albula                                   | Animal    | Chordata                   | -28100000     | -23030000    | Albula_(fish)
Alcespina                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Alcithoe                                 | Animal    | Mollusca                   | -28400000     | -23030000    | Alcithoe
Aldrovanda                               | Plant     | Spermatophyta              | -28100000     | -23030000    | Aldrovanda
Alectryon                                | Plant     | Spermatophyta              | -28400000     | -15970000    | Alectryon_(plant)
Aletomeryx                               | Animal    | Chordata                   | -24800000     | -20430000    | Aletomeryx
Aliculastrum                             | Animal    | Mollusca                   | -28100000     | -23030000    | Aliculastrum
Aliquantula                              | Animal    | Brachiopoda                | -27300000     | -25200000    | <>
Alisma                                   | Plant     | Angiospermae               | -28100000     | -23030000    | Alisma
Allacerops                               | Animal    | Chordata                   | -28100000     | -23030000    | Allacerops
Allantopora                              | Animal    | Bryozoa                    | -28100000     | -23030000    | <>
Alligator                                | Animal    | Chordata                   | -30800000     | -20430000    | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -33900000     | -15970000    | Allocasuarina
Allocyon                                 | Animal    | Chordata                   | -30800000     | -20430000    | <>
Allodelphis                              | Animal    | Chordata                   | -28100000     | -23030000    | Allodelphis
Allodesmus                               | Animal    | Chordata                   | -28100000     | -23030000    | Allodesmus
Allodia                                  | Animal    | Arthropoda                 | -28100000     | -23030000    | Allodia
Allomorone                               | Animal    | Chordata                   | -28100000     | -23030000    | Allomorone
Allomys                                  | Animal    | Chordata                   | -30800000     | -20430000    | <>
Alnus                                    | Plant     | Spermatophyta              | -28100000     | -20440000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -28400000     | -23030000    | Alopecocyon
Alopias                                  | Animal    | Chordata                   | -28100000     | -23030000    | Alopias
Alosa                                    | Animal    | Chordata                   | -33900000     | -5333000     | Alosa
Alpheus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Alpheus_(shrimp)
Alphonsea                                | Plant     | Spermatophyta              | -28400000     | -23030000    | Alphonsea
Alsophilocaulis                          | Plant     | Pteridophyta               | -28400000     | -23030000    | <>
Alvania                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Alvania
Alveopora                                | Animal    | Cnidaria                   | -28100000     | -20440000    | Alveopora
Alwoodia                                 | Animal    | Chordata                   | -24800000     | -20430000    | <>
Alysia                                   | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Alyxia                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Alyxia
Amalda                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Amalda
Amaurellina                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Amauropsis                               | Animal    | Mollusca                   | -28400000     | -15970000    | Amauropsis
Amblypygus                               | Animal    | Echinodermata              | -28100000     | -20440000    | <>
Ameghinomya                              | Animal    | Mollusca                   | -28400000     | -15970000    | <>
Ameghinornis                             | Animal    | Chordata                   | -56000000     | -15970000    | Ameghinornis
Amelanchier                              | Plant     | Spermatophyta              | -33900000     | -5333000     | Amelanchier
Amiantis                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -28400000     | -23030000    | Ammodiscus
Ammonia                                  | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Amnicola                                 | Animal    | Mollusca                   | -28100000     | -20440000    | Amnicola
Ampelopsis                               | Plant     | Spermatophyta              | -28100000     | -23030000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -24800000     | -20430000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Amphicaenopus                            | Animal    | Chordata                   | -30800000     | -20430000    | <>
Amphiclotho                              | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Amphicticeps                             | Animal    | Chordata                   | -28400000     | -23030000    | <>
Amphictis                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Amphicynodon                             | Animal    | Chordata                   | -28400000     | -23030000    | Amphicynodon
Amphicyon                                | Animal    | Chordata                   | -28100000     | -23030000    | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -28400000     | -15970000    | <>
Amphiope                                 | Animal    | Echinodermata              | -28400000     | -23030000    | <>
Amphioplus                               | Animal    | Echinodermata              | -33900000     | -23030000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -28100000     | -23030000    | <>
Amphissa                                 | Animal    | Mollusca                   | -28100000     | -23030000    | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -28100000     | -23030000    | Amphistegina
Amphithomisus                            | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Amphitragulus                            | Animal    | Chordata                   | -28100000     | -23030000    | Amphitragulus
Amphitrogulus                            | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Amphorometra                             | Animal    | Echinodermata              | -25200000     | -21700000    | <>
Ampullina                                | Animal    | Mollusca                   | -28100000     | -23030000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -28100000     | -20440000    | Ampullinopsis
Amusium                                  | Animal    | Mollusca                   | -28100000     | -20440000    | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Amydrocarcinus                           | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Amygdalum                                | Animal    | Mollusca                   | -28400000     | -23030000    | Amygdalum
Amynodon                                 | Animal    | Chordata                   | -28100000     | -23030000    | <>
Amyzon                                   | Animal    | Chordata                   | -33900000     | -23030000    | <>
Anacardites                              | Plant     | Spermatophyta              | -33900000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anachis                                  | Animal    | Mollusca                   | -28100000     | -20440000    | Anachis
Anadara                                  | Animal    | Mollusca                   | -28100000     | -20440000    | Anadara
Anaesthetis                              | Animal    | Arthropoda                 | -28100000     | -23030000    | Anaesthetis
Anapepta                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Anayatherium                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anazola                                  | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Anchitherium                             | Animal    | Chordata                   | -24800000     | -20430000    | Anchitherium
Ancilla                                  | Animal    | Mollusca                   | -28100000     | -20440000    | Ancilla_(gastropod)
Ancillarina                              | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Ancistrolepis                            | Animal    | Mollusca                   | -28100000     | -23030000    | Ancistrolepis
Anconia                                  | Animal    | Mollusca                   | -28400000     | -23030000    | Anconia
Ancylocoelus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andinogale                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Andrewsornis                             | Animal    | Chordata                   | -29000000     | -21000000    | Andrewsornis
Andrias                                  | Animal    | Chordata                   | -28400000     | -23030000    | Andrias
Anechinocardium                          | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Anenchelum                               | Animal    | Chordata                   | -33900000     | -23030000    | <>
Angaria                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Angaria_(gastropod)
Angistoma                                | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Anguilla                                 | Animal    | Chordata                   | -28100000     | -23030000    | <>
Anguis                                   | Animal    | Chordata                   | -28400000     | -23030000    | Anguis
Anguispira                               | Animal    | Mollusca                   | -28400000     | -15970000    | Anguispira
Angulogerina                             | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Angulus                                  | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Anhinga                                  | Animal    | Chordata                   | -28400000     | -23030000    | Anhinga
Anilioides                               | Animal    | Chordata                   | -24800000     | -20430000    | <>
Anisaster                                | Animal    | Echinodermata              | -28100000     | -23030000    | <>
Anisocoenia                              | Animal    | Cnidaria                   | -33900000     | -23030000    | <>
Anisops                                  | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Ankotarinja                              | Animal    | Chordata                   | -28400000     | -23030000    | <>
Ankylodon                                | Animal    | Chordata                   | -30800000     | -26300000    | <>
Ankylorhiza                              | Animal    | Chordata                   | -28100000     | -23030000    | Ankylorhiza
Annectina                                | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Anodontia                                | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Anolis                                   | Animal    | Chordata                   | -30800000     | -20430000    | Anolis
Anomala                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -33900000     | -23030000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -28100000     | -23030000    | <>
Anomalocardia                            | Animal    | Mollusca                   | -28100000     | -20440000    | Anomalocardia
Anomia                                   | Animal    | Mollusca                   | -28100000     | -23030000    | Anomia_(bivalve)
Anomoemys                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Anomotherium                             | Animal    | Chordata                   | -28100000     | -23030000    | Anomotherium
Anopheles                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Anopheles
Anoura                                   | Animal    | Chordata                   | -33900000     | -23030000    | Anoura
Anoxypristis                             | Animal    | Chordata                   | -28400000     | -23030000    | Anoxypristis
Ansomys                                  | Animal    | Chordata                   | -28400000     | -23030000    | <>
Antalis                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Antalis
Antawallathentes                         | Animal    | Chordata                   | -29000000     | -21000000    | <>
Anthemiphyllia                           | Animal    | Cnidaria                   | -28100000     | -20440000    | <>
Anthicus                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Anthicus
Anthidium                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Anthidium
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Anthocyrtidium                           | Micro     | Radiolaria                 | -33900000     | -23030000    | <>
Antholithes                              | Plant     | Pteridospermophyta         | -33900000     | -23030000    | <>
Anthomyia                                | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthomyia
Anthophagus                              | Animal    | Arthropoda                 | -28400000     | -23030000    | Anthophagus
Anthophorites                            | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Anthracida                               | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Anthracotherium                          | Animal    | Chordata                   | -28100000     | -23030000    | Anthracotherium
Anthropornis                             | Animal    | Chordata                   | -28400000     | -15970000    | Anthropornis
