Abax                                     | Animal    | Arthropoda                 | -781000       | -126000      | <>
Abies                                    | Plant     | Pinophyta                  | -300000       | -12000       | Abies
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -781000       | -126000      | Abra_(bivalve)
Abrothrix                                | Animal    | Chordata                   | -300000       | -12000       | Abrothrix
Acacia                                   | Plant     | Spermatophyta              | -781000       | 2030         | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -1806000      | 2030         | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -781000       | -126000      | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -781000       | -126000      | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -781000       | -126000      | Acanthocardia
Acanthochaetetes                         | Animal    | Porifera                   | -781000       | -126000      | <>
Acanthochitona                           | Animal    | Mollusca                   | -781000       | -126000      | Acanthochitona
Acanthodactylus                          | Animal    | Chordata                   | -781000       | -126000      | Acanthodactylus
Acar                                     | Animal    | Mollusca                   | -781000       | -11700       | Acar
Accipiter                                | Animal    | Chordata                   | -300000       | -12000       | Accipiter
Acerina                                  | Animal    | Chordata                   | -781000       | -126000      | <>
Acer                                     | Plant     | Spermatophyta              | -300000       | -12000       | Maple
Acervulina                               | Micro     | Foraminifera               | -781000       | -11700       | <>
Acharax                                  | Animal    | Mollusca                   | -781000       | -11700       | <>
Achatina                                 | Animal    | Mollusca                   | -2588000      | -11700       | Achatina
Achelous                                 | Animal    | Arthropoda                 | -781000       | -126000      | <>
Acidota                                  | Animal    | Arthropoda                 | -781000       | -126000      | <>
Acila                                    | Animal    | Mollusca                   | -781000       | -126000      | Acila
Acinonyx                                 | Animal    | Chordata                   | -781000       | -126000      | Acinonyx
Acipenser                                | Animal    | Chordata                   | -781000       | -126000      | Acipenser
Acmaea                                   | Animal    | Mollusca                   | -781000       | -126000      | Acmaea
Acomys                                   | Animal    | Chordata                   | -2588000      | -11700       | Acomys
Acorylus                                 | Animal    | Mollusca                   | -781000       | -126000      | <>
Acratocnus                               | Animal    | Chordata                   | -2588000      | -11700       | Acratocnus
Acris                                    | Animal    | Chordata                   | -1800000      | -300000      | Acris
Acrobates                                | Animal    | Chordata                   | -781000       | -11700       | Acrobates
Acroloxus                                | Animal    | Mollusca                   | -5333000      | -11700       | Acroloxus
Acropora                                 | Animal    | Cnidaria                   | -781000       | -11700       | Acropora
Acrosterigma                             | Animal    | Mollusca                   | -781000       | -126000      | Acrosterigma
Acrotrichis                              | Animal    | Arthropoda                 | -781000       | -126000      | Acrotrichis
Actaea                                   | Animal    | Arthropoda                 | -2588000      | -11700       | Actaea_(crab)
Actaeopyramis                            | Animal    | Mollusca                   | -2588000      | -11700       | Actaeopyramis
Actenomys                                | Animal    | Chordata                   | -781000       | -12000       | <>
Acteocina                                | Animal    | Mollusca                   | -781000       | -126000      | Acteocina
Acteon                                   | Animal    | Mollusca                   | -781000       | -126000      | Acteon
