Abavornis                                | Animal    | Chordata                   | -100500000    | -66000000    | Abavornis
Abrardia                                 | Micro     | Foraminifera               | -89800000     | -86300000    | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -89800000     | -86300000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -89800000     | -83600000    | Acanthocardia
Acanthoceras                             | Animal    | Mollusca                   | -93500000     | -89300000    | Acanthoceras_(ammonite)
Acanthochaetetes                         | Animal    | Porifera                   | -89800000     | -86300000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -89300000     | -85800000    | <>
Acastea                                  | Micro     | Radiolaria                 | -89800000     | -83600000    | <>
Accordiella                              | Micro     | Foraminifera               | -89800000     | -86300000    | <>
Acesta                                   | Animal    | Mollusca                   | -93500000     | -89300000    | Acesta
Achillobator                             | Animal    | Chordata                   | -100500000    | -83600000    | Achillobator
Acila                                    | Animal    | Mollusca                   | -93500000     | -89300000    | Acila
Acirsa                                   | Animal    | Mollusca                   | -93500000     | -89300000    | Acirsa
Aclistochara                             | Plant     | Charophyta                 | -100500000    | -66000000    | <>
Acmaea                                   | Animal    | Mollusca                   | -93500000     | -89300000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acoelocalyx                              | Animal    | Porifera                   | -89800000     | -86300000    | <>
Acrochordonia                            | Animal    | Porifera                   | -93500000     | -89300000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Acrotemnus                               | Animal    | Chordata                   | -100500000    | -66000000    | Acrotemnus
Acteonella                               | Animal    | Mollusca                   | -89300000     | -85800000    | Acteonella
Actinacis                                | Animal    | Cnidaria                   | -100500000    | -66000000    | <>
Actinaraea                               | Animal    | Cnidaria                   | -89300000     | -85800000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -100500000    | -83600000    | <>
Actinocamax                              | Animal    | Mollusca                   | -100500000    | -66000000    | Actinocamax
Actinoceramus                            | Animal    | Mollusca                   | -93500000     | -89300000    | Actinoceramus
Actinostromaria                          | Animal    | Porifera                   | -93500000     | -89300000    | <>
Adelohelea                               | Animal    | Arthropoda                 | -89800000     | -83600000    | <>
Adnetoscyllium                           | Animal    | Chordata                   | -93500000     | -89300000    | Adnetoscyllium
Adocus                                   | Animal    | Chordata                   | -100500000    | -83600000    | Adocus
Adriosaurus                              | Animal    | Chordata                   | -99600000     | -89300000    | Adriosaurus
Aechmella                                | Animal    | Bryozoa                    | -89800000     | -86300000    | <>
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegyptosuchus                            | Animal    | Chordata                   | -100500000    | -66000000    | Aegyptosuchus
Aenona                                   | Animal    | Mollusca                   | -93500000     | -89300000    | Aenona
Aeolisaccus                              | Micro     | Foraminifera               | -89300000     | -85800000    | <>
Aequipecten                              | Animal    | Mollusca                   | -100500000    | -86300000    | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -93900000     | -66000000    | <>
Afens                                    | Micro     | Radiolaria                 | -93500000     | -89300000    | <>
Afraster                                 | Animal    | Echinodermata              | -89300000     | -85800000    | <>
Afropollis                               | Plant     | Angiospermae               | -89800000     | -83600000    | <>
Agathelia                                | Animal    | Cnidaria                   | -89300000     | -66000000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agelasina                                | Animal    | Mollusca                   | -89800000     | -83600000    | <>
Ahmuellerella                            | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Aidachar                                 | Animal    | Chordata                   | -93500000     | -89300000    | Aidachar
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Akera                                    | Animal    | Mollusca                   | -93500000     | -89300000    | Akera
Alabamina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Alamirifica                              | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Alamodactylus                            | Animal    | Chordata                   | -89300000     | -85800000    | Alamodactylus
Alarimella                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Albanerpeton                             | Animal    | Chordata                   | -93500000     | -89300000    | Albanerpeton
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albula                                   | Animal    | Chordata                   | -93500000     | -89300000    | Albula_(fish)
Alectrosaurus                            | Animal    | Chordata                   | -100500000    | -83600000    | Alectrosaurus
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alievium                                 | Micro     | Radiolaria                 | -89300000     | -85800000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -93500000     | -85800000    | <>
Alleinacin                               | Animal    | Mollusca                   | -93500000     | -86300000    | <>
Allocrioceras                            | Animal    | Mollusca                   | -89300000     | -85800000    | Allocrioceras
Allomorphina                             | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Allophalerus                             | Animal    | Arthropoda                 | -89300000     | -85800000    | Allophalerus
Allosaurus                               | Animal    | Chordata                   | -99600000     | -89300000    | Allosaurus
Alnus                                    | Plant     | Spermatophyta              | -89800000     | -72100000    | Alnus
Amberleya                                | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Ambocardia                               | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Amia                                     | Animal    | Chordata                   | -89300000     | -83600000    | Amia
Ammobaculites                            | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ammobaculoides                           | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -93500000     | -89300000    | Ammodiscus
Ammomarginulina                          | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Ampelopsis
Amphidonte                               | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -89300000     | -85800000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -89300000     | -66000000    | Amphiroa
Amphiura                                 | Animal    | Echinodermata              | -93500000     | -89300000    | Amphiura
Amphizygus                               | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Ampullina                                | Animal    | Mollusca                   | -100500000    | -66000000    | Ampullina
Amtocephale                              | Animal    | Chordata                   | -100500000    | -83600000    | Amtocephale
Amuletum                                 | Animal    | Mollusca                   | -93900000     | -83600000    | <>
Anabisetia                               | Animal    | Chordata                   | -93500000     | -89300000    | Anabisetia
Anagaudryceras                           | Animal    | Mollusca                   | -89300000     | -85800000    | Anagaudryceras
Anatina                                  | Animal    | Mollusca                   | -89800000     | -83600000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -93500000     | -89300000    | Anatolemys
Anchistodelphys                          | Animal    | Chordata                   | -93500000     | -89300000    | <>
Anchura                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Ancistrocrania                           | Animal    | Brachiopoda                | -93500000     | -89300000    | Ancistrocrania
Andromeda                                | Plant     | Spermatophyta              | -89300000     | -83600000    | Andromeda_polifolia
Androvettia                              | Plant     | Coniferophyta              | -100500000    | -66000000    | <>
Anemia                                   | Plant     | Pteridophyta               | -100500000    | -66000000    | Anemia_(plant)
Aneuretoceras                            | Animal    | Mollusca                   | -89300000     | -85800000    | Aneuretoceras
Angolachelys                             | Animal    | Chordata                   | -89800000     | -86300000    | Angolachelys
Angolasaurus                             | Animal    | Chordata                   | -89800000     | -86300000    | Angolasaurus
Angolatitan                              | Animal    | Chordata                   | -89800000     | -86300000    | Angolatitan
Angulithes                               | Animal    | Mollusca                   | -100500000    | -86300000    | <>
Aniabrochus                              | Animal    | Brachiopoda                | -89800000     | -83600000    | <>
Anisoceras                               | Animal    | Mollusca                   | -89800000     | -86300000    | Anisoceras
Anisomyon                                | Animal    | Mollusca                   | -89300000     | -85800000    | <>
Ankinatsytes                             | Animal    | Mollusca                   | -89300000     | -85800000    | Ankinatsytes
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anofia                                   | Animal    | Mollusca                   | -89800000     | -83600000    | <>
Anomalina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Anomia                                   | Animal    | Mollusca                   | -100500000    | -66000000    | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomotodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Anomotodon
Anosteira                                | Animal    | Chordata                   | -100500000    | -83600000    | Anosteira
Antarctosaurus                           | Animal    | Chordata                   | -89300000     | -83500000    | Antarctosaurus
Anthribites                              | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Aoniraptor                               | Animal    | Chordata                   | -99600000     | -89300000    | Aoniraptor
Apateodus                                | Animal    | Chordata                   | -89800000     | -83600000    | Apateodus
