Aaptoryctes                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aatotomus                                | Animal    | Chordata                   | -61700000     | -56800000    | <>
Abdounia                                 | Animal    | Chordata                   | -66000000     | -61600000    | Abdounia
Abyssocypris                             | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
Acabaria                                 | Animal    | Cnidaria                   | -66000000     | -61600000    | Acabaria
Acanthocardia                            | Animal    | Mollusca                   | -66000000     | -59200000    | Acanthocardia
Acanthochaetetes                         | Animal    | Porifera                   | -66000000     | -61600000    | <>
Acanthocircus                            | Micro     | Radiolaria                 | -66000000     | -61600000    | <>
Acanthocythereis                         | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
Acanthodiscus Centrales                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Acar                                     | Animal    | Mollusca                   | -66000000     | -56000000    | Acar
Acer                                     | Plant     | Spermatophyta              | -66000000     | -2588000     | Maple
Acervulina                               | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Acesta                                   | Animal    | Mollusca                   | -66000000     | -56000000    | Acesta
Acetabularia                             | Plant     | Chlorophyta                | -66000000     | -61600000    | Acetabularia
Acheronodon                              | Animal    | Chordata                   | -61700000     | -56800000    | Acheronodon
Acherontisuchus                          | Animal    | Chordata                   | -61700000     | -55800000    | Acherontisuchus
Achradosporis                            | Plant     | Pteridophyta               | -66000000     | -61600000    | <>
Acicularia                               | Plant     | Chlorophyta                | -66000000     | -56000000    | Acicularia
Aciculella                               | Plant     | Chlorophyta                | -66000000     | -56000000    | <>
Acila                                    | Animal    | Mollusca                   | -66000000     | -56000000    | Acila
Acipenser                                | Animal    | Chordata                   | -61700000     | -56800000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -66000000     | -61600000    | Acirsa
Acleistochelys                           | Animal    | Chordata                   | -61700000     | -55800000    | <>
Aclis                                    | Animal    | Mollusca                   | -66000000     | -61600000    | Aclis
Acmaea                                   | Animal    | Mollusca                   | -66000000     | -56000000    | Acmaea
Acmeodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acrilla                                  | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -66000000     | -61600000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -66000000     | -61600000    | <>
Acrostichum                              | Plant     | Pteridophyta               | -61700000     | -55800000    | Acrostichum
Actaeites                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Acteocina                                | Animal    | Mollusca                   | -66000000     | -56000000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -61700000     | -55800000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Actinocythereis                          | Animal    | Arthropoda                 | -66000000     | -61600000    | <>
