Acanthambonia                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acanthoglypha                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Acanthoparypha                           | Animal    | Arthropoda                 | -468100000    | -449500000   | <>
Acanthopleurella                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Acanthotoechia                           | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Achatella                                | Animal    | Arthropoda                 | -470000000    | -458400000   | Achatella
Acidiphorus                              | Animal    | Arthropoda                 | -470000000    | -467300000   | <>
Acodus                                   | Animal    | Chordata                   | -468100000    | -460900000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Acrograptus                              | Animal    | Hemichordata               | -470000000    | -467300000   | <>
Acrothele                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -470000000    | -467300000   | <>
Actinoceras                              | Animal    | Mollusca                   | -470000000    | -443400000   | Actinoceras
Actinodonta                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Actinopeltis                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Actinopeltis
Adamsoceras                              | Animal    | Mollusca                   | -468100000    | -463500000   | Adamsoceras
Adelograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Aegiromena                               | Animal    | Brachiopoda                | -468100000    | -457500000   | <>
Agerina                                  | Animal    | Arthropoda                 | -468100000    | -463500000   | <>
Ahtiella                                 | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Alaskodiscus                             | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Alichovia                                | Animal    | Brachiopoda                | -477700000    | -467300000   | <>
Allograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Allopiloceras                            | Animal    | Mollusca                   | -485400000    | -468100000   | <>
Allosaccus                               | Animal    | Porifera                   | -468100000    | -460900000   | <>
Allumettoceras                           | Animal    | Mollusca                   | -470000000    | -443400000   | <>
Alococoncha                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Altha                                    | Animal    | Arthropoda                 | -478600000    | -466000000   | Altha
Alwynella                                | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Alwynopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -485400000    | -443400000   | <>
Ambonychia                               | Animal    | Mollusca                   | -470000000    | -458400000   | <>
Ambonychiopsis                           | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Amorphognathus                           | Animal    | Chordata                   | -470000000    | -458400000   | Amorphognathus
Amphilichas                              | Animal    | Arthropoda                 | -468100000    | -449500000   | <>
Amplexograptus                           | Animal    | Hemichordata               | -470000000    | -443400000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -470000000    | -458400000   | Amplexopora
Ampyx                                    | Animal    | Arthropoda                 | -468100000    | -460900000   | Ampyx
Ampyxina                                 | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Ampyxoides                               | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Anaphragma                               | Animal    | Bryozoa                    | -470000000    | -467300000   | <>
Anaspyroceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | <>
Anataphrus                               | Animal    | Arthropoda                 | -468100000    | -460900000   | Anataphrus
Anatiferocystis                          | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Anatolepis                               | Animal    | Chordata                   | -478600000    | -466000000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -470000000    | -458400000   | <>
Anchigonites                             | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Anebolithus                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Anebolithus
Anechophragma                            | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Angarella                                | Animal    | Mollusca                   | -478600000    | -466000000   | Angarella
Angelinoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Angelinoceras
Anglagnostus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Anglagnostus
Angusticardinia                          | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Anisochilina                             | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Anisocyamus                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Anisonotella                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisopleurella                           | Animal    | Brachiopoda                | -468100000    | -443400000   | <>
Annamitella                              | Animal    | Arthropoda                 | -471800000    | -468100000   | Annamitella
Anolotichia                              | Animal    | Bryozoa                    | -468100000    | -463500000   | <>
Anomalograptus                           | Animal    | Hemichordata               | -468100000    | -460900000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Anoptambonites                           | Animal    | Brachiopoda                | -470000000    | -443400000   | <>
Anrangeroceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Ansella                                  | Animal    | Chordata                   | -470000000    | -458400000   | <>
Anthaspidella                            | Animal    | Porifera                   | -468100000    | -460900000   | <>
Anthoceras                               | Animal    | Mollusca                   | -468100000    | -463500000   | Anthoceras
Anthracocrinus                           | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Antigonambonites                         | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Anulocrinus                              | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Aocaspis                                 | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Aostipora                                | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Aparchites                               | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apatochilina                             | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -471800000    | -466000000   | <>
Apatolichas                              | Animal    | Arthropoda                 | -471800000    | -457500000   | Apatolichas
Apheoorthis                              | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Aphetoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | Aphetoceras
Apianurus                                | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Apiograptus                              | Animal    | Hemichordata               | -468900000    | -466000000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Apomatella                               | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apteracontiodus                          | Animal    | Chordata                   | -470000000    | -467300000   | <>
Araiopleura                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
