Abludoglyptocrinus                       | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Abrograptus                              | Animal    | Hemichordata               | -463500000    | -460900000   | <>
Acanthambonia                            | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acanthobolbina                           | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthocordylodus                        | Animal    | Chordata                   | -460900000    | -449500000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -460900000    | -443400000   | <>
Acanthodina                              | Animal    | Chordata                   | -460900000    | -449500000   | <>
Acanthodus                               | Animal    | Chordata                   | -460900000    | -449500000   | Acanthodus
Acanthoglypha                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Acantholaminatus                         | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Acanthoparypha                           | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthopleurella                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Acanthorthis                             | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthotoechia                           | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acculina                                 | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acdalopora                               | Animal    | Cnidaria                   | -460900000    | -443700000   | <>
Achatella                                | Animal    | Arthropoda                 | -460900000    | -443700000   | Achatella
Achradocystites                          | Animal    | Echinodermata              | -460900000    | -455800000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -460900000    | -449500000   | Acidaspis
Acidiphorus                              | Animal    | Arthropoda                 | -466000000    | -463500000   | <>
Acidolites                               | Animal    | Cnidaria                   | -460900000    | -449500000   | <>
Acodus                                   | Animal    | Chordata                   | -460900000    | -443700000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Acrograptus                              | Animal    | Hemichordata               | -466000000    | -460900000   | <>
Acrosaccus                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acrothele                                | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -460900000    | -455800000   | <>
Acrotretella                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Actinoceras                              | Animal    | Mollusca                   | -460900000    | -449500000   | Actinoceras
Actinochilina                            | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Actinodiscus                             | Animal    | Echinodermata              | -460900000    | -449500000   | Actinodiscus
Actinodonta                              | Animal    | Mollusca                   | -460900000    | -457500000   | <>
Actinolobus                              | Animal    | Arthropoda                 | -463500000    | -460900000   | <>
Actinomena                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Actinopeltis                             | Animal    | Arthropoda                 | -460900000    | -449500000   | Actinopeltis
Actinopterinia                           | Animal    | Mollusca                   | -460900000    | -452000000   | <>
Adamsoceras                              | Animal    | Mollusca                   | -468100000    | -463500000   | Adamsoceras
Adelograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Aegiromena                               | Animal    | Brachiopoda                | -460900000    | -445600000   | <>
