Abakolia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Abharella                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Abharella
Aboriginella                             | Animal    | Brachiopoda                | -501000000    | -485400000   | Aboriginella
Absidaticonus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Acadagnostus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | Acadagnostus
Acadolenus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acanthotretella                          | Animal    | Brachiopoda                | -513000000    | -501000000   | Acanthotretella
Acareorthis                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Acerocare                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Acheilops                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aciculolenus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspidina                             | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Acidaspis
Acmarhachis                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Acmarhachis
Acodus                                   | Animal    | Chordata                   | -501000000    | -485400000   | Acodus
Acontheus                                | Animal    | Arthropoda                 | -513000000    | -501000000   | Acontheus
Acrocephalaspis                          | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Acrocephalella                           | Animal    | Arthropoda                 | -501000000    | -498500000   | Acrocephalella
Acrocephalites                           | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Acrocephalops                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acrothele                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Acrothyra                                | Animal    | Brachiopoda                | -501000000    | -485400000   | Acrothyra
Acrotreta                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Acutatagnostus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acuticarpus                              | Animal    | Echinodermata              | -501000000    | -485400000   | <>
Adaecyathus                              | Animal    | Porifera                   | -516000000    | -501000000   | <>
Aedotes                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aegitellus                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Aellograptus                             | Animal    | Hemichordata               | -501000000    | -498500000   | <>
Afghanocare                              | Animal    | Arthropoda                 | -501000000    | -498500000   | Afghanocare
Agaso                                    | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Agelagma                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Aglaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspis
Aglaspoides                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspoides
Agnostardis                              | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Agnostogonus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Agnostogonus
Agnostotes                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Agraulos
Aiaiaspis                                | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Ajrikina                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Akadocrinus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Akmolina                                 | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Aksayaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aladraco                                 | Animal    | Hyolitha                   | -505000000    | -504000000   | <>
Alalcomenaeus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Alalcomenaeus
Albansia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | Albansia
Albertella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Albertellina                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albertelloides                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albiconus                                | Animal    | Chordata                   | -501000000    | -485400000   | <>
Aldanaspis                               | Animal    | Arthropoda                 | -505000000    | -501000000   | Aldanaspis
Almohadella                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Altaiaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Altikolia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Altiocculus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Alueva                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Ambonolium                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amecephalites                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amiaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amictocracens                            | Animal    | Brachiopoda                | -504000000    | -501000000   | <>
Ammagnostus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amphigeisina                             | Animal    | Chaetognatha               | -513000000    | -501000000   | <>
Amphoton                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | Amphoton
Anabarella                               | Animal    | Mollusca                   | -504000000    | -501000000   | Anabarella
Anabaroconus                             | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Anabolotreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Anconochilus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Andrarina                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Anechocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Angulosuspongia                          | Animal    | Porifera                   | -513000000    | -501000000   | <>
Angulotreta                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Angusticellularia                        | Plant     | Rhodophyta                 | -501000000    | -485400000   | <>
Ankoura                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Anomalocalyx                             | Animal    | Brachiopoda                | -507000000    | -504000000   | Anomalocalyx
Anomalocaris                             | Animal    | Arthropoda                 | -513000000    | -498500000   | Anomalocaris
Anomocare                                | Animal    | Arthropoda                 | -505000000    | -504000000   | <>
Anomocarella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Anomocarina                              | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anomocarioides                           | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anopolenus                               | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anoria                                   | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Antagmus                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Antarcticocyathus                        | Animal    | Porifera                   | -501000000    | -485400000   | <>
Aojia                                    | Animal    | Arthropoda                 | -505000000    | -501000000   | Aojia
Apachia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Apatokephaloides                         | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aphelaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aphelotoxon                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Aplexura                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Apoplanias                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Apoptopegma                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -501000000    | -498500000   | <>
Aragocystites                            | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Araktina                                 | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Arapahoia                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Arcadiaspis                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Archaeocothurnus                         | Animal    | Echinodermata              | -501000000    | -485400000   | <>
Archaeolafoea                            | Animal    | Hemichordata               | -501000000    | -498500000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Archeoconus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Archinacella                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Arcifimbria                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Arctohedra                               | Animal    | Brachiopoda                | -507000000    | -504000000   | <>
Arcuolimbus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Arcuolimbus
Arellanella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Aremellia                                | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Armonia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Arthrochites                             | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Asaphiscus                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Asaphiscus
Asiapatella                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Aspidagnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -501000000    | -498500000   | <>
Asqaragnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Asthenopsis                              | Animal    | Arthropoda                 | -505000000    | -504000000   | Asthenopsis
Asturiaspis                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Asturicystis                             | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Athabaskia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Athabaskiella                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Atopasaphus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Attenuella                               | Animal    | Hyolitha                   | -501000000    | -485400000   | <>
Aulochiton                               | Animal    | Mollusca                   | -501000000    | -485400000   | Aulochiton
Australaglaspis                          | Animal    | Arthropoda                 | -501000000    | -498500000   | Australaglaspis
Austrohedra                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Badulesia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Baikadamaspis                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bailiaspis                               | Animal    | Arthropoda                 | -505000000    | -501000000   | Bailiaspis
Bailiella                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Balderia                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Balderia
Balkoceras                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Baltagnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Banffia                                  | Animal    | Vetulicolia                | -513000000    | -501000000   | Banffia
Basocephalus                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
