Aayemenaytcheia                          | Animal    | Arthropoda                 | -393300000    | -387700000   | Aayemenaytcheia
Abbreviatocrinites                       | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Abditoloculina                           | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -388100000    | -383700000   | <>
Acanthodes                               | Animal    | Chordata                   | -402500000    | -391900000   | Acanthodes
Acanthonema                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -388100000    | -372200000   | Acanthophyllum
Acanthopyge                              | Animal    | Arthropoda                 | -391900000    | -388100000   | Acanthopyge
Acanthostictoporella                     | Animal    | Bryozoa                    | -388100000    | -383700000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -388100000    | -383700000   | <>
Acaste                                   | Animal    | Arthropoda                 | -423000000    | -391900000   | Acaste
Acastella                                | Animal    | Arthropoda                 | -419200000    | -391900000   | Acastella
Acastellina                              | Animal    | Arthropoda                 | -393300000    | -387700000   | Acastellina
Acastoides                               | Animal    | Arthropoda                 | -402500000    | -387700000   | Acastoides
Acervularia                              | Animal    | Cnidaria                   | -393300000    | -382700000   | Acervularia
Achguigites                              | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Achistrum                                | Animal    | Echinodermata              | -388100000    | -383700000   | Achistrum
Acidaspis                                | Animal    | Arthropoda                 | -393300000    | -387700000   | Acidaspis
Acinetaster                              | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Acinophyllum                             | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Acleistoceras                            | Animal    | Mollusca                   | -393300000    | -387700000   | Acleistoceras
Aclisina                                 | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Acodus                                   | Animal    | Chordata                   | -407600000    | -387700000   | Acodus
Acratia                                  | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Acrophyllum                              | Animal    | Cnidaria                   | -393300000    | -382700000   | Acrophyllum
Acrosaccus                               | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Acrospirifer                             | Animal    | Brachiopoda                | -393300000    | -358900000   | <>
Actinodesma                              | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Actinopteria                             | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Actinostroma                             | Animal    | Porifera                   | -388100000    | -372200000   | <>
Actinoxylon                              | Plant     | Progymnospermophyta        | -388100000    | -383700000   | <>
Adiagoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
