Abditoloculina                           | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Acanthocrinus                            | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Acanthodes                               | Animal    | Chordata                   | -402500000    | -391900000   | Acanthodes
Acanthodus                               | Animal    | Chordata                   | -419200000    | -393300000   | Acanthodus
Acanthonema                              | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -402500000    | -383700000   | Acanthophyllum
Acanthopyge                              | Animal    | Arthropoda                 | -402500000    | -391900000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Acanthostictoporella                     | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -409100000    | -402500000   | <>
Acastava                                 | Animal    | Arthropoda                 | -407600000    | -393300000   | Acastava
Acaste                                   | Animal    | Arthropoda                 | -407600000    | -393300000   | Acaste
Acastella                                | Animal    | Arthropoda                 | -419200000    | -391900000   | Acastella
Acastellina                              | Animal    | Arthropoda                 | -407600000    | -387700000   | Acastellina
Acastoides                               | Animal    | Arthropoda                 | -402500000    | -387700000   | Acastoides
Achguigites                              | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Achistrum                                | Animal    | Echinodermata              | -407600000    | -393300000   | Achistrum
Acinophyllum                             | Animal    | Cnidaria                   | -407600000    | -387700000   | <>
Acodina                                  | Animal    | Chordata                   | -419200000    | -393300000   | <>
Acodus                                   | Animal    | Chordata                   | -407600000    | -387700000   | Acodus
Acrophyllum                              | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Acrospirifer                             | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Actinodesma                              | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Actinolepis                              | Animal    | Chordata                   | -407600000    | -393300000   | Actinolepis_(placoderm)
Actinopteria                             | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Actinostroma                             | Animal    | Porifera                   | -402500000    | -391900000   | <>
Aculatostroma                            | Animal    | Porifera                   | -407600000    | -393300000   | <>
Adiagoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Adrenia                                  | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -409100000    | -383700000   | <>
Aemulophyllum                            | Animal    | Cnidaria                   | -407600000    | -387700000   | <>
Aenigmaticumcrinus                       | Animal    | Echinodermata              | -410800000    | -387700000   | <>
Aesopomum                                | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Agoniatites                              | Animal    | Mollusca                   | -419200000    | -358900000   | Agoniatites
Akrosphaerorthoceras                     | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Alaina                                   | Animal    | Lophotrochozoa             | -402500000    | -391900000   | <>
Alaskacirrus                             | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Alaskiella                               | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Alatiformia                              | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Albertechinus                            | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Alberticoryphe                           | Animal    | Arthropoda                 | -409100000    | -387700000   | <>
Alkenia                                  | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Alkenopterus                             | Animal    | Arthropoda                 | -409100000    | -402500000   | Alkenopterus
Alkhovikovia                             | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Allanetes                                | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Allanicytidium                           | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Allocryptaspis                           | Animal    | Chordata                   | -407600000    | -393300000   | <>
Altajella                                | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Alveolitella                             | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Alveolites                               | Animal    | Cnidaria                   | -402500000    | -383700000   | <>
Amadeodipterus                           | Animal    | Chordata                   | -407600000    | -387700000   | Amadeodipterus
Ambocoelia                               | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Amboglossa                               | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Ambothyris                               | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Amissopecten                             | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Ammonicrinus                             | Animal    | Echinodermata              | -402500000    | -391900000   | <>
Amnestostroma                            | Animal    | Porifera                   | -419200000    | -393300000   | <>
Amoenophyllites                          | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Amoenospirifer                           | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Amosina                                  | Animal    | Brachiopoda                | -423000000    | -391900000   | <>
Amphigenia                               | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Amphipora                                | Animal    | Porifera                   | -402500000    | -391900000   | <>
Amphissites                              | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Amplexiphyllum                           | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Amydrotaxis                              | Animal    | Chordata                   | -419200000    | -393300000   | <>
