Abactinocrinus                           | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Acanthatia                               | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -419200000    | -358900000   | Acanthophyllum
Acanthospirina                           | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Acanthostega                             | Animal    | Chordata                   | -364700000    | -360700000   | Acanthostega
Acanthotriletes                          | Plant     | Lycophyta                  | -382700000    | -358900000   | <>
Acbastaucrinus                           | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Acodina                                  | Animal    | Chordata                   | -372200000    | -358900000   | <>
Acratia                                  | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Acrospirifer                             | Animal    | Brachiopoda                | -393300000    | -358900000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -364700000    | -360700000   | Actinoconchus
Actinocrinites                           | Animal    | Echinodermata              | -372200000    | -358900000   | Actinocrinites
Actinopteria                             | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Actinostroma                             | Animal    | Porifera                   | -364700000    | -360700000   | <>
Acutimitoceras                           | Animal    | Mollusca                   | -364700000    | -360700000   | Acutimitoceras
Adelargo                                 | Animal    | Chordata                   | -364700000    | -360700000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -382700000    | -358900000   | <>
Adocetocystis                            | Animal    | Echinodermata              | -382700000    | -358900000   | <>
Adolfia                                  | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Afrolobites                              | Animal    | Mollusca                   | -370600000    | -364700000   | <>
Agathocrinus                             | Animal    | Echinodermata              | -372200000    | -358900000   | <>
Agelacrinites                            | Animal    | Echinodermata              | -382700000    | -358900000   | <>
Ageleodus                                | Animal    | Chordata                   | -364700000    | -360700000   | Ageleodus
Aglaoglypta                              | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Agniesella                               | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Agoniatites                              | Animal    | Mollusca                   | -419200000    | -358900000   | Agoniatites
Agramatia                                | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Alaiophyllum                             | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Alcicornopteris                          | Plant     | Pteridophyta               | -382700000    | -358900000   | <>
Allagecrinus                             | Animal    | Echinodermata              | -364700000    | -360700000   | <>
Allorhynchoides                          | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Allorhynchus                             | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Alpinites                                | Animal    | Mollusca                   | -364700000    | -360700000   | Alpinites
Alternognathus                           | Animal    | Chordata                   | -372200000    | -358900000   | Alternognathus
Alveolites                               | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -372200000    | -358900000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -372200000    | -358900000   | Ammodiscus
Amphigenia                               | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Amphipora                                | Animal    | Porifera                   | -376100000    | -370600000   | <>
Amphissites                              | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -372200000    | -358900000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -376100000    | -370600000   | Amplexus
Anapiculatisporites                      | Plant     | Bryophyta                  | -382700000    | -358900000   | <>
Anathyris                                | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Ancyrodella                              | Animal    | Chordata                   | -376100000    | -370600000   | Ancyrodella
Ancyrognathus                            | Animal    | Chordata                   | -372200000    | -358900000   | Ancyrognathus
Aneurophyton                             | Plant     | Aneurophytophyta           | -364700000    | -360700000   | Aneurophyton
Angyomphalus                             | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Anisotrypa                               | Animal    | Bryozoa                    | -370600000    | -364700000   | <>
Anodonta                                 | Animal    | Mollusca                   | -364700000    | -360700000   | Anodonta
Anoplia                                  | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Anostylostroma                           | Animal    | Porifera                   | -364700000    | -360700000   | <>
Antarctilamna                            | Animal    | Chordata                   | -382700000    | -358900000   | Antarctilamna
Anthaspidella                            | Animal    | Porifera                   | -372200000    | -358900000   | <>
Antirotella                              | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Antognathus                              | Animal    | Chordata                   | -364700000    | -360700000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchites                               | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Apatognathus                             | Animal    | Chordata                   | -364700000    | -360700000   | <>
Apatorhynchus                            | Animal    | Chordata                   | -372200000    | -358900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -364700000    | -346700000   | <>
Apousiella                               | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Aprathia                                 | Animal    | Arthropoda                 | -372200000    | -358900000   | <>
Arachnolasmella                          | Animal    | Cnidaria                   | -372200000    | -358900000   | <>
Araratella                               | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Archaediscus                             | Micro     | Foraminifera               | -382700000    | -358900000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -364700000    | -360700000   | Archaeocidaris
Archaeopteris                            | Plant     | Aneurophytophyta           | -364700000    | -360700000   | Archaeopteris
Archaeosperma                            | Plant     | Pinophyta                  | -372200000    | -358900000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Archoceras                               | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Archocyrtium                             | Micro     | Radiolaria                 | -372200000    | -358900000   | <>
Arctostroma                              | Animal    | Porifera                   | -387700000    | -358900000   | <>
Armatites                                | Animal    | Mollusca                   | -372200000    | -358900000   | Armatites
Arnplexus                                | Animal    | Cnidaria                   | -364700000    | -360700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthrostigma                             | Plant     | Psilophytophyta            | -382700000    | -358900000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -364700000    | -360700000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asteropteris                             | Plant     | Cladoxylophyta             | -382700000    | -358900000   | <>
Astylospongia                            | Animal    | Porifera                   | -372200000    | -358900000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -370600000    | -360700000   | <>
Atelodictyon                             | Animal    | Porifera                   | -364700000    | -360700000   | <>
Athyris                                  | Animal    | Brachiopoda                | -364700000    | -360700000   | Athyris
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -382700000    | -358900000   | Atrypa
Atrythyris                               | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Atylephorus                              | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Aulacella                                | Animal    | Brachiopoda                | -364700000    | -360700000   | <>
Aulocopoides                             | Animal    | Porifera                   | -372200000    | -358900000   | <>
Aulocystis                               | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -382700000    | -358900000   | Aulopora
Aulostegites                             | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Auroria                                  | Micro     | Foraminifera               | -370600000    | -364700000   | <>
Australospongia                          | Animal    | Porifera                   | -372200000    | -358900000   | <>
Australoxa                               | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Austrospirifer                           | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -364700000    | -360700000   | Aviculopecten
Avonia                                   | Animal    | Brachiopoda                | -364700000    | -360700000   | Avonia
Babinicardia                             | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Babinops                                 | Animal    | Arthropoda                 | -372200000    | -358900000   | Babinops
Bactrites                                | Animal    | Mollusca                   | -372200000    | -358900000   | <>
Baculella                                | Micro     | Foraminifera               | -364700000    | -360700000   | <>
Baelenia                                 | Micro     | Foraminifera               | -364700000    | -360700000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Bairdianella                             | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
