Acanthambonia                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acanthodus                               | Animal    | Chordata                   | -485400000    | -471800000   | Acanthodus
Acanthoglypha                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Acanthoparypha                           | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Acanthopleurella                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Acanthotoechia                           | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Acidiphorus                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Acodus                                   | Animal    | Chordata                   | -471800000    | -457500000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Acrograptus                              | Animal    | Hemichordata               | -473900000    | -468900000   | <>
Acrothele                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -477700000    | -467300000   | <>
Actinoceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Actinoceras
Actinodonta                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Actinopeltis                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Actinopeltis_(trilobite)
Adamsoceras                              | Animal    | Mollusca                   | -471800000    | -457500000   | Adamsoceras
Adelograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Adelphicrinus                            | Animal    | Echinodermata              | -478600000    | -471800000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Aetocrinus                               | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Agerina                                  | Animal    | Arthropoda                 | -471800000    | -466000000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -485400000    | -471800000   | Agnostus
Ahtiella                                 | Animal    | Brachiopoda                | -471800000    | -466000000   | <>
Albertoceras                             | Animal    | Mollusca                   | -477700000    | -470000000   | Albertoceras
Alichovia                                | Animal    | Brachiopoda                | -477700000    | -467300000   | <>
Alimbella                                | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Allograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Allopiloceras                            | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Allosaccus                               | Animal    | Porifera                   | -471800000    | -457500000   | <>
Alococoncha                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Altha                                    | Animal    | Arthropoda                 | -478600000    | -466000000   | Altha
Alwynopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Amblycranium                             | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -485400000    | -443400000   | <>
Amorphognathus                           | Animal    | Chordata                   | -478600000    | -466000000   | Amorphognathus
Amphilichas                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Amplexograptus                           | Animal    | Hemichordata               | -471800000    | -457500000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -485400000    | -443400000   | Amplexopora
Ampyx                                    | Animal    | Arthropoda                 | -471800000    | -457500000   | Ampyx
Ampyxina                                 | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Ampyxoides                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Amygdalotheca                            | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Anaspyroceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Anatolepis                               | Animal    | Chordata                   | -478600000    | -466000000   | <>
Anaximander                              | Animal    | Arthropoda                 | -488300000    | -471800000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -485400000    | -443400000   | <>
Anchigonites                             | Animal    | Brachiopoda                | -477700000    | -470000000   | <>
Ancyginaspis                             | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Anebolithus                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Anebolithus
Anechophragma                            | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Anedriophus                              | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Angarella                                | Animal    | Mollusca                   | -477700000    | -470000000   | Angarella
Angelinoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Angelinoceras
Anglagnostus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Anglagnostus
Angulocellularia                         | Plant     | Rhodophyta                 | -485400000    | -470000000   | <>
Angusticardinia                          | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Anisocyamus                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Anisonotella                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Annamitella                              | Animal    | Arthropoda                 | -471800000    | -468100000   | Annamitella
Anomalorthis                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Anrangeroceras                           | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Ansella                                  | Animal    | Chordata                   | -471800000    | -457500000   | <>
Anthaspidella                            | Animal    | Porifera                   | -471800000    | -468100000   | <>
Anthoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | Anthoceras
Antigonambonites                         | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Aocaspis                                 | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Aorograptus                              | Animal    | Hemichordata               | -485400000    | -476800000   | <>
Aostipora                                | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Aparchites                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -471800000    | -466000000   | <>
Apatolichas                              | Animal    | Arthropoda                 | -471800000    | -457500000   | Apatolichas
Apheoorthina                             | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Aphetoceras                              | Animal    | Mollusca                   | -477700000    | -470000000   | Aphetoceras
Apianurus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Apocrinoceras                            | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Apomatella                               | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Araiopleura                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Arandaspis                               | Animal    | Chordata                   | -478600000    | -466000000   | Arandaspis
Araneograptus                            | Animal    | Hemichordata               | -477700000    | -470000000   | <>
Archaeoconularia                         | Animal    | Cnidaria                   | -478600000    | -466000000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -471800000    | -457500000   | <>
Archeognathus                            | Animal    | Chordata                   | -478600000    | -468100000   | Archeognathus
Archigeisonoceras                        | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Archinacella                             | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Arenigomya                               | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Argodiscus                               | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Arkoceras                                | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Armenoceras                              | Animal    | Mollusca                   | -471800000    | -457500000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -471800000    | -468100000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Arthrorhachis
Asaphellina                              | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -473900000    | -472000000   | <>
Asaphopsis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphopsoides                            | Animal    | Arthropoda                 | -476800000    | -473900000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -471800000    | -466000000   | Asaphus
Asgardaspira                             | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Aspidaeglina                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Aspidaeglina
Asteriospongia                           | Animal    | Porifera                   | -471800000    | -457500000   | <>
Asteroblastus                            | Animal    | Echinodermata              | -471800000    | -463500000   | <>
Asthenospongia                           | Animal    | Porifera                   | -477700000    | -470000000   | <>
Astraborthis                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Asymphylotoechia                         | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Atelelasma                               | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Atelelasmoidea                           | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Athenacrinus                             | Animal    | Echinodermata              | -485400000    | -471800000   | <>
Augeoceras                               | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Aulacoparia                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Aulacopleura
Aulacopsis                               | Animal    | Arthropoda                 | -471800000    | -468100000   | <>
Aulocopella                              | Animal    | Porifera                   | -485400000    | -443400000   | <>
Aulocopium                               | Animal    | Porifera                   | -478600000    | -466000000   | <>
Aulograptus                              | Animal    | Hemichordata               | -471800000    | -468100000   | <>
Aulonotreta                              | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Australopyge                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Australopyge
Avaoceras                                | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Azygograptus                             | Animal    | Hemichordata               | -471800000    | -468100000   | <>
Babinka                                  | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bactroceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bactroceras
Baidiostraca                             | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Bairdiocypridella                        | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balanocystites                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Balantiocystis                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Ballardina                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balnibarbi                               | Animal    | Arthropoda                 | -478600000    | -471800000   | Balnibarbi
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -472000000    | -468900000   | <>
Baltoniodus                              | Animal    | Chordata                   | -471800000    | -463500000   | Baltoniodus
Barrandia                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Barrandicella                            | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Basilicus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bassleroceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Bassleroceras
Batherocystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -471800000    | -466000000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bathyurina                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bathyurine                               | Animal    | Arthropoda                 | -485400000    | -471800000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Batostoma                                | Animal    | Bryozoa                    | -471800000    | -457500000   | <>
Batostomella                             | Animal    | Bryozoa                    | -478600000    | -468100000   | <>
Bavarilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Bavarilla
Beatricea                                | Micro     | Radiolaria                 | -485400000    | -443400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellefontia                              | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Belodella                                | Animal    | Chordata                   | -471800000    | -457500000   | <>
Belodina                                 | Animal    | Chordata                   | -471800000    | -457500000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -477700000    | -470000000   | Belonechitina
Benedettia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Benthamaspis                             | Animal    | Arthropoda                 | -471800000    | -468100000   | Benthamaspis
Bentoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bergamia                                 | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bergstroemognathus                       | Animal    | Chordata                   | -476800000    | -473900000   | <>
Bevanopsis                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Bevanopsis
