Absidaticonus                            | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acerocare                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Acrothele                                | Animal    | Brachiopoda                | -530000000    | -513000000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Actinoconus                              | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Acutirostriconus                         | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Aegides                                  | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Aegitellus                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Agraulos
Ajacicyathus                             | Animal    | Porifera                   | -530000000    | -513000000   | <>
Albiconus                                | Animal    | Chordata                   | -541000000    | -485400000   | <>
Aldanella                                | Animal    | Mollusca                   | -530000000    | -516000000   | Aldanella
Aldanocyathus                            | Animal    | Porifera                   | -530000000    | -520000000   | <>
Aldanolina                               | Animal    | Mollusca                   | -541000000    | -530000000   | <>
Aldanotreta                              | Animal    | Brachiopoda                | -530000000    | -520000000   | Aldanotreta
Alisina                                  | Animal    | Brachiopoda                | -530000000    | -516000000   | Alisina
Allantospongia                           | Animal    | Porifera                   | -541000000    | -513000000   | <>
Allatheca                                | Animal    | Hyolitha                   | -530000000    | -516000000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Alueva                                   | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -541000000    | -513000000   | Ammodiscus
Amphigeisina                             | Animal    | Chaetognatha               | -530000000    | -520000000   | <>
Anabarella                               | Animal    | Mollusca                   | -530000000    | -520000000   | Anabarella
Anaptyctocyathus                         | Animal    | Porifera                   | -541000000    | -513000000   | <>
Andrarina                                | Animal    | Arthropoda                 | -541000000    | -477700000   | <>
Angulotreta                              | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Anhuiconus                               | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Anomalocaris                             | Animal    | Arthropoda                 | -530000000    | -513000000   | Anomalocaris
Antagmus                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Antiquatheca                             | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Anuliconus                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Aphelaspis                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Arapahoia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Archaeaspis                              | Animal    | Arthropoda                 | -530000000    | -516000000   | Archaeaspis
Archaeocyathus                           | Animal    | Porifera                   | -530000000    | -513000000   | <>
Archaeolynthus                           | Animal    | Porifera                   | -530000000    | -520000000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Archaeotrypa                             | Animal    | Cnidaria                   | -530000000    | -516000000   | <>
Arcuolenellus                            | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Arcuolimbus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Arcuolimbus
Armonia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Arthrochites                             | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Arturocyathus                            | Animal    | Porifera                   | -530000000    | -520000000   | <>
Asaphiscus                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Asaphiscus
Asiapatella                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Asperoconus                              | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Athabaskia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Atops                                    | Animal    | Arthropoda                 | -530000000    | -513000000   | Atops
Auricullina                              | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Australaspis                             | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Avefallotaspis                           | Animal    | Arthropoda                 | -530000000    | -516000000   | <>
Barskovia                                | Animal    | Mollusca                   | -530000000    | -520000000   | Barskovia
Bathynotus                               | Animal    | Arthropoda                 | -530000000    | -513000000   | Bathynotus
Bathyuriscellus                          | Animal    | Arthropoda                 | -541000000    | -513000000   | Bathyuriscellus
Bayfieldia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bemella                                  | Animal    | Mollusca                   | -530000000    | -513000000   | <>
Berabichia                               | Animal    | Arthropoda                 | -530000000    | -513000000   | Berabichia
Bercutia                                 | Animal    | Brachiopoda                | -530000000    | -520000000   | <>
Billingsella                             | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Biscoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Biscoia
