Acanthoclymenia                          | Animal    | Mollusca                   | -379500000    | -376100000   | Acanthoclymenia
Acanthograptus                           | Animal    | Hemichordata               | -382700000    | -372200000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -387700000    | -372200000   | Acanthophyllum
Acanthotriletes                          | Plant     | Lycophyta                  | -382700000    | -358900000   | <>
Achistrum                                | Animal    | Echinodermata              | -379500000    | -376100000   | Achistrum
Acinophyllum                             | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Acodina                                  | Animal    | Chordata                   | -379500000    | -376100000   | <>
Acratia                                  | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Acratinella                              | Animal    | Arthropoda                 | -382700000    | -372200000   | <>
Acrospirifer                             | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -376100000    | -370600000   | Actinoconchus
Actinodesma                              | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Actinopteria                             | Animal    | Mollusca                   | -382400000    | -379500000   | <>
Actinostroma                             | Animal    | Porifera                   | -376100000    | -370600000   | <>
Acutatheca                               | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Acuticryphops                            | Animal    | Arthropoda                 | -379500000    | -376100000   | Acuticryphops
Adiantites                               | Plant     | Ginkgophyta                | -382700000    | -358900000   | <>
Adocetocystis                            | Animal    | Echinodermata              | -382700000    | -358900000   | <>
Adolfia                                  | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Adolfispirifer                           | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Adololopas                               | Animal    | Chordata                   | -382700000    | -372200000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Afilasma                                 | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Agelacrinites                            | Animal    | Echinodermata              | -382700000    | -358900000   | <>
Aglaoglypta                              | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Agoniatites                              | Animal    | Mollusca                   | -419200000    | -358900000   | Agoniatites
Alaiophyllum                             | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Albertechinus                            | Animal    | Echinodermata              | -382400000    | -376100000   | <>
Alcicornopteris                          | Plant     | Pteridophyta               | -382700000    | -358900000   | <>
Allanaria                                | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Allanella                                | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Allassospongia                           | Animal    | Porifera                   | -382700000    | -372200000   | <>
Alternognathus                           | Animal    | Chordata                   | -376100000    | -370600000   | Alternognathus
Alveolitella                             | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Alveolites                               | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Ambothyris                               | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -382700000    | -358900000   | Ammodiscus
Amphigenia                               | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Amphipora                                | Animal    | Porifera                   | -376100000    | -370600000   | <>
Amphissites                              | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -376100000    | -370600000   | Amplexus
Ampuloides                               | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -382700000    | -358900000   | <>
Anastomopora                             | Animal    | Bryozoa                    | -379500000    | -376100000   | <>
Anathyris                                | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Anatrypa                                 | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Ancyrodella                              | Animal    | Chordata                   | -376100000    | -370600000   | Ancyrodella
Ancyrognathus                            | Animal    | Chordata                   | -376100000    | -370600000   | Ancyrognathus
Aneimites                                | Plant     | Peltaspermophyta           | -382700000    | -372200000   | <>
Aneurophyton                             | Plant     | Aneurophytophyta           | -382700000    | -372200000   | Aneurophyton
Anomalotoechus                           | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Anoplia                                  | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Anostylostroma                           | Animal    | Porifera                   | -382400000    | -379500000   | <>
Antarctilamna                            | Animal    | Chordata                   | -382700000    | -358900000   | Antarctilamna
Anthaspidella                            | Animal    | Porifera                   | -376100000    | -370600000   | <>
Antirotella                              | Animal    | Mollusca                   | -382700000    | -372200000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchites                               | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Apatognathus                             | Animal    | Chordata                   | -379500000    | -376100000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -382700000    | -372200000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -376100000    | -370600000   | <>
Apousiella                               | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Apparatocycloides                        | Animal    | Echinodermata              | -382400000    | -379500000   | <>
Araeonema                                | Animal    | Mollusca                   | -388100000    | -382400000   | <>
Araratella                               | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Arastra                                  | Animal    | Mollusca                   | -379500000    | -376100000   | Arastra
Archaediscus                             | Micro     | Foraminifera               | -382700000    | -358900000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -382700000    | -372200000   | Archaeocidaris
Archaeopteris                            | Plant     | Aneurophytophyta           | -376100000    | -370600000   | Archaeopteris
Archaesphaera                            | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Archoceras                               | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Arctostroma                              | Animal    | Porifera                   | -383700000    | -382400000   | <>
Argutastrea                              | Animal    | Cnidaria                   | -382400000    | -379500000   | <>
Aristophyllum                            | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Arizonella                               | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Armalites                                | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Armatites                                | Animal    | Mollusca                   | -376100000    | -370600000   | Armatites
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthrostigma                             | Plant     | Psilophytophyta            | -382700000    | -358900000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asterolepis                              | Animal    | Chordata                   | -383700000    | -382400000   | Asterolepis
Asteropteris                             | Plant     | Cladoxylophyta             | -382700000    | -358900000   | <>
Astyloscyphia                            | Animal    | Porifera                   | -379500000    | -376100000   | <>
Astylotuba                               | Animal    | Porifera                   | -379500000    | -376100000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -382700000    | -372200000   | <>
Atelodictyon                             | Animal    | Porifera                   | -376100000    | -370600000   | <>
Athyris                                  | Animal    | Brachiopoda                | -376100000    | -370600000   | Athyris
Atlanticocoelia                          | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Atopacanthus                             | Animal    | Chordata                   | -383700000    | -382400000   | <>
Atribonium                               | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -379500000    | -376100000   | Atrypa
Atryparia                                | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Attungaia                                | Animal    | Porifera                   | -382700000    | -372200000   | <>
Aulacella                                | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Aulacophyllum                            | Animal    | Cnidaria                   | -382700000    | -372200000   | Aulacophyllum
Aulatornoceras                           | Animal    | Mollusca                   | -379500000    | -376100000   | Aulatornoceras
Aulocystis                               | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -379500000    | -376100000   | Aulopora
Aulostegites                             | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Auroria                                  | Micro     | Foraminifera               | -382700000    | -372200000   | <>
Australocoelia                           | Animal    | Brachiopoda                | -393300000    | -372200000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -382400000    | -379500000   | Aviculopecten
Avignathus                               | Animal    | Chordata                   | -382700000    | -372200000   | <>
Babinicardia                             | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Bactrites                                | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Bairdiohealdites                         | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Baituganella                             | Micro     | Foraminifera               | -382700000    | -372200000   | <>
Barinophyton                             | Plant     | Zosterophyllophyta         | -382700000    | -358900000   | Barinophyton
Barrandeina                              | Plant     | Psilophytophyta            | -388100000    | -358900000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -382700000    | -358900000   | <>
Barroisella                              | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Basilicorhynchus                         | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Battersbyia                              | Animal    | Cnidaria                   | -387700000    | -372200000   | <>
Baylea                                   | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Beckmannia                               | Animal    | Brachiopoda                | -382700000    | -372200000   | Beckmannia
Beelarongia                              | Animal    | Chordata                   | -382700000    | -372200000   | Beelarongia
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belgibole                                | Animal    | Arthropoda                 | -382700000    | -358900000   | <>
Bellerophon                              | Animal    | Mollusca                   | -382700000    | -372200000   | Bellerophon
Beloceras                                | Animal    | Mollusca                   | -379500000    | -376100000   | Beloceras
Belodella                                | Animal    | Chordata                   | -379500000    | -376100000   | <>
Bensbergia                               | Animal    | Mollusca                   | -382400000    | -379500000   | <>
Bergalaria                               | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Berounella                               | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Bethanyphyllum                           | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -382700000    | -372200000   | <>
Bieberiana                               | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Biernatella                              | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Bigeyella                                | Animal    | Bryozoa                    | -379500000    | -376100000   | <>
Bispathodus                              | Animal    | Chordata                   | -376100000    | -370600000   | <>
Bisphaera                                | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Bituberitina                             | Micro     | Foraminifera               | -382700000    | -372200000   | <>
Bohemozyga                               | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Bollia                                   | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
