Aartsenia                                | Animal    | Mollusca                   | -2588000      | -1806000     | Aartsenia
Abies                                    | Plant     | Pinophyta                  | -2588000      | -781000      | Abies
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -2588000      | -11700       | Abra_(bivalve)
Acacia                                   | Plant     | Spermatophyta              | -2588000      | -11700       | Acacia
Acaena                                   | Plant     | Spermatophyta              | -2588000      | -781000      | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -2588000      | 2030         | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -2588000      | 2030         | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -2588000      | 2030         | Acanthocardia
Acanthochitona                           | Animal    | Mollusca                   | -2588000      | 2030         | Acanthochitona
Acar                                     | Animal    | Mollusca                   | -2588000      | 2030         | Acar
Accipiter                                | Animal    | Chordata                   | -2588000      | -781000      | Accipiter
Acer                                     | Plant     | Spermatophyta              | -10300000     | -1800000     | Maple
Acervulina                               | Micro     | Foraminifera               | -2588000      | -781000      | <>
Achatina                                 | Animal    | Mollusca                   | -2588000      | -11700       | Achatina
Achelous                                 | Animal    | Arthropoda                 | -2588000      | 2030         | Achelous
Achnanthes                               | Plant     | Ochrophyta                 | -3600000      | -1806000     | Achnanthes
Acidota                                  | Animal    | Arthropoda                 | -2588000      | -1806000     | Acidota
Acinonyx                                 | Animal    | Chordata                   | -2588000      | -11700       | Acinonyx
Acipenser                                | Animal    | Chordata                   | -15970000     | -781000      | Acipenser
Aclypea                                  | Animal    | Arthropoda                 | -2588000      | -781000      | Aclypea
Acmaea                                   | Animal    | Mollusca                   | -2588000      | 2030         | Acmaea
Acmena                                   | Plant     | Spermatophyta              | -2588000      | -781000      | Acmena
Acomys                                   | Animal    | Chordata                   | -2588000      | -11700       | Acomys
Acratocnus                               | Animal    | Chordata                   | -2588000      | -11700       | Acratocnus
Acrilla                                  | Animal    | Mollusca                   | -2588000      | -1806000     | <>
Acris                                    | Animal    | Chordata                   | -2588000      | -11700       | Acris
Acrobates                                | Animal    | Chordata                   | -2588000      | -11700       | Acrobates
Acroloxus                                | Animal    | Mollusca                   | -5333000      | -11700       | Acroloxus
Acropora                                 | Animal    | Cnidaria                   | -2588000      | 2030         | Acropora
Acrosterigma                             | Animal    | Mollusca                   | -2588000      | -781000      | Acrosterigma
Actaea                                   | Animal    | Arthropoda                 | -2588000      | -11700       | Actaea_(crab)
Actaeopyramis                            | Animal    | Mollusca                   | -2588000      | -11700       | Actaeopyramis
Acteocina                                | Animal    | Mollusca                   | -2588000      | 2030         | Acteocina
Acteon                                   | Animal    | Mollusca                   | -2588000      | -11700       | Acteon
Actinocythereis                          | Animal    | Arthropoda                 | -2588000      | -781000      | <>
Actinotocarcinus                         | Animal    | Arthropoda                 | -15970000     | -1806000     | Actinotocarcinus
Actitis                                  | Animal    | Chordata                   | -4900000      | -1800000     | Actitis
Actonia                                  | Animal    | Mollusca                   | -2588000      | 2030         | <>
Acuticythereis                           | Animal    | Arthropoda                 | -2588000      | -781000      | <>
Adamnestia                               | Animal    | Mollusca                   | -2588000      | -11700       | <>
Adamussium                               | Animal    | Mollusca                   | -2588000      | -781000      | Adamussium
Adelomelon                               | Animal    | Mollusca                   | -2588000      | -781000      | Adelomelon
Adeonella                                | Animal    | Bryozoa                    | -2588000      | -1806000     | <>
Adeonellopsis                            | Animal    | Bryozoa                    | -66000000     | 2030         | <>
Admete                                   | Animal    | Mollusca                   | -2588000      | 2030         | Admete
Adnatida                                 | Animal    | Brachiopoda                | -2588000      | -1806000     | <>
Adrana                                   | Animal    | Mollusca                   | -2588000      | -781000      | Adrana
Adusta                                   | Animal    | Mollusca                   | -5333000      | -11700       | <>
Aechmophorus                             | Animal    | Chordata                   | -2588000      | -11700       | Aechmophorus
Aedes                                    | Animal    | Arthropoda                 | -4900000      | -1800000     | Aedes
Aegypius                                 | Animal    | Chordata                   | -2588000      | -781000      | Aegypius
Aenigmys                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Aepycamelus                              | Animal    | Chordata                   | -10300000     | -1800000     | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -23030000     | -11700       | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -2588000      | -11700       | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -23030000     | -11700       | Aequipecten
Aeshna                                   | Animal    | Arthropoda                 | -2588000      | -11700       | Aeshna
Aesopus                                  | Animal    | Mollusca                   | -2588000      | 2030         | Aesopus
Aetea                                    | Animal    | Bryozoa                    | -2588000      | -781000      | <>
Aethesia                                 | Animal    | Chordata                   | -5333000      | -11700       | Aethesia
Aethomys                                 | Animal    | Chordata                   | -2588000      | 2030         | Aethomys
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Agabus                                   | Animal    | Arthropoda                 | -2588000      | -781000      | Agabus
Agalmaceros                              | Animal    | Chordata                   | -2588000      | -11700       | Agalmaceros
Agama                                    | Animal    | Chordata                   | -5333000      | -11700       | Agama
Agapornis                                | Animal    | Chordata                   | -5333000      | -11700       | Agapornis
Agaricia                                 | Animal    | Cnidaria                   | -2588000      | 2030         | Agaricia
Agaricophagus                            | Animal    | Arthropoda                 | -2588000      | -1806000     | Agaricophagus
Agassizia                                | Animal    | Echinodermata              | -2588000      | -781000      | Agassizia
Agastachys                               | Plant     | Spermatophyta              | -2588000      | -126000      | Agastachys
Agathaeromys                             | Animal    | Chordata                   | -2588000      | -11700       | Agathaeromys
Agathidium                               | Animal    | Arthropoda                 | -2588000      | -781000      | Agathidium
Agathis                                  | Plant     | Pinophyta                  | -2588000      | -11700       | Agathis
Agathistoma                              | Animal    | Mollusca                   | -2588000      | -11700       | <>
Agathotoma                               | Animal    | Mollusca                   | -2588000      | -781000      | Agathotoma
Agatrix                                  | Animal    | Mollusca                   | -2588000      | -781000      | Agatrix
Agelaius                                 | Animal    | Chordata                   | -2588000      | -11700       | Agelaius
Agkistrodon                              | Animal    | Chordata                   | -2588000      | -11700       | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -2588000      | -1806000     | Agladrillia
Aglaia                                   | Plant     | Spermatophyta              | -2588000      | -11700       | Aglaia
Agonum                                   | Animal    | Arthropoda                 | -2588000      | -1806000     | Agonum
Agriocharis                              | Animal    | Chordata                   | -4900000      | -1800000     | Agriocharis
Agriopoma                                | Animal    | Mollusca                   | -2588000      | -11700       | Agriopoma
Agriotherium                             | Animal    | Chordata                   | -4900000      | -1800000     | Agriotherium
Agrypnia                                 | Animal    | Arthropoda                 | -2588000      | -1806000     | Agrypnia_(caddisfly)
Ahytherium                               | Animal    | Chordata                   | -2588000      | 2030         | Ahytherium
Ailuropoda                               | Animal    | Chordata                   | -2588000      | -11700       | Ailuropoda
Aix                                      | Animal    | Chordata                   | -2588000      | -781000      | Aix_(bird)
Aizengyps                                | Animal    | Chordata                   | -2588000      | -781000      | <>
Akialoa                                  | Animal    | Chordata                   | -2588000      | -11700       | Akialoa
Akleistostoma                            | Animal    | Mollusca                   | -5333000      | -11700       | <>
Akodon                                   | Animal    | Chordata                   | -2588000      | 2030         | Akodon
Alabamina                                | Micro     | Foraminifera               | -2588000      | -781000      | <>
Alaba                                    | Animal    | Mollusca                   | -2588000      | -781000      | Alaba
Alabina                                  | Animal    | Mollusca                   | -2588000      | -781000      | Alabina
Alaocybites                              | Animal    | Arthropoda                 | -2588000      | -1806000     | <>
Alatotrochus                             | Animal    | Cnidaria                   | -2588000      | -1806000     | <>
Alauda                                   | Animal    | Chordata                   | -2588000      | -11700       | Alauda
Alca                                     | Animal    | Chordata                   | -2588000      | -11700       | Razorbill
Alcelaphus                               | Animal    | Chordata                   | -2588000      | 2030         | Alcelaphus
Alces                                    | Animal    | Chordata                   | -15970000     | -781000      | Alces
Alderina                                 | Animal    | Bryozoa                    | -2588000      | -1806000     | <>
Aldrichetta                              | Animal    | Chordata                   | -5333000      | -2400000     | Aldrichetta
Alectoris                                | Animal    | Chordata                   | -2588000      | -11700       | Alectoris
Alectryon                                | Plant     | Spermatophyta              | -2588000      | -11700       | Alectryon_(plant)
Alepocephalus                            | Animal    | Chordata                   | -2588000      | -126000      | Alepocephalus
Aleurites                                | Plant     | Spermatophyta              | -2588000      | -11700       | Aleurites
Algarolutra                              | Animal    | Chordata                   | -2588000      | -11700       | Algarolutra
Aliculastrum                             | Animal    | Mollusca                   | -2588000      | -11700       | Aliculastrum
Aligena                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Alilepus                                 | Animal    | Chordata                   | -2588000      | -11700       | <>
Alisma                                   | Plant     | Angiospermae               | -5333000      | -11700       | Alisma
Allactaga                                | Animal    | Chordata                   | -2588000      | -11700       | Allactaga
Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -2588000      | -126000      | Allocasuarina
Allocricetus                             | Animal    | Chordata                   | -2588000      | -11700       | <>
Allohippus                               | Animal    | Chordata                   | -2588000      | -11700       | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -2588000      | -11700       | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloconatica                              | Animal    | Mollusca                   | -2588000      | -781000      | <>
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Arctic_fox
Alphitonia                               | Plant     | Spermatophyta              | -2588000      | -11700       | Alphitonia
Alticola                                 | Animal    | Chordata                   | -2588000      | -781000      | Alticola
Aluralagus                               | Animal    | Chordata                   | -4900000      | -300000      | <>
Alutera                                  | Animal    | Chordata                   | -3600000      | -1806000     | <>
Alvania                                  | Animal    | Mollusca                   | -2588000      | 2030         | Alvania
Alveopora                                | Animal    | Cnidaria                   | -2588000      | 2030         | Alveopora
Alytes                                   | Animal    | Chordata                   | -2588000      | -11700       | Alytes
Amaea                                    | Animal    | Mollusca                   | -2588000      | -1806000     | <>
Amara                                    | Animal    | Arthropoda                 | -2588000      | -781000      | Amara
Amazonina                                | Animal    | Arthropoda                 | -2588000      | -11700       | <>
Amblychilepas                            | Animal    | Mollusca                   | -2588000      | -11700       | Amblychilepas
Amblysomus                               | Animal    | Chordata                   | -2588000      | 2030         | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Amecocerus                               | Animal    | Arthropoda                 | -2588000      | -1806000     | <>
Americardia                              | Animal    | Mollusca                   | -2588000      | -11700       | Americardia
Amiantis                                 | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ammobaculites                            | Micro     | Foraminifera               | -2588000      | -781000      | <>
Ammodramus                               | Animal    | Chordata                   | -2588000      | -1806000     | Ammodramus
Ammonia                                  | Micro     | Foraminifera               | -2588000      | -11700       | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -4900000      | -1800000     | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | 2030         | Ammotragus
Amnicola                                 | Animal    | Mollusca                   | -2588000      | -1806000     | Amnicola
Amperea                                  | Plant     | Spermatophyta              | -2588000      | -781000      | Amperea
Amphibalanus                             | Animal    | Arthropoda                 | -3600000      | -781000      | Amphibalanus
Amphibolurus                             | Animal    | Chordata                   | -2588000      | -11700       | Amphibolurus
Amphiroa                                 | Plant     | Rhodophyta                 | -2588000      | -11700       | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -2588000      | -11700       | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -2588000      | -781000      | <>
Amphissa                                 | Animal    | Mollusca                   | -2588000      | 2030         | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -2588000      | -11700       | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -2588000      | 2030         | Amphithalamus
Amplibuteo                               | Animal    | Chordata                   | -2588000      | -781000      | Amplibuteo
Amusium                                  | Animal    | Mollusca                   | -2588000      | -781000      | Amusium
Amyda                                    | Animal    | Chordata                   | -2588000      | -11700       | Amyda
Anabernicula                             | Animal    | Chordata                   | -2588000      | -1806000     | Anabernicula
Anabolia                                 | Animal    | Arthropoda                 | -2588000      | -1806000     | Anabolia
Anachis                                  | Animal    | Mollusca                   | -2588000      | 2030         | Anachis
Anadara                                  | Animal    | Mollusca                   | -2588000      | -11700       | Anadara
Anakinetica                              | Animal    | Brachiopoda                | -2588000      | -1806000     | Anakinetica
Anancus                                  | Animal    | Chordata                   | -15970000     | -781000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | 2030         | <>
Anapella                                 | Animal    | Mollusca                   | -2588000      | -781000      | <>
Anapesus                                 | Animal    | Echinodermata              | -2588000      | -11700       | <>
Anas                                     | Animal    | Chordata                   | -2588000      | 2030         | Anas
Anatoma                                  | Animal    | Mollusca                   | -2588000      | -11700       | Anatoma
Anazola                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Ancilla                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancilla_(gastropod)
Ancylotherium                            | Animal    | Chordata                   | -2588000      | -781000      | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -2588000      | -11700       | Ancylus
Andinomys                                | Animal    | Chordata                   | -2588000      | -781000      | Andinomys
Angaria                                  | Animal    | Mollusca                   | -2588000      | -11700       | Angaria_(gastropod)
Anguis                                   | Animal    | Chordata                   | -2588000      | 2030         | Anguis
Angulogerina                             | Micro     | Foraminifera               | -2588000      | -781000      | <>
Angulus                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Anhinga                                  | Animal    | Chordata                   | -2588000      | -11700       | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Anisodonta                               | Animal    | Mollusca                   | -2588000      | -11700       | <>
Anisops                                  | Animal    | Arthropoda                 | -2588000      | -1806000     | <>
Anisotoma                                | Animal    | Arthropoda                 | -2588000      | -1806000     | Anisotoma
Anisus                                   | Animal    | Mollusca                   | -2588000      | -11700       | Anisus
Annachlamys                              | Animal    | Mollusca                   | -5333000      | -11700       | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -2588000      | -1806000     | <>
Anodonta                                 | Animal    | Mollusca                   | -2588000      | -781000      | Anodonta
Anodontia                                | Animal    | Mollusca                   | -2588000      | -11700       | Anodontia
Anodopetalum                             | Plant     | Spermatophyta              | -2588000      | -126000      | Anodopetalum
Anoglochis                               | Animal    | Chordata                   | -2588000      | -11700       | <>
Anolis                                   | Animal    | Chordata                   | -2588000      | -11700       | Anolis
Anomalina                                | Micro     | Foraminifera               | -2588000      | -781000      | <>
Anomalinoides                            | Micro     | Foraminifera               | -3600000      | -1806000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -2588000      | -11700       | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -2588000      | 2030         | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -2588000      | -11700       | Anomia_(bivalve)
Anomodon Leptictidae                     | Animal    | Chordata                   | -2588000      | -11700       | Anomodon_snyderi
Anoplonassa                              | Animal    | Chordata                   | -5333000      | -11700       | <>
Anoplus                                  | Animal    | Arthropoda                 | -2588000      | -1806000     | Anoplus
Anopterus                                | Plant     | Spermatophyta              | -2588000      | -126000      | Anopterus
Anotylus                                 | Animal    | Arthropoda                 | -2588000      | -781000      | Anotylus
Anourosorex                              | Animal    | Chordata                   | -2588000      | -781000      | Anourosorex
Anser                                    | Animal    | Chordata                   | -2588000      | 2030         | Anser_(bird)
Antalis                                  | Animal    | Mollusca                   | -2588000      | 2030         | Antalis
Antecalomys                              | Animal    | Chordata                   | -4900000      | -1800000     | <>
Antechinomys                             | Animal    | Chordata                   | -2588000      | -11700       | Antechinomys
Antechinus                               | Animal    | Chordata                   | -2588000      | -11700       | Antechinus
Anthemiphyllia                           | Animal    | Cnidaria                   | -2588000      | -11700       | <>
Anthicus                                 | Animal    | Arthropoda                 | -2588000      | -781000      | Anthicus
Anthobium                                | Animal    | Arthropoda                 | -2588000      | -781000      | Anthobium
Anthoceros                               | Plant     | Anthocerophyta             | -2588000      | -11700       | Anthoceros
Anthus                                   | Animal    | Chordata                   | -5333000      | -11700       | Anthus
Anticlimax                               | Animal    | Mollusca                   | -2588000      | -781000      | Anticlimax_(gastropod)
Antidorcas                               | Animal    | Chordata                   | -2588000      | 2030         | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -2588000      | 2030         | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -2588000      | -11700       | Antigone
Antillophos                              | Animal    | Mollusca                   | -2588000      | -11700       | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -2588000      | 2030         | Antillophyllia
Antillothrix                             | Animal    | Chordata                   | -2588000      | -11700       | Antillothrix
Antilocapra                              | Animal    | Chordata                   | -2588000      | 2030         | Antilocapra
Antilope                                 | Animal    | Chordata                   | -2588000      | -11700       | Antilope
Antiplanes                               | Animal    | Mollusca                   | -2588000      | 2030         | Antiplanes
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Anzanycteris                             | Animal    | Chordata                   | -4900000      | -1800000     | <>
Aonyx                                    | Animal    | Chordata                   | -2588000      | 2030         | Aonyx
Aorotrema                                | Animal    | Mollusca                   | -2588000      | -781000      | Aorotrema
Apalone                                  | Animal    | Chordata                   | -2588000      | -11700       | Apalone
Apatania                                 | Animal    | Arthropoda                 | -2588000      | -1806000     | Apatania
Aphananthe                               | Plant     | Spermatophyta              | -2588000      | -11700       | Aphananthe
Aphanius                                 | Animal    | Chordata                   | -2588000      | -1806000     | Aphanius
