Abbreviatocrinites                       | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Acanthoclymenia                          | Animal    | Mollusca                   | -383700000    | -382400000   | Acanthoclymenia
Acanthocrinus                            | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -387700000    | -372200000   | Acanthophyllum
Acanthopyge                              | Animal    | Arthropoda                 | -387700000    | -382700000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Acanthostictoporella                     | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Acanthotriletes                          | Plant| Lycophyta                  | -387700000    | -382700000   | <>
Acervularia                              | Animal    | Cnidaria                   | -393300000    | -382700000   | Acervularia
Achistrum                                | Animal    | Echinodermata              | -387700000    | -382700000   | Achistrum
Acinetaster                              | Animal    | Echinodermata              | -393300000    | -382700000   | <>
Acinophyllum                             | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Acleistoceras                            | Animal    | Mollusca                   | -387700000    | -382700000   | Acleistoceras
Acratia                                  | Animal    | Arthropoda                 | -383700000    | -382400000   | <>
Acrogenia                                | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Acrophyllum                              | Animal    | Cnidaria                   | -393300000    | -382700000   | Acrophyllum
Acrospirifer                             | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Actinodesma                              | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Actinodictyon                            | Animal    | Porifera                   | -387700000    | -382700000   | <>
Actinopteria                             | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Actinostroma                             | Animal    | Porifera                   | -383700000    | -379500000   | <>
Actinoxylon                              | Plant     | Progymnospermophyta        | -388100000    | -383700000   | <>
Aculeatarbus                             | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Adelphobolbina                           | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Adiagoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Adolfia                                  | Animal    | Brachiopoda                | -387700000    | -372200000   | <>
Adradosia                                | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -409100000    | -383700000   | <>
Aechminella                              | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
