Abyssocrinus                             | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Acanthalomina                            | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -443400000    | -422900000   | <>
Acanthohalysites                         | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Acanthopyge                              | Animal    | Arthropoda                 | -427400000    | -423000000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Acaste                                   | Animal    | Arthropoda                 | -427400000    | -419200000   | Acaste
Acastella                                | Animal    | Arthropoda                 | -427400000    | -423000000   | Acastella
Acervularia                              | Animal    | Cnidaria                   | -427400000    | -423000000   | Acervularia
Acidaspis                                | Animal    | Arthropoda                 | -426200000    | -425400000   | Acidaspis
Acodus                                   | Animal    | Chordata                   | -443400000    | -419200000   | Acodus
Actinoceras                              | Animal    | Mollusca                   | -433400000    | -423000000   | Actinoceras
Actinodictyon                            | Animal    | Porifera                   | -427400000    | -423000000   | <>
Actinopterella                           | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Actinopteria                             | Animal    | Mollusca                   | -427400000    | -419200000   | <>
Adamczakia                               | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Adaverina                                | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Aechminaria                              | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Aesopomum                                | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Agarhyncha                               | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Akrosphaerorthoceras                     | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Alaskaspongiella                         | Animal    | Porifera                   | -433400000    | -423000000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Aldridgeodus                             | Animal    | Chordata                   | -427400000    | -423000000   | <>
Algerina                                 | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Allocrinus                               | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Altaja                                   | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Alveolites                               | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Ambonychia                               | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Americaspis                              | Animal    | Chordata                   | -427400000    | -423000000   | <>
Amerista                                 | Animal    | Brachiopoda                | -430500000    | -425600000   | <>
Amorphognathus                           | Animal    | Chordata                   | -443400000    | -419200000   | Amorphognathus
Amosina                                  | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Amphicoelia                              | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Amphiocoelia                             | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Amphipora                                | Animal    | Porifera                   | -427400000    | -423000000   | <>
Amphipsalidocrinus                       | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Amphisella                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Amphistrophia                            | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Amplexoides                              | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -427400000    | -423000000   | Amplexus
Ampuloides                               | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Amsdenina                                | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Amsdenoides                              | Animal    | Cnidaria                   | -438500000    | -425600000   | <>
Amygdalella                              | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
