Abderospira                              | Animal    | Mollusca                   | -11700        | -0           | <>
Abies                                    | Plant     | Pinophyta                  | -11700        | -0           | Abies
Ablepharus                               | Animal    | Chordata                   | -11700        | -0           | Ablepharus
Abra                                     | Animal    | Mollusca                   | -11700        | -0           | Abra
Abrothrix                                | Animal    | Chordata                   | -126000       | -0           | Abrothrix
Acacia                                   | Plant     | Spermatophyta              | -11700        | -0           | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -126000       | -0           | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -11700        | -0           | Acanthastrea
Acanthephyra                             | Animal    | Arthropoda                 | -11700        | -0           | Acanthephyra
Acanthina                                | Animal    | Mollusca                   | -11700        | -0           | Acanthina
Acanthisitta                             | Animal    | Chordata                   | -11700        | -0           | Acanthisitta
Acanthocardia                            | Animal    | Mollusca                   | -11700        | -0           | Acanthocardia
Acanthochitona                           | Animal    | Mollusca                   | -2588000      | -0           | Acanthochitona
Acanthopleura                            | Animal    | Mollusca                   | -11700        | -0           | Acanthopleura
Acanthurus                               | Animal    | Chordata                   | -11700        | -0           | Acanthurus
Acar                                     | Animal    | Mollusca                   | -11700        | -0           | Acar
Accipiter                                | Animal    | Chordata                   | -11700        | -0           | Accipiter
Acer                                     | Plant     | Spermatophyta              | -11700        | -0           | Acer
Acervulina                               | Micro     | Foraminifera               | -11700        | -0           | <>
Acetes                                   | Animal    | Arthropoda                 | -11700        | -0           | Acetes
Achaeus                                  | Animal    | Arthropoda                 | -11700        | -0           | Achaeus
Achatina                                 | Animal    | Mollusca                   | -11700        | -0           | Achatina
Achelous                                 | Animal    | Arthropoda                 | -11700        | -0           | Achelous
Acicnemis                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Acinonyx                                 | Animal    | Chordata                   | -11700        | -0           | Acinonyx
Acipenser                                | Animal    | Chordata                   | -11700        | -0           | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -11700        | -0           | Acirsa
Aclypea                                  | Animal    | Arthropoda                 | -11700        | -0           | Aclypea
Acmaea                                   | Animal    | Mollusca                   | -2588000      | -0           | Acmaea
Acmaeodera                               | Animal    | Arthropoda                 | -11700        | -0           | Acmaeodera
Acomys                                   | Animal    | Chordata                   | -11700        | -0           | Acomys
Acrantophis                              | Animal    | Chordata                   | -11700        | -0           | Acrantophis
Acratocnus                               | Animal    | Chordata                   | -126000       | -0           | Acratocnus
Acrobates                                | Animal    | Chordata                   | -126000       | -0           | Acrobates
Acrocephalus                             | Animal    | Chordata                   | -11700        | -0           | Acrocephalus
Acromyrmex                               | Animal    | Arthropoda                 | -11700        | -0           | Acromyrmex
Acropora                                 | Animal    | Cnidaria                   | -11700        | -0           | Acropora
Acroprivesa                              | Animal    | Arthropoda                 | -11700        | -0           | <>
Acrostichum                              | Plant     | Pteridophyta               | -11700        | -0           | Acrostichum
Actaea                                   | Animal    | Arthropoda                 | -11700        | -0           | Actaea
Actaeodes                                | Animal    | Arthropoda                 | -11700        | -0           | Actaeodes
Acteocina                                | Animal    | Mollusca                   | -11700        | -0           | Acteocina
Actinopsis                               | Animal    | Cnidaria                   | -11700        | -0           | Actinopsis
Actitis                                  | Animal    | Chordata                   | -11700        | -0           | Actitis
Actonia                                  | Animal    | Mollusca                   | -2588000      | -0           | <>
Actophilornis                            | Animal    | Chordata                   | -11700        | -0           | Actophilornis
Actumnus                                 | Animal    | Arthropoda                 | -11700        | -0           | Actumnus
Acutibaeus                               | Animal    | Arthropoda                 | -11700        | -0           | <>
Acutigebia                               | Animal    | Arthropoda                 | -11700        | -0           | <>
Adamussium                               | Animal    | Mollusca                   | -11700        | -0           | Adamussium
Addax                                    | Animal    | Chordata                   | -11700        | -0           | Addax
Adelomelon                               | Animal    | Mollusca                   | -11700        | -0           | Adelomelon
Adeonellopsis                            | Animal    | Bryozoa                    | -66000000     | -0           | <>
Admete                                   | Animal    | Mollusca                   | -2588000      | -0           | Admete
Adrana                                   | Animal    | Mollusca                   | -126000       | -0           | Adrana
Aechmophorus                             | Animal    | Chordata                   | -11700        | -0           | Aechmophorus
Aegaeon                                  | Animal    | Arthropoda                 | -11700        | -0           | Aegaeon
Aegolius                                 | Animal    | Chordata                   | -126000       | -0           | Aegolius
Aegotheles                               | Animal    | Chordata                   | -11700        | -0           | Aegotheles
Aepyceros                                | Animal    | Chordata                   | -11700        | -0           | Aepyceros
Aepyornis                                | Animal    | Chordata                   | -11700        | -0           | Aepyornis
Aepypodius                               | Animal    | Chordata                   | -126000       | -0           | Aepypodius
Aepyprymnus                              | Animal    | Chordata                   | -11700        | -0           | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -11700        | -0           | Aequipecten
Aerodramus                               | Animal    | Chordata                   | -11700        | -0           | Aerodramus
Aeshna                                   | Animal    | Arthropoda                 | -11700        | -0           | Aeshna
Aesopus                                  | Animal    | Mollusca                   | -2588000      | -0           | Aesopus
Aethia                                   | Animal    | Chordata                   | -11700        | -0           | Aethia
Aethiopomyia                             | Animal    | Arthropoda                 | -11700        | -0           | <>
Aethomys                                 | Animal    | Chordata                   | -11700        | -0           | Aethomys
Africanacetus                            | Animal    | Chordata                   | -11608000     | -0           | Africanacetus
Agamia                                   | Animal    | Chordata                   | -11700        | -0           | Agamia
Agaricia                                 | Animal    | Cnidaria                   | -11700        | -0           | Agaricia
Agathaeromys                             | Animal    | Chordata                   | -3600000      | -0           | Agathaeromys
Agatha                                   | Animal    | Mollusca                   | -11700        | -0           | Agatha
Agathis                                  | Plant     | Pinophyta                  | -126000       | -0           | Agathis
Agathistoma                              | Animal    | Mollusca                   | -11700        | -0           | <>
Agelaius                                 | Animal    | Chordata                   | -11700        | -0           | Agelaius
Agkistrodon                              | Animal    | Chordata                   | -11700        | -0           | Agkistrodon
Agononida                                | Animal    | Arthropoda                 | -11700        | -0           | Agononida
Agrabtoblatta                            | Animal    | Arthropoda                 | -11700        | -0           | <>
Agrypnus                                 | Animal    | Arthropoda                 | -11700        | -0           | Agrypnus
Ahytherium                               | Animal    | Chordata                   | -2588000      | -0           | Ahytherium
Aix                                      | Animal    | Chordata                   | -11700        | -0           | Aix
Akodon                                   | Animal    | Chordata                   | -11700        | -0           | Akodon
Alaba                                    | Animal    | Mollusca                   | -11700        | -0           | Alaba
Alaptus                                  | Animal    | Arthropoda                 | -11700        | -0           | <>
Alauda                                   | Animal    | Chordata                   | -11700        | -0           | Alauda
Albula                                   | Animal    | Chordata                   | -11700        | -0           | Albula
Albunaea                                 | Animal    | Arthropoda                 | -11700        | -0           | <>
Alca                                     | Animal    | Chordata                   | -11700        | -0           | Alca
Alcedo                                   | Animal    | Chordata                   | -126000       | -0           | Alcedo
Alcelaphus                               | Animal    | Chordata                   | -11700        | -0           | Alcelaphus
Alces                                    | Animal    | Chordata                   | -11700        | -0           | Alces
Aldabrachelys                            | Animal    | Chordata                   | -11700        | -0           | Aldabrachelys
Alectoris                                | Animal    | Chordata                   | -11700        | -0           | Alectoris
Alectroenas                              | Animal    | Chordata                   | -11700        | -0           | Alectroenas
Alectryon                                | Plant     | Spermatophyta              | -781000       | -0           | Alectryon
Alexandrinus                             | Animal    | Chordata                   | -11700        | -0           | Alexandrinus
Aligena                                  | Animal    | Mollusca                   | -11700        | -0           | <>
Alle                                     | Animal    | Chordata                   | -11700        | -0           | Alle
Allenia                                  | Animal    | Chordata                   | -11700        | -0           | Allenia
Alligator                                | Animal    | Chordata                   | -11700        | -0           | Alligator
Allogalathea                             | Animal    | Arthropoda                 | -11700        | -0           | Allogalathea
Allonautilus                             | Animal    | Mollusca                   | -11700        | -0           | Allonautilus
Alnus                                    | Plant     | Spermatophyta              | -11700        | -0           | Alnus
Alopecoenas                              | Animal    | Chordata                   | -11700        | -0           | Alopecoenas
Alopecosa                                | Animal    | Arthropoda                 | -11700        | -0           | Alopecosa
Alopochen                                | Animal    | Chordata                   | -11700        | -0           | Alopochen
Alosa                                    | Animal    | Chordata                   | -11700        | -0           | Alosa
Alouatta                                 | Animal    | Chordata                   | -11700        | -0           | Alouatta
Alpheus                                  | Animal    | Arthropoda                 | -11700        | -0           | Alpheus
Alphitonia                               | Plant     | Spermatophyta              | -11700        | -0           | Alphitonia
Alsophis                                 | Animal    | Chordata                   | -11700        | -0           | Alsophis
Alvania                                  | Animal    | Mollusca                   | -11700        | -0           | Alvania
Alveopora                                | Animal    | Cnidaria                   | -11700        | -0           | Alveopora
Amaurornis                               | Animal    | Chordata                   | -11700        | -0           | Amaurornis
Amazona                                  | Animal    | Chordata                   | -11700        | -0           | Amazona
Amblysomus                               | Animal    | Chordata                   | -11700        | -0           | Amblysomus
Ameghinomya                              | Animal    | Mollusca                   | -11700        | -0           | <>
Ameiva                                   | Animal    | Chordata                   | -11700        | -0           | Ameiva
Americardia                              | Animal    | Mollusca                   | -11700        | -0           | Americardia
Amia                                     | Animal    | Chordata                   | -11700        | -0           | Amia
Amiantis                                 | Animal    | Mollusca                   | -11700        | -0           | <>
Ammonia                                  | Micro     | Foraminifera               | -11700        | -0           | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -11700        | -0           | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | -0           | Ammotragus
Amoora                                   | Plant     | Spermatophyta              | -781000       | -0           | Amoora
Amorphoscelis                            | Animal    | Arthropoda                 | -11700        | -0           | Amorphoscelis
Amphicoryna                              | Micro     | Foraminifera               | -11700        | -0           | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -11700        | -0           | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -11700        | -0           | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -11700        | -0           | <>
Amphissa                                 | Animal    | Mollusca                   | -2588000      | -0           | Amphissa
Amphistegina                             | Micro     | Foraminifera               | -11700        | -0           | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -2588000      | -0           | Amphithalamus
Amphitrite                               | Animal    | Arthropoda                 | -11700        | -0           | Amphitrite
Amphiuma                                 | Animal    | Chordata                   | -11700        | -0           | Amphiuma
Amphora                                  | Plant     | Ochrophyta                 | -11700        | -0           | Amphora
Amusurgus                                | Animal    | Arthropoda                 | -11700        | -0           | <>
