Abdulinaspis                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Abharella                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Abharella
Aboriginella                             | Animal    | Brachiopoda                | -498500000    | -485400000   | Aboriginella
Absidaticonus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acaroceras                               | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Acerocare                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Acheilops                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aciculolenus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspidina                             | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Acidaspis
Acmarhachis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | Acmarhachis
Acodus                                   | Animal    | Chordata                   | -498500000    | -485400000   | Acodus
Acrocephalaspina                         | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acrocephalella                           | Animal    | Arthropoda                 | -501000000    | -498500000   | Acrocephalella
Acrocephalina                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acrocephalites                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acrocephalops                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acrothele                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Acrothyra                                | Animal    | Brachiopoda                | -501000000    | -485400000   | Acrothyra
Acrotreta                                | Animal    | Brachiopoda                | -500500000    | -497000000   | <>
Acutatagnostus                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acuticarpus                              | Animal    | Echinodermata              | -501000000    | -485400000   | <>
Adelogonus                               | Animal    | Arthropoda                 | -500500000    | -497000000   | Adelogonus
Aedotes                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aegitellus                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Aellograptus                             | Animal    | Hemichordata               | -501000000    | -498500000   | <>
Afghanocare                              | Animal    | Arthropoda                 | -500500000    | -497000000   | Afghanocare
Agelagma                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Aglaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspis
Aglaspoides                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspoides
Agnostardis                              | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Agnostogonus                             | Animal    | Arthropoda                 | -500500000    | -497000000   | Agnostogonus
Agnostotes                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | Agraulos
Ajrikina                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Akadocrinus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Akmolina                                 | Animal    | Brachiopoda                | -498500000    | -485400000   | <>
Akoldinioidia                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aksayaspis                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aktugaiella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Albertella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Albiconus                                | Animal    | Chordata                   | -498500000    | -485400000   | <>
Alborsella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Altaiaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ambonolium                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amiaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ammagnostus                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amorphella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amphoton                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | Amphoton
Amzasskiella                             | Animal    | Arthropoda                 | -498500000    | -477700000   | <>
Anabarochilina                           | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Anabolotreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Anconochilus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Anderssonella                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Andrarina                                | Animal    | Arthropoda                 | -541000000    | -477700000   | <>
Anechocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
