Acanthocladia                            | Animal    | Bryozoa                    | -303700000    | -298900000   | <>
Acanthodes                               | Animal    | Chordata                   | -303400000    | -298900000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -303400000    | -298900000   | <>
Acharax                                  | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Achistrum                                | Animal    | Echinodermata              | -303400000    | -298900000   | Achistrum
Acitheca                                 | Plant     | Pteridophyta               | -323200000    | -298900000   | Acitheca
Acmaeoblatta                             | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Acosarina                                | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Acratia                                  | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Acridites                                | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Actinopteria                             | Animal    | Mollusca                   | -303700000    | -298900000   | <>
Actiobates                               | Animal    | Chordata                   | -305900000    | -303400000   | Actiobates
Acutichiton                              | Animal    | Mollusca                   | -303400000    | -298900000   | Acutichiton
Adacrinus                                | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Adelophthalmus                           | Animal    | Arthropoda                 | -303700000    | -298900000   | Adelophthalmus
Adetognathus                             | Animal    | Chordata                   | -303400000    | -298900000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Aenigmatarbus                            | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Aenigmatella                             | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
Aesiocrinus                              | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Aethotaxis                               | Animal    | Chordata                   | -303400000    | -298900000   | Aethotaxis
Agassizodus                              | Animal    | Chordata                   | -323200000    | -298900000   | Agassizodus
Agathammina                              | Micro     | Foraminifera               | -303400000    | -298900000   | <>
Agathiceras                              | Animal    | Mollusca                   | -303700000    | -295500000   | Agathiceras
Aglaocrinus                              | Animal    | Echinodermata              | -303400000    | -298900000   | Aglaocrinus
Agmoblastus                              | Animal    | Echinodermata              | -303400000    | -298900000   | <>
Akagophyllum                             | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Akiyoshiella                             | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Alanops                                  | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
