Aafrita                                  | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Abrytusites                              | Animal    | Mollusca                   | -130000000    | -125450000   | Abrytusites
Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Abyssosaurus                             | Animal    | Chordata                   | -136400000    | -130000000   | Abyssosaurus
Acaeniotyle                              | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Acamptonectes                            | Animal    | Chordata                   | -136400000    | -130000000   | Acamptonectes
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -132900000    | -125000000   | Acanthodiscus
Acantholytoceras                         | Animal    | Mollusca                   | -130000000    | -125450000   | Acantholytoceras
Acanthopora                              | Animal    | Bryozoa                    | -132900000    | -129400000   | Acanthopora
Acanthoptychoceras                       | Animal    | Mollusca                   | -130000000    | -125450000   | Acanthoptychoceras
Acastea                                  | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Accretonemoura                           | Animal    | Arthropoda                 | -132900000    | -125000000   | <>
Acesta                                   | Animal    | Mollusca                   | -139800000    | -129400000   | Acesta
Acharax                                  | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Acicularia                               | Plant     | Chlorophyta                | -132900000    | -129400000   | Acicularia
Aconeceras                               | Animal    | Mollusca                   | -130000000    | -125450000   | Aconeceras
Acostasaurus                             | Animal    | Chordata                   | -130000000    | -125450000   | Acostasaurus
Acrioceras                               | Animal    | Mollusca                   | -130000000    | -125450000   | Acrioceras
Acrocidaris                              | Animal    | Echinodermata              | -132900000    | -129400000   | <>
Acrocythere                              | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Acrodus                                  | Animal    | Chordata                   | -132900000    | -129400000   | Acrodus
Acroporella                              | Plant     | Chlorophyta                | -130000000    | -122460000   | <>
