Aardonyx                                 | Animal    | Chordata                   | -201300000    | -190800000   | Aardonyx
Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Abrictosaurus                            | Animal    | Chordata                   | -201300000    | -190800000   | Abrictosaurus
Absoluta                                 | Animal    | Arthropoda                 | -201300000    | -190800000   | Absoluta
Acanthopleuroceras                       | Animal    | Mollusca                   | -201300000    | -174100000   | Acanthopleuroceras
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -201300000    | -190800000   | Achistrum
Acratia                                  | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Acridomima                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Acrodus                                  | Animal    | Chordata                   | -201300000    | -190800000   | Acrodus
Acrostichites                            | Plant     | Pteridophyta               | -201300000    | -174100000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -201300000    | -174100000   | <>
Actinostreon                             | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Acutisclerus                             | Animal    | Echinodermata              | -201300000    | -190800000   | <>
Adeopapposaurus                          | Animal    | Chordata                   | -201300000    | -174100000   | Adeopapposaurus
Adnethiceras                             | Animal    | Mollusca                   | -201300000    | -190800000   | Adnethiceras
Adynasia                                 | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Aeger                                    | Animal    | Arthropoda                 | -201300000    | -174100000   | Aeger
Aequipecten                              | Animal    | Mollusca                   | -201300000    | -196500000   | Aequipecten
Agathoxylon                              | Plant     | Pinophyta                  | -201300000    | -174100000   | Agathoxylon
Agerchlamys                              | Animal    | Mollusca                   | -201300000    | -190800000   | <>
Agkistracanthus                          | Animal    | Chordata                   | -201300000    | -199300000   | Agkistracanthus
Aguilerella                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Alakiria                                 | Animal    | Cnidaria                   | -201300000    | -199300000   | <>
Alethodontus                             | Animal    | Chordata                   | -201300000    | -196500000   | Alethodontus
Alievium                                 | Micro     | Radiolaria                 | -201300000    | -199300000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -201300000    | -145000000   | <>
Allocoeniopsis                           | Animal    | Cnidaria                   | -201300000    | -196500000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -201300000    | -190800000   | Allophalerus
Alsatites                                | Animal    | Mollusca                   | -201300000    | -190800000   | Alsatites
Amaltheus                                | Animal    | Mollusca                   | -201300000    | -174100000   | Amaltheus
Ambercyclus                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Amberleya                                | Animal    | Mollusca                   | -201300000    | -189600000   | <>
Amblypus                                 | Animal    | Chordata                   | -201300000    | -190800000   | <>
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -201300000    | -174100000   | <>
Ameghinichnus                            | Animal    | Chordata                   | -201300000    | -190800000   | <>
Amijiella                                | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -201300000    | -190800000   | Ammodiscus
Ammonites                                | Animal    | Mollusca                   | -201300000    | -174100000   | Ammonites
Ammopus                                  | Animal    | Chordata                   | -201300000    | -190800000   | <>
Ammosaurus                               | Animal    | Chordata                   | -201300000    | -196500000   | Ammosaurus
Amphibiopodiscus                         | Animal    | Chordata                   | -201300000    | -190800000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -201300000    | -174100000   | <>
Amuria                                   | Micro     | Radiolaria                 | -201300000    | -189600000   | Amuria
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Anagyrinus                               | Animal    | Arthropoda                 | -201300000    | -196500000   | Anagyrinus
Analytoceras                             | Animal    | Mollusca                   | -201300000    | -174100000   | Analytoceras
Anaticapitula                            | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Anchisauripus                            | Animal    | Chordata                   | -201300000    | -174100000   | Anchisauripus
Anchisaurus                              | Animal    | Chordata                   | -201300000    | -190800000   | Anchisaurus
Ancyropus                                | Animal    | Chordata                   | -201300000    | -190800000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Angelinella                              | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Angulataphrus                            | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Angulaticeras                            | Animal    | Mollusca                   | -201300000    | -189600000   | Angulaticeras
Angyomphalus                             | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Anhydrophilus                            | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Anisozygopteron                          | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Anningasaura                             | Animal    | Chordata                   | -201300000    | -183000000   | Anningasaura
Anningella                               | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -201300000    | -174100000   | <>
Anodonta                                 | Animal    | Mollusca                   | -201300000    | -199300000   | Anodonta
Anomia                                   | Animal    | Mollusca                   | -201300000    | -189600000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -201300000    | -174100000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -201300000    | -170300000   | <>
Anomphalus                               | Animal    | Mollusca                   | -201300000    | -199300000   | Anomphalus
Antetonitrus                             | Animal    | Chordata                   | -201300000    | -190800000   | Antetonitrus
Antevsia                                 | Plant     | Peltaspermophyta           | -208500000    | -174100000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Anticheiropus                            | Animal    | Chordata                   | -201300000    | -190800000   | Anticheiropus
Antiptychina                             | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
Antipus                                  | Animal    | Chordata                   | -201300000    | -190800000   | Antipus
Antiquilima                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -201300000    | -190800000   | Antrimpos
Aphodiites                               | Animal    | Arthropoda                 | -201300000    | -196500000   | Aphodiites
Aplocoma                                 | Animal    | Echinodermata              | -201300000    | -196500000   | <>
Apringia                                 | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -201300000    | -145000000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -201300000    | -174100000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -201300000    | -174100000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -201300000    | -174100000   | <>
Arca                                     | Animal    | Mollusca                   | -201300000    | -174100000   | Arca
Archaboilus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | Archaboilus
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -201300000    | -196500000   | <>
Archaeohagla                             | Animal    | Arthropoda                 | -201300000    | -174100000   | <>
Archaeopalinurus                         | Animal    | Arthropoda                 | -201300000    | -174100000   | <>
Archaeosmilia                            | Animal    | Cnidaria                   | -201300000    | -190800000   | <>
Archijassus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Archipleciofungivora                     | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Archipleciomima                          | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Architendipes                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Architipula                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Arcomya                                  | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctomytiloides                          | Animal    | Mollusca                   | -201300000    | -199300000   | <>
Arcusaurus                               | Animal    | Chordata                   | -201300000    | -190800000   | Arcusaurus
Ares                                     | Micro     | Radiolaria                 | -201300000    | -182700000   | Ares
Argoides                                 | Animal    | Chordata                   | -201300000    | -190800000   | Argoides
