Aberia                                   | Animal    | Brachiopoda                | -449500000    | -443700000   | Aberia
Acanthambonia                            | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Acanthoceramoporella                     | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Acdalina                                 | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acdalopora                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acernaspis                               | Animal    | Arthropoda                 | -445200000    | -440800000   | Acernaspis
Achatella                                | Animal    | Arthropoda                 | -445200000    | -443400000   | Achatella
Acidaspis                                | Animal    | Arthropoda                 | -445600000    | -443700000   | Acidaspis
Acidolites                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acodus                                   | Animal    | Chordata                   | -449500000    | -443700000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -455800000    | -443700000   | <>
Acrotretella                             | Animal    | Brachiopoda                | -452000000    | -443700000   | <>
Actinoceras                              | Animal    | Mollusca                   | -449500000    | -443400000   | Actinoceras
Actinomena                               | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Actinopeltis                             | Animal    | Arthropoda                 | -445600000    | -443700000   | Actinopeltis_(trilobite)
Adaverina                                | Animal    | Cnidaria                   | -456100000    | -443700000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Aegiromena                               | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Agetolitella                             | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Agetolites                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Akidograptus                             | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Alaskodiscus                             | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Alceste                                  | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Allodesma                                | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Allonychia                               | Animal    | Mollusca                   | -452000000    | -443700000   | <>
Allosaccus                               | Animal    | Porifera                   | -485400000    | -443400000   | <>
Allumettoceras                           | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Altaethyrella                            | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -449500000    | -443700000   | <>
Ambonychia                               | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Ambonychinia                             | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Ambonychiopsis                           | Animal    | Mollusca                   | -453000000    | -443400000   | <>
Americoncha                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Amorphognathus                           | Animal    | Chordata                   | -445200000    | -443400000   | Amorphognathus
Amphilichas                              | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Amphiplecia                              | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Amphitryon                               | Animal    | Arthropoda                 | -445600000    | -443700000   | Amphitryon
Amplexograptus                           | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -449500000    | -443700000   | Amplexopora
Amplexus                                 | Animal    | Cnidaria                   | -449500000    | -427400000   | Amplexus
Ampyx                                    | Animal    | Arthropoda                 | -449500000    | -443700000   | Ampyx
Ampyxina                                 | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Ampyxinella                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Amsassia                                 | Animal    | Porifera                   | -449500000    | -443700000   | <>
Amsassipora                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Anaphragma                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Anartiocystis                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Anaspyroceras                            | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anataphrus                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Anataphrus
Anatiferocystis                          | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Ancistrorhyncha                          | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Ancyrochitina                            | Micro     | Sarcodina                  | -445200000    | -443400000   | Ancyrochitina
Angullongia                              | Animal    | Porifera                   | -449500000    | -443700000   | <>
Angulospira                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anisocrinus                              | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Anisograptus                             | Animal    | Hemichordata               | -485400000    | -443400000   | <>
Anisopleurella                           | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Anolotichia                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Anomalocrinus                            | Animal    | Echinodermata              | -452000000    | -443700000   | <>
Anomalodonta                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -485400000    | -443400000   | <>
Anoptambonites                           | Animal    | Brachiopoda                | -449500000    | -443400000   | <>
Ansella                                  | Animal    | Chordata                   | -458400000    | -443400000   | <>
Anticostia                               | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Antiplectoceras                          | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Aostipora                                | Animal    | Bryozoa                    | -445600000    | -443700000   | <>
Aparchitella                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Aparchites                               | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Apatochilina                             | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Aphelognathus                            | Animal    | Chordata                   | -445200000    | -443400000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -445600000    | -443700000   | <>
Apianurus                                | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Appendispinograptus                      | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Apsidoceras                              | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Arabellites                              | Animal    | Annelida                   | -445600000    | -443700000   | <>
Arachniograptus                          | Animal    | Hemichordata               | -449500000    | -443700000   | <>
Archaeochonetes                          | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Archaeocyathus                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Archaeophialia                           | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -445200000    | -443400000   | <>
Archinacella                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Arctinurus                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Arctinurus
Arenorthis                               | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Arisaigia                                | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Aristocystites                           | Animal    | Echinodermata              | -445600000    | -443700000   | <>
Arjamannia                               | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Armenoceras                              | Animal    | Mollusca                   | -449500000    | -443700000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Arthropoma                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -445200000    | -443400000   | Arthrorhachis
Arthrotrypa                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -449500000    | -443700000   | Asaphus
Ascetopeltis                             | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Aspelundia                               | Animal    | Chordata                   | -449500000    | -412300000   | <>
Asperopora                               | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Astakocrinus                             | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Astraspis                                | Animal    | Chordata                   | -449500000    | -443700000   | Astraspis
Astrocystites                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Astroproetus                             | Animal    | Arthropoda                 | -449500000    | -443400000   | <>
Astylospongia                            | Animal    | Porifera                   | -445200000    | -443400000   | <>
Astylostroma                             | Animal    | Porifera                   | -449500000    | -443700000   | <>
Atactocrinus                             | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Atactopora                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Atactoporella                            | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Atavograptus                             | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Ateleocystites                           | Animal    | Echinodermata              | -452000000    | -443700000   | <>
