Abrekia                                  | Animal    | Brachiopoda                | -251300000    | -247200000   | Abrekia
Abrekites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Abrekopsis                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -252170000    | -251300000   | <>
Acerastea                                | Animal    | Chordata                   | -252170000    | -251200000   | <>
Acicularia                               | Plant     | Chlorophyta                | -251300000    | -247200000   | Acicularia
Aclisina                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Acosarina                                | Animal    | Brachiopoda                | -252170000    | -251300000   | <>
Acratia                                  | Animal    | Arthropoda                 | -251300000    | -242000000   | <>
Acrocarpus                               | Plant     | Pteridophyta               | -252170000    | -251200000   | Acrocarpus
Acrochordiceras                          | Animal    | Mollusca                   | -251300000    | -247200000   | Acrochordiceras
Acrodus                                  | Animal    | Chordata                   | -251300000    | -247200000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -251300000    | -247200000   | Acrolepis
Acrorhabdus                              | Animal    | Chordata                   | -251300000    | -247200000   | <>
Acutomeekoceras                          | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Aduncodina                               | Animal    | Chordata                   | -251300000    | -247200000   | <>
Aenigmasaurus                            | Animal    | Chordata                   | -252170000    | -247200000   | <>
Aethophyllum                             | Plant     | Pinophyta                  | -252170000    | -242000000   | <>
Agathammina                              | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Agkistrognathus                          | Animal    | Chordata                   | -251300000    | -247200000   | Agkistrognathus
Albaillella                              | Micro     | Radiolaria                 | -252170000    | -247200000   | <>
Albanites                                | Animal    | Mollusca                   | -251300000    | -247200000   | Albanites
Albertia                                 | Plant     | Coniferophyta              | -252170000    | -242000000   | Albertia
Albertonia                               | Animal    | Chordata                   | -251300000    | -247200000   | <>
Aldanoceras                              | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -251300000    | -247200000   | <>
Ambilobeia                               | Animal    | Arthropoda                 | -251300000    | -247200000   | Ambilobeia
Ambites                                  | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Ambitoides                               | Animal    | Mollusca                   | -252170000    | -251300000   | <>
Ambodipia                                | Animal    | Chordata                   | -252170000    | -251300000   | <>
Amelacanthus                             | Animal    | Chordata                   | -251300000    | -247200000   | Amelacanthus
Ammobaculites                            | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -251300000    | -247200000   | Ammodiscus
Ammovertella                             | Micro     | Foraminifera               | -252170000    | -251300000   | <>
Ampezzopleura                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Amphisauropus                            | Animal    | Chordata                   | -252170000    | -247200000   | <>
Amphistephanites                         | Animal    | Mollusca                   | -251300000    | -247200000   | Amphistephanites
Anaflemingites                           | Animal    | Mollusca                   | -251300000    | -247200000   | Anaflemingites
Anahedenstroemia                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Anasibirites                             | Animal    | Mollusca                   | -251300000    | -247200000   | Anasibirites
Anawasatchites                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Anaxenaspis                              | Animal    | Mollusca                   | -251300000    | -247200000   | Anaxenaspis
Angolaichthys                            | Animal    | Chordata                   | -252170000    | -247200000   | <>
Angusaurus                               | Animal    | Chordata                   | -251300000    | -247200000   | Angusaurus
Anisicyrtis                              | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Ankitokazocaris                          | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Annalepis                                | Plant     | Lycophyta                  | -252170000    | -247200000   | <>
Annularia                                | Plant     | Sphenophyta                | -252170000    | -247200000   | Annularia
Anodontophora                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Anomia                                   | Animal    | Mollusca                   | -252170000    | -251300000   | Anomia_(bivalve)
Anomopteris                              | Plant     | Pteridophyta               | -252170000    | -242000000   | <>
Anomphalus                               | Animal    | Mollusca                   | -251300000    | -247200000   | Anomphalus
Anoploceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | Anoploceras
Anotoceras                               | Animal    | Mollusca                   | -252170000    | -247200000   | Anotoceras
Antarctanax                              | Animal    | Chordata                   | -252170000    | -247200000   | Antarctanax
Antezeilleria                            | Animal    | Brachiopoda                | -251300000    | -247200000   | <>
Anxiania                                 | Animal    | Arthropoda                 | -252170000    | -251300000   | <>
Apateolepis                              | Animal    | Chordata                   | -251300000    | -242000000   | <>
Aphaneramma                              | Animal    | Chordata                   | -251300000    | -247200000   | Aphaneramma
Aphelodus                                | Animal    | Chordata                   | -252170000    | -247200000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -252170000    | -242000000   | <>
Aplocoma                                 | Animal    | Echinodermata              | -252170000    | -251300000   | <>
Araucarites                              | Plant     | Pinophyta                  | -252170000    | -251200000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -252170000    | -251300000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -252170000    | -237000000   | <>
Arcavicula                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Arcestes                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Arcestes
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
