Abdulinaspis                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Abharella                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Abharella
Aboriginella                             | Animal    | Brachiopoda                | -497000000    | -485400000   | Aboriginella
Absidaticonus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acaroceras                               | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Acerocare                                | Animal    | Arthropoda                 | -497000000    | -477700000   | <>
Acheilops                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aciculolenus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | Acidaspis
Acmarhachis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | Acmarhachis
Acodus                                   | Animal    | Chordata                   | -498500000    | -485400000   | Acodus
Acrocephalaspina                         | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acrocephalina                            | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Acrocephalites                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acrocephalops                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Acrothele                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Acrothyra                                | Animal    | Brachiopoda                | -501000000    | -485400000   | Acrothyra
Acrotreta                                | Animal    | Brachiopoda                | -497000000    | -477700000   | <>
Acutatagnostus                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Acuticarpus                              | Animal    | Echinodermata              | -501000000    | -485400000   | <>
Aedotes                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Aegitellus                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Aglaspella                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Aglaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspis
Aglaspoides                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Aglaspoides
Agnostogonus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Agnostogonus
Agnostotes                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | Agraulos
Akmolina                                 | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Akoldinioidia                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aksayaspis                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Aktugaiella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Albertella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Albiconus                                | Animal    | Chordata                   | -498500000    | -485400000   | <>
Alborsella                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Altaiaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ambonolium                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Amiaspis                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ammagnostus                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amorphella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Amzasskiella                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Anabolotreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Anconochilus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Anderssonella                            | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Andrarina                                | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Anechocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Angelina                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | Angelina_(trilobite)
Angulotreta                              | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Angusticellularia                        | Plant     | Rhodophyta                 | -501000000    | -485400000   | <>
Anhuiceras                               | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Anisotechnophorus                        | Animal    | Mollusca                   | -497000000    | -478600000   | <>
