Abylea                                   | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Acantherpestes                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -313800000    | -305900000   | <>
Acanthodes                               | Animal    | Chordata                   | -307000000    | -303700000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Acanthotelson                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -306950000    | -298900000   | <>
Acharax                                  | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Achistrum                                | Animal    | Echinodermata              | -305900000    | -303400000   | Achistrum
Acitheca                                 | Plant     | Pteridophyta               | -323200000    | -298900000   | Acitheca
Aclisina                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Acmaeoblatta                             | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Acratia                                  | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Actinophrentis                           | Animal    | Cnidaria                   | -307000000    | -303700000   | <>
Actiobates                               | Animal    | Chordata                   | -305900000    | -303400000   | Actiobates
Acutichiton                              | Animal    | Mollusca                   | -313800000    | -305900000   | Acutichiton
Adamanterpeton                           | Animal    | Chordata                   | -311450000    | -306950000   | Adamanterpeton
Adeloblatta                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adeloneura                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adelophthalmus                           | Animal    | Arthropoda                 | -304800000    | -303400000   | Adelophthalmus
Adetognathus                             | Animal    | Chordata                   | -314600000    | -306950000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Adiaphtharsia                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adiphlebia                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adolarryia                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Aenigmacaris                             | Animal    | Arthropoda                 | -307000000    | -303700000   | Aenigmacaris
Aenigmatodes                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Aetophlebia                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Agaeoleptoptera                          | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
