Aberia                                   | Animal    | Brachiopoda                | -449500000    | -443700000   | Aberia
Abludoglyptocrinus                       | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Abrograptus                              | Animal    | Hemichordata               | -466000000    | -449500000   | <>
Acanthambonia                            | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Acanthobolbina                           | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthoceramoporella                     | Animal    | Bryozoa                    | -445600000    | -443700000   | <>
Acanthochitina                           | Micro     | Sarcodina                  | -452000000    | -445600000   | Acanthochitina
Acanthocordylodus                        | Animal    | Chordata                   | -449500000    | -445600000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Acanthodina                              | Animal    | Chordata                   | -449500000    | -445600000   | <>
Acanthodus                               | Animal    | Chordata                   | -449500000    | -445600000   | Acanthodus
Acanthograptus                           | Animal    | Hemichordata               | -449500000    | -445600000   | <>
Acantholaminatus                         | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Acanthoparypha                           | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acculina                                 | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acdalina                                 | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acdalopora                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acernaspis                               | Animal    | Arthropoda                 | -449500000    | -433400000   | Acernaspis
Achatella                                | Animal    | Arthropoda                 | -449500000    | -443700000   | Achatella
Achradocystites                          | Animal    | Echinodermata              | -457500000    | -449500000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -445600000    | -443700000   | Acidaspis
Acidolites                               | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Acodus                                   | Animal    | Chordata                   | -449500000    | -443700000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Acrosaccus                               | Animal    | Brachiopoda                | -449500000    | -445600000   | <>
