Acaeniotyle                              | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Acanthochaetetes                         | Animal    | Porifera                   | -157300000    | -152100000   | <>
Acanthochirana                           | Animal    | Arthropoda                 | -155700000    | -150800000   | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -163500000    | -145000000   | Acanthodiscus
Acanthogyra                              | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -157300000    | -152100000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -155700000    | -150800000   | Acanthosphaera
Acanthoteuthis                           | Animal    | Mollusca                   | -155700000    | -150800000   | Acanthoteuthis
Acastea                                  | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Acesta                                   | Animal    | Mollusca                   | -155700000    | -150800000   | Acesta
Achelonia                                | Animal    | Chordata                   | -155700000    | -150800000   | Achelonia
Achistrum                                | Animal    | Echinodermata              | -155700000    | -150800000   | Achistrum
Acicularia                               | Plant     | Chlorophyta                | -155700000    | -150800000   | Acicularia
Aclistochara                             | Plant     | Charophyta                 | -157300000    | -145000000   | <>
Acrocidaris                              | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Acrodus                                  | Animal    | Chordata                   | -157300000    | -152100000   | Acrodus
Acropeltis                               | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Acrosalenia                              | Animal    | Echinodermata              | -157300000    | -152100000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -163500000    | -145000000   | <>
Acroura                                  | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Acteonina                                | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Actinomma                                | Micro     | Radiolaria                 | -155700000    | -150800000   | <>
Actinoporella                            | Plant     | Chlorophyta                | -161200000    | -150800000   | <>
Actinostreon                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Actinostromarianina                      | Animal    | Porifera                   | -155700000    | -145000000   | <>
Actinostromina                           | Animal    | Porifera                   | -155700000    | -145000000   | <>
Actostroma                               | Animal    | Porifera                   | -163500000    | -145000000   | <>
Acuariceras                              | Animal    | Mollusca                   | -161200000    | -155700000   | Acuariceras
