Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Abaptilon                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Abrobairdia                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Abyssomedon                              | Animal    | Chordata                   | -279300000    | -272300000   | Abyssomedon
Acaciapora                               | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Acanthalosia                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Acanthocoryna                            | Animal    | Porifera                   | -279300000    | -272300000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Acanthodes                               | Animal    | Chordata                   | -296400000    | -268000000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Acanthophillipsia                        | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -290100000    | -272300000   | Acanthophyllum
Acanthotriletes                          | Plant     | Lycophyta                  | -272500000    | -252300000   | <>
Acharax                                  | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Acheloma                                 | Animal    | Chordata                   | -279300000    | -272300000   | Acheloma
Acleistorhinus                           | Animal    | Chordata                   | -279300000    | -272300000   | Acleistorhinus
Acolosia                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Acosarina                                | Animal    | Brachiopoda                | -279300000    | -259900000   | <>
Acratia                                  | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Acritosia                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Acrodus                                  | Animal    | Chordata                   | -279300000    | -272300000   | Acrodus
Acrospira                                | Animal    | Mollusca                   | -279300000    | -272300000   | Acrospira
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Actinocoelia                             | Animal    | Porifera                   | -279300000    | -272300000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -298900000    | -272300000   | Actinoconchus
Actinophrentis                           | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Actuaria                                 | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Adamantina                               | Animal    | Chordata                   | -279300000    | -272300000   | Adamantina
Adlatipora                               | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Adoptysma                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Adumbratomorpha                          | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Aeduella                                 | Animal    | Chordata                   | -298900000    | -272300000   | Aeduella
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Aetophlebiopsis                          | Animal    | Arthropoda                 | -279500000    | -272500000   | <>
Afrochoristella                          | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Agathammina                              | Micro     | Foraminifera               | -279300000    | -259900000   | <>
Agathiceras                              | Animal    | Mollusca                   | -279300000    | -272300000   | Agathiceras
Agelesia                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Agetopanorpa                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Aibolitus                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Aissoblatta                              | Animal    | Arthropoda                 | -290100000    | -272300000   | <>
Akagophyllum                             | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Akmilleria                               | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Albaillella                              | Micro     | Radiolaria                 | -272500000    | -252300000   | <>
Aldina                                   | Animal    | Brachiopoda                | -279300000    | -272300000   | Aldina
Aletrimyti                               | Animal    | Chordata                   | -279300000    | -272300000   | Aletrimyti
Alexenia                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Alexrasnitsynia                          | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
