Abies                                    | Plant     | Pinophyta                  | -242000000    | -237000000   | Abies
Abriolina                                | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -242000000    | -235000000   | Acanthosphaera
Acanthotheelia                           | Animal    | Echinodermata              | -242000000    | -235000000   | Acanthotheelia
Achistrum                                | Animal    | Echinodermata              | -242000000    | -237000000   | Achistrum
Aciculella                               | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Acodina                                  | Animal    | Chordata                   | -242000000    | -235000000   | <>
Acratia                                  | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Acrochordiceras                          | Animal    | Mollusca                   | -247200000    | -221500000   | Acrochordiceras
Acrodus                                  | Animal    | Chordata                   | -242000000    | -235000000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -242000000    | -235000000   | Acrolepis
Acteonina                                | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Acuminatella                             | Animal    | Chordata                   | -238500000    | -227500000   | Acuminatella
Ademosyne                                | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Adygella                                 | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Adzhajloutshella                         | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Aeger                                    | Animal    | Arthropoda                 | -242000000    | -235000000   | Aeger
Agathammina                              | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Agetopanorpa                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Aghdarbandites                           | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Agonisca                                 | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Ahagla                                   | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Aiban                                    | Animal    | Arthropoda                 | -242000000    | -237000000   | Aiban
Aipteris                                 | Plant     | Peltaspermophyta           | -247200000    | -237000000   | <>
Aka                                      | Animal    | Porifera                   | -242000000    | -228000000   | Aka
Albasphe                                 | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Alcoveria                                | Animal    | Chordata                   | -242000000    | -235000000   | Alcoveria
Aleodon                                  | Animal    | Chordata                   | -242000000    | -228000000   | Aleodon
Alipunctifera                            | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -242000000    | -237000000   | <>
Alkaites                                 | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Allochorista                             | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Allocosmia                               | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Allogevanites                            | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Allolepidotus                            | Animal    | Chordata                   | -242000000    | -235000000   | Allolepidotus
Alpinocodium                             | Plant     | Chlorophyta                | -242000000    | -235000000   | <>
Alpinophragmium                          | Micro     | Foraminifera               | -242000000    | -228000000   | <>
Alpinothalamia                           | Animal    | Porifera                   | -242000000    | -232000000   | <>
Amauropsis                               | Animal    | Mollusca                   | -242000000    | -237000000   | Amauropsis
Amblysiphonella                          | Animal    | Porifera                   | -242000000    | -237000000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -242000000    | -228000000   | <>
Ammodiscella                             | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -242000000    | -235000000   | Ammodiscus
Ammolagena                               | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Amphiclina                               | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Amphiclinodonta                          | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Amphijanira                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Amphipopanoceras                         | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Amphisphaera                             | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Ampullina                                | Animal    | Mollusca                   | -242000000    | -237000000   | Ampullina
Amusium                                  | Animal    | Mollusca                   | -242000000    | -237000000   | Amusium
Anablatta                                | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Anagymnites                              | Animal    | Mollusca                   | -242000000    | -235000000   | Anagymnites
Anaidelia                                | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -242000000    | -237000000   | <>
Anatropites                              | Animal    | Mollusca                   | -238500000    | -227500000   | Anatropites
Anchisauripus                            | Animal    | Chordata                   | -247200000    | -237000000   | Anchisauripus
Andangularia                             | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -242000000    | -237000000   | <>
Aneisohealdia                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Anemeca                                  | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Aneurolepis                              | Animal    | Chordata                   | -242000000    | -235000000   | <>
Angustothyris                            | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Anisactinella                            | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Anisicyrtis                              | Micro     | Radiolaria                 | -242000000    | -237000000   | <>
