Abanaxipha                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Abderites                                | Animal    | Chordata                   | -16300000     | -15500000    | <>
Abertella                                | Animal    | Echinodermata              | -15970000     | -11608000    | <>
Abies                                    | Plant     | Pinophyta                  | -15970000     | -11608000    | Abies
Ablabesmyia                              | Animal    | Arthropoda                 | -20440000     | -13820000    | Ablabesmyia
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abra                                     | Animal    | Mollusca                   | -15970000     | -11608000    | Abra_(bivalve)
Abruzzoichthys                           | Animal    | Chordata                   | -15970000     | -11608000    | <>
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acallepitrix                             | Animal    | Arthropoda                 | -20440000     | -13820000    | Acallepitrix
Acamptogenotia                           | Animal    | Mollusca                   | -15970000     | -11608000    | Acamptogenotia
Acamptus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Acamptus
Acanthastrea                             | Animal    | Cnidaria                   | -15970000     | -11608000    | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -15970000     | -11608000    | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -15970000     | -11608000    | Acanthocardia
Acanthocarpus                            | Animal    | Arthropoda                 | -15970000     | -11620000    | Acanthocarpus_(crab)
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthocybium                            | Animal    | Chordata                   | -15970000     | -13820000    | Acanthocybium
Acanthodesia                             | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Acanthognathus Formicidae                | Animal    | Arthropoda                 | -20440000     | -13820000    | Acanthognathus
Acanthosoma                              | Animal    | Arthropoda                 | -15970000     | -11608000    | Acanthosoma
Acanthostichus                           | Animal    | Arthropoda                 | -20440000     | -13820000    | Acanthostichus
Acanthurus                               | Animal    | Chordata                   | -15970000     | -13820000    | Acanthurus
Acarechimys                              | Animal    | Chordata                   | -15500000     | -13800000    | <>
Acaricoris                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Acaricoris
Acar                                     | Animal    | Mollusca                   | -15970000     | -11608000    | Acar
Acentrophryne                            | Animal    | Chordata                   | -23030000     | -5333000     | Acentrophryne
Aceratherium                             | Animal    | Chordata                   | -15970000     | -11608000    | Aceratherium
