Abiesgraptus                             | Animal    | Hemichordata               | -419200000    | -410800000   | <>
Acanthocrinus                            | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Acanthodus                               | Animal    | Chordata                   | -419200000    | -393300000   | Acanthodus
Acanthograptus                           | Animal    | Hemichordata               | -419200000    | -410800000   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -419200000    | -358900000   | Acanthophyllum
Acanthopyge                              | Animal    | Arthropoda                 | -419200000    | -410800000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Acanthoscorpio                           | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Acanthospirifer                          | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Acastava                                 | Animal    | Arthropoda                 | -416000000    | -407600000   | Acastava
Acaste                                   | Animal    | Arthropoda                 | -419200000    | -410800000   | Acaste
Acastella                                | Animal    | Arthropoda                 | -416000000    | -407600000   | Acastella
Acastoides                               | Animal    | Arthropoda                 | -416000000    | -407600000   | Acastoides
Achoania                                 | Animal    | Chordata                   | -419200000    | -410800000   | Achoania
Acinophyllum                             | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Acodina                                  | Animal    | Chordata                   | -419200000    | -393300000   | <>
Acodus                                   | Animal    | Chordata                   | -419200000    | -407600000   | Acodus
Acrophyllum                              | Animal    | Cnidaria                   | -419200000    | -393300000   | Acrophyllum
Acrospirifer                             | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Actinodictyon                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Actinopteria                             | Animal    | Mollusca                   | -412300000    | -409100000   | <>
Actinostroma                             | Animal    | Porifera                   | -416000000    | -393300000   | <>
Actinostromella                          | Animal    | Porifera                   | -419200000    | -410800000   | <>
Aculatostroma                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Acutiramus                               | Animal    | Arthropoda                 | -419200000    | -410800000   | Acutiramus
Adiagoceras                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Aechminaria                              | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Aesopomum                                | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Aethaspis                                | Animal    | Chordata                   | -419200000    | -407600000   | Aethaspis
Agoniatites                              | Animal    | Mollusca                   | -419200000    | -358900000   | Agoniatites
Aknisophyllum                            | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Akrosphaeorthoceras                      | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Akrosphaerorthoceras                     | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Albadesmus                               | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
