Abderospira                              | Animal    | Mollusca                   | -47800000     | -33900000    | <>
Abdounia                                 | Animal    | Chordata                   | -47800000     | -38000000    | Abdounia
Abelia                                   | Plant     | Spermatophyta              | -47800000     | -41300000    | Abelia
Abies                                    | Plant     | Pinophyta                  | -56000000     | -33900000    | Abies
Abra                                     | Animal    | Mollusca                   | -47800000     | -33900000    | Abra
Abrosomys                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Absarokius                               | Animal    | Chordata                   | -50300000     | -46200000    | <>
Abyssocypris                             | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Acacia                                   | Plant     | Spermatophyta              | -47800000     | -41300000    | Acacia
Acaena                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Acalypha
Acamana                                  | Animal    | Chordata                   | -42000000     | -36000000    | <>
Acamptogenotia                           | Animal    | Mollusca                   | -47800000     | -41300000    | Acamptogenotia
Acanthocardia                            | Animal    | Mollusca                   | -47800000     | -41300000    | Acanthocardia
Acanthocephalonotum                      | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Acanthogalathea                          | Animal    | Arthropoda                 | -47800000     | -41300000    | Acanthogalathea
Acantholambrus                           | Animal    | Arthropoda                 | -47800000     | -41300000    | Acantholambrus
Acanthoportunus                          | Animal    | Arthropoda                 | -46200000     | -40400000    | <>
Acanthuroides                            | Animal    | Chordata                   | -47800000     | -41300000    | <>
Acanthurus                               | Animal    | Chordata                   | -47800000     | -41300000    | Acanthurus
Acarinina                                | Micro     | Foraminifera               | -47800000     | -41300000    | Acarinina
Acar                                     | Animal    | Mollusca                   | -47800000     | -41300000    | Acar
Acassidites                              | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Acer                                     | Plant     | Spermatophyta              | -46200000     | -40400000    | Acer
Acervulina                               | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Acesta                                   | Animal    | Mollusca                   | -47800000     | -38000000    | Acesta
Achaenodon                               | Animal    | Chordata                   | -46200000     | -40400000    | Achaenodon
Acharax                                  | Animal    | Mollusca                   | -47800000     | -33900000    | <>
Achatina                                 | Animal    | Mollusca                   | -47800000     | -41300000    | Achatina
Acicularia                               | Plant     | Chlorophyta                | -47800000     | -41300000    | Acicularia
Aciculiscala                             | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Acila                                    | Animal    | Mollusca                   | -47800000     | -38000000    | Acila
Acipenser                                | Animal    | Chordata                   | -47800000     | -41300000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -47800000     | -41300000    | Acirsa
Acmopyle                                 | Plant     | Coniferophyta              | -48600000     | -33900000    | Acmopyle
Acnemia                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Acnemia
Acocephalus                              | Animal    | Arthropoda                 | -50300000     | -46200000    | <>
Acoelohyrax                              | Animal    | Chordata                   | -48000000     | -42000000    | <>
