Abathomphalus                            | Micro     | Foraminifera               | -72100000     | -66000000    | Abathomphalus
Abavornis                                | Animal    | Chordata                   | -100500000    | -66000000    | Abavornis
Abelisaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | Abelisaurus
Abies                                    | Plant     | Pinophyta                  | -72100000     | -66000000    | Abies
Abrardia                                 | Micro     | Foraminifera               | -72100000     | -66000000    | <>
Abruptolopha                             | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Acanthechinus                            | Animal    | Echinodermata              | -72100000     | -66000000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -83500000     | -70600000    | Acanthocardia
Acanthochaetetes                         | Animal    | Porifera                   | -83500000     | -70600000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Acanthodiscus Centrales                  | Plant     | Ochrophyta                 | -72100000     | -66000000    | <>
Acanthoscaphites                         | Animal    | Mollusca                   | -70600000     | -66000000    | Acanthoscaphites
Acanthotriletes                          | Plant     | Lycophyta                  | -70600000     | -66000000    | <>
Acanthoxenophora                         | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acar                                     | Animal    | Mollusca                   | -72100000     | -66000000    | Acar
Acastea                                  | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Accordiella                              | Micro     | Foraminifera               | -83500000     | -66000000    | <>
Acervulina                               | Micro     | Foraminifera               | -70600000     | -66000000    | <>
Acesta                                   | Animal    | Mollusca                   | -70600000     | -66000000    | Acesta
Achelousaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Achelousaurus
Acheralichnus                            | Animal    | Chordata                   | -70600000     | -66000000    | <>
Acheroraptor                             | Animal    | Chordata                   | -70600000     | -66000000    | Acheroraptor
Acicularia                               | Plant     | Chlorophyta                | -70600000     | -66000000    | Acicularia
Aciculiscala                             | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acila                                    | Animal    | Mollusca                   | -83500000     | -70600000    | Acila
Acipenser                                | Animal    | Chordata                   | -70600000     | -61700000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -72100000     | -66000000    | Acirsa
Aclistochara                             | Plant     | Charophyta                 | -100500000    | -66000000    | <>
Acmaea                                   | Animal    | Mollusca                   | -70600000     | -66000000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acoscinopleura                           | Animal    | Bryozoa                    | -70600000     | -66000000    | <>
Acrilla                                  | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acristavus                               | Animal    | Chordata                   | -83500000     | -70600000    | Acristavus
Acrochordonia                            | Animal    | Porifera                   | -83500000     | -70600000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acroporella                              | Plant     | Chlorophyta                | -72100000     | -66000000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -83500000     | -70600000    | <>
Acrotemnus                               | Animal    | Chordata                   | -100500000    | -66000000    | Acrotemnus
Acteonella                               | Animal    | Mollusca                   | -70600000     | -66000000    | Acteonella
Acteonina                                | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Acteon                                   | Animal    | Mollusca                   | -70600000     | -61700000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -100500000    | -66000000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -70600000     | -66000000    | <>
Actinhelia                               | Animal    | Cnidaria                   | -70600000     | -66000000    | <>
Actinocamax                              | Animal    | Mollusca                   | -100500000    | -66000000    | Actinocamax
Actinomma                                | Micro     | Radiolaria                 | -86300000     | -70600000    | <>
Actinophyma                              | Animal    | Echinodermata              | -83500000     | -70600000    | <>
Actinopora                               | Animal    | Bryozoa                    | -70600000     | -66000000    | Actinopora
Actinoptychus                            | Plant     | Ochrophyta                 | -72100000     | -66000000    | Actinoptychus
Actinosepia                              | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acutostrea                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Acynodon                                 | Animal    | Chordata                   | -70600000     | -66000000    | Acynodon
Adalatherium                             | Animal    | Chordata                   | -72100000     | -66000000    | Adalatherium
Adamantinasuchus                         | Animal    | Chordata                   | -83500000     | -66000000    | Adamantinasuchus
Adamantisaurus                           | Animal    | Chordata                   | -83500000     | -66000000    | Adamantisaurus
Adamisaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | <>
Adasaurus                                | Animal    | Chordata                   | -72100000     | -66000000    | Adasaurus
Adelodonax                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Adelohelea                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Adelolophus                              | Animal    | Chordata                   | -83500000     | -70600000    | Adelolophus
Adinophis                                | Animal    | Chordata                   | -72100000     | -66000000    | <>
Adnetoscyllium                           | Animal    | Chordata                   | -83500000     | -70600000    | Adnetoscyllium
Adocus                                   | Animal    | Chordata                   | -70600000     | -61700000    | Adocus
Adynomosaurus                            | Animal    | Chordata                   | -70600000     | -66000000    | Adynomosaurus
Aechmella                                | Animal    | Bryozoa                    | -72100000     | -66000000    | <>
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegyptosuchus                            | Animal    | Chordata                   | -100500000    | -66000000    | Aegyptosuchus
Aemula                                   | Animal    | Brachiopoda                | -70600000     | -66000000    | Aemula
Aenigmadelphys                           | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aenona                                   | Animal    | Mollusca                   | -70600000     | -66000000    | Aenona
Aeolisaccus                              | Micro     | Foraminifera               | -83600000     | -66000000    | <>
Aeolosaurus                              | Animal    | Chordata                   | -72100000     | -66000000    | Aeolosaurus
Aepyornithomimus                         | Animal    | Chordata                   | -83500000     | -70600000    | Aepyornithomimus
Aequipecten                              | Animal    | Mollusca                   | -70600000     | -66000000    | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -83500000     | -66000000    | <>
Aerosteon                                | Animal    | Chordata                   | -83500000     | -70600000    | Aerosteon
Aerotitan                                | Animal    | Chordata                   | -83500000     | -66000000    | Aerotitan
Afens                                    | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Agaleorhynchus                           | Animal    | Chordata                   | -83500000     | -70600000    | Agaleorhynchus
Agardhiellopsis                          | Plant     | Rhodophyta                 | -72100000     | -66000000    | <>
Agathelia                                | Animal    | Cnidaria                   | -83500000     | -66000000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agelasina                                | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Ageria                                   | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Ageroolithus                             | Animal    | Chordata                   | -70600000     | -66000000    | Ageroolithus
Agerostrea                               | Animal    | Mollusca                   | -70600000     | -66000000    | Agerostrea
Agnomyax                                 | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Agomphus                                 | Animal    | Chordata                   | -70600000     | -61700000    | <>
Agriopleura                              | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Aguileria                                | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Agujaceratops                            | Animal    | Chordata                   | -83500000     | -70600000    | Agujaceratops
Ahmuellerella                            | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Ahshislepelta                            | Animal    | Chordata                   | -83500000     | -70600000    | Ahshislepelta
Ahstemiam                                | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Aigialosuchus                            | Animal    | Chordata                   | -83500000     | -70600000    | Aigialosuchus
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ajnabia                                  | Animal    | Chordata                   | -70600000     | -66000000    | Ajnabia
Akainacephalus                           | Animal    | Chordata                   | -83500000     | -70600000    | Akainacephalus
Akatopora                                | Animal    | Bryozoa                    | -70600000     | -66000000    | <>
Akera                                    | Animal    | Mollusca                   | -83500000     | -70600000    | Akera
Alabamina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Alamitherium                             | Animal    | Chordata                   | -83500000     | -66000000    | <>
Alamitophis                              | Animal    | Chordata                   | -72100000     | -66000000    | Alamitophis
Alamitornis                              | Animal    | Chordata                   | -83500000     | -66000000    | Alamitornis
Alamosaurus                              | Animal    | Chordata                   | -70600000     | -66000000    | Alamosaurus
Alaripeda                                | Animal    | Chordata                   | -70600000     | -66000000    | <>
Alaskacephale                            | Animal    | Chordata                   | -70600000     | -66000000    | Alaskacephale
Alatacythere                             | Animal    | Arthropoda                 | -70600000     | -66000000    | <>
Albadraco                                | Animal    | Chordata                   | -70600000     | -66000000    | Albadraco
Albanerpeton                             | Animal    | Chordata                   | -70600000     | -66000000    | Albanerpeton
Albertaceratops                          | Animal    | Chordata                   | -83500000     | -70600000    | Albertaceratops
Albertaphis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertarum                               | Plant     | Angiospermae               | -70600000     | -66000000    | <>
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertoberotha                           | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertochampsa                           | Animal    | Chordata                   | -83500000     | -70600000    | Albertochampsa
Albertocryptus                           | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Albertonectes                            | Animal    | Chordata                   | -83500000     | -70600000    | Albertonectes
Albertonykus                             | Animal    | Chordata                   | -70600000     | -66000000    | Albertonykus
Albertosaurus                            | Animal    | Chordata                   | -70600000     | -66000000    | Albertosaurus
Albertosuchus                            | Animal    | Chordata                   | -70600000     | -66000000    | Albertosuchus
Albula                                   | Animal    | Chordata                   | -83500000     | -70600000    | Albula_(fish)
Alcione                                  | Animal    | Chordata                   | -70600000     | -66000000    | Alcione_elainus
Aldebarania                              | Animal    | Echinodermata              | -70600000     | -66000000    | <>
Alderina                                 | Animal    | Bryozoa                    | -72100000     | -66000000    | <>
Alectrosaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Alectrosaurus
Aletopelta                               | Animal    | Chordata                   | -83500000     | -70600000    | Aletopelta
Alexandronectes                          | Animal    | Chordata                   | -83500000     | -66000000    | Alexandronectes
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Alienochelys                             | Animal    | Chordata                   | -70600000     | -66000000    | Alienochelys
Alievium                                 | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
Aliofusus                                | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Alioramus                                | Animal    | Chordata                   | -72100000     | -66000000    | Alioramus
Alisporites                              | Plant     | Gymnospermophyta           | -70600000     | -66000000    | <>
Allacodon                                | Animal    | Chordata                   | -70600000     | -66000000    | <>
Alloambria                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Allodaposuchus                           | Animal    | Chordata                   | -70600000     | -66000000    | Allodaposuchus
Allognathosuchus                         | Animal    | Chordata                   | -70600000     | -66000000    | Allognathosuchus
Allomorphina                             | Micro     | Foraminifera               | -72100000     | -66000000    | <>
Allonia                                  | Plant     | Spermatophyta              | -85800000     | -70600000    | Allonia
Allopleuron                              | Animal    | Chordata                   | -70600000     | -66000000    | Allopleuron
Almerarhynchia                           | Animal    | Brachiopoda                | -70600000     | -66000000    | <>
Alnus                                    | Plant     | Spermatophyta              | -70600000     | -66000000    | Alnus
Alostera                                 | Animal    | Chordata                   | -70600000     | -66000000    | <>
Alphadon                                 | Animal    | Chordata                   | -70600000     | -66000000    | Alphadon
Alsophilidites                           | Plant     | Pteridophyta               | -83500000     | -66000000    | <>
Altacreodus                              | Animal    | Chordata                   | -70600000     | -66000000    | Altacreodus
Altanicypris                             | Animal    | Arthropoda                 | -72100000     | -66000000    | <>
Altanteius                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Altanulia                                | Animal    | Chordata                   | -72100000     | -66000000    | Altanulia
Alvania                                  | Animal    | Mollusca                   | -70600000     | -66000000    | Alvania
Alveolocyathus                           | Animal    | Cnidaria                   | -72100000     | -66000000    | <>
Alymlestes                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Alzadasaurus                             | Animal    | Chordata                   | -83500000     | -70600000    | Alzadasaurus
Amaea                                    | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Amaurellina                              | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Amauropsis                               | Animal    | Mollusca                   | -70600000     | -66000000    | Amauropsis
Ambaraphis                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Amberleya                                | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Ambigostrea                              | Animal    | Mollusca                   | -70600000     | -61700000    | <>
Ambilestes                               | Animal    | Chordata                   | -70600000     | -66000000    | <>
Amblydactylus                            | Animal    | Chordata                   | -83500000     | -70600000    | Amblydactylus
Amblyochara                              | Plant     | Charophyta                 | -70600000     | -66000000    | <>
Ambocardia                               | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Amesoneuron                              | Plant     | Angiospermae               | -70600000     | -66000000    | <>
Amia                                     | Animal    | Chordata                   | -70600000     | -66000000    | Amia
Ammatophora                              | Animal    | Bryozoa                    | -72100000     | -66000000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -70600000     | -66000000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -70600000     | -66000000    | Ammodiscus
Ammosphaeroidina                         | Micro     | Foraminifera               | -70600000     | -66000000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -70600000     | -66000000    | Ampelopsis
Ampelosaurus                             | Animal    | Chordata                   | -70600000     | -66000000    | Ampelosaurus
Amphiblestrum                            | Animal    | Bryozoa                    | -72100000     | -66000000    | <>
Amphibrachium                            | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Amphidiadema                             | Micro     | Myzozoa                    | -83500000     | -70600000    | <>
Amphidonte                               | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Amphilectella                            | Animal    | Porifera                   | -83500000     | -70600000    | <>
Amphipternis                             | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Amphipyndax                              | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -89300000     | -66000000    | Amphiroa
Amphisphaera                             | Micro     | Radiolaria                 | -70600000     | -66000000    | <>
Amphithelion                             | Animal    | Porifera                   | -83500000     | -70600000    | <>
Amphiura                                 | Animal    | Echinodermata              | -70600000     | -61600000    | Amphiura
Amphizygus                               | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Amphorometra                             | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Amphymenium                              | Micro     | Radiolaria                 | -70600000     | -66000000    | Amphymenium
Ampullina                                | Animal    | Mollusca                   | -100500000    | -66000000    | Ampullina
Amuletum                                 | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Amuremys                                 | Animal    | Chordata                   | -72100000     | -66000000    | <>
Amurosaurus                              | Animal    | Chordata                   | -72100000     | -66000000    | Amurosaurus
Amusium                                  | Animal    | Mollusca                   | -70600000     | -66000000    | Amusium
Amyda                                    | Animal    | Chordata                   | -83500000     | -70600000    | Amyda
Amylodon                                 | Animal    | Chordata                   | -83500000     | -70600000    | Amylodon
Anacardites                              | Plant     | Spermatophyta              | -83500000     | -66000000    | <>
Anacolosidites                           | Plant     | Spermatophyta              | -70600000     | -66000000    | <>
Anagaudryceras                           | Animal    | Mollusca                   | -70600000     | -66000000    | Anagaudryceras
Anaklinoceras                            | Animal    | Mollusca                   | -72100000     | -66000000    | Anaklinoceras
Anasazisaurus                            | Animal    | Chordata                   | -83500000     | -70600000    | Anasazisaurus
Anatalavis                               | Animal    | Chordata                   | -70600000     | -66000000    | Anatalavis
Anatimya                                 | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Anatina                                  | Animal    | Mollusca                   | -70600000     | -66000000    | Anatina
Anatolemys                               | Animal    | Chordata                   | -86300000     | -70600000    | Anatolemys
Anatotitan                               | Animal    | Chordata                   | -70600000     | -66000000    | Anatotitan
Anaulus                                  | Plant     | Ochrophyta                 | -72100000     | -66000000    | <>
Anchaurosaurus                           | Animal    | Chordata                   | -83500000     | -70600000    | Anchaurosaurus
Anchiceratops                            | Animal    | Chordata                   | -70600000     | -66000000    | Anchiceratops
Anchistodelphys                          | Animal    | Chordata                   | -83500000     | -70600000    | <>
Anchura                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Ancistrocrania                           | Animal    | Brachiopoda                | -70600000     | -66000000    | Ancistrocrania
Ancyloceras                              | Animal    | Mollusca                   | -83500000     | -70600000    | Ancyloceras
Andinichthys                             | Animal    | Chordata                   | -72100000     | -66000000    | <>
Andreaea                                 | Animal    | Porifera                   | -83500000     | -70600000    | Andreaea
