Abderospira                              | Animal    | Mollusca                   | -11700        | 2030         | <>
Abies                                    | Plant     | Pinophyta                  | -11700        | 2030         | Abies
Ablepharus                               | Animal    | Chordata                   | -11700        | 2030         | Ablepharus
Abra                                     | Animal    | Mollusca                   | -11700        | 2030         | Abra_(bivalve)
Abrothrix                                | Animal    | Chordata                   | -126000       | 2030         | Abrothrix
Acacia                                   | Plant     | Spermatophyta              | -11700        | 2030         | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -126000       | 2030         | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -11700        | 2030         | Acanthastrea
Acanthephyra                             | Animal    | Arthropoda                 | -11700        | 2030         | Acanthephyra
Acanthina                                | Animal    | Mollusca                   | -11700        | 2030         | Acanthina
Acanthisitta                             | Animal    | Chordata                   | -11700        | 2030         | Acanthisitta
Acanthocardia                            | Animal    | Mollusca                   | -11700        | 2030         | Acanthocardia
Acanthochitona                           | Animal    | Mollusca                   | -2588000      | 2030         | Acanthochitona
Acanthopleura                            | Animal    | Mollusca                   | -11700        | 2030         | Acanthopleura
Acanthurus                               | Animal    | Chordata                   | -11700        | 2030         | Acanthurus
Acar                                     | Animal    | Mollusca                   | -11700        | 2030         | Acar
Accipiter                                | Animal    | Chordata                   | -11700        | 2030         | Accipiter
Acer                                     | Plant     | Spermatophyta              | -11700        | 2030         | Acer
Acervulina                               | Micro     | Foraminifera               | -11700        | 2030         | <>
Acetes                                   | Animal    | Arthropoda                 | -11700        | 2030         | Acetes
Achaeus                                  | Animal    | Arthropoda                 | -11700        | 2030         | <>
Achatina                                 | Animal    | Mollusca                   | -11700        | 2030         | Achatina
Achelous                                 | Animal    | Arthropoda                 | -11700        | 2030         | Achelous
Acicnemis                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Acinonyx                                 | Animal    | Chordata                   | -11700        | 2030         | Acinonyx
Acipenser                                | Animal    | Chordata                   | -11700        | 2030         | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -11700        | 2030         | Acirsa
Aclypea                                  | Animal    | Arthropoda                 | -11700        | 2030         | Aclypea
Acmaea                                   | Animal    | Mollusca                   | -2588000      | 2030         | Acmaea
Acmaeodera                               | Animal    | Arthropoda                 | -11700        | 2030         | Acmaeodera
Acomys                                   | Animal    | Chordata                   | -11700        | 2030         | Acomys
Acrantophis                              | Animal    | Chordata                   | -11700        | 2030         | Acrantophis
Acratocnus                               | Animal    | Chordata                   | -126000       | 2030         | Acratocnus
