Abertella                                | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Abies                                    | Plant     | Pinophyta                  | -11608000     | -5333000     | Abies
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abra                                     | Animal    | Mollusca                   | -23030000     | -5333000     | Abra_(bivalve)
Abrocoma                                 | Animal    | Chordata                   | -9000000      | -6800000     | Abrocoma
Absalomichthys                           | Animal    | Chordata                   | -11608000     | -5333000     | Absalomichthys
Abyssocythere                            | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acanthastrea                             | Animal    | Cnidaria                   | -11608000     | -5333000     | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthocardia
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthochelys                            | Animal    | Chordata                   | -6800000      | -3000000     | Acanthochelys
Acanthochitona                           | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthochitona
Acanthocybium                            | Animal    | Chordata                   | -7246000      | -5333000     | Acanthocybium
Acanthocythereis                         | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Acanthodesia                             | Animal    | Bryozoa                    | -11608000     | -5333000     | <>
Acantholyda                              | Animal    | Arthropoda                 | -8700000      | -5333000     | Acantholyda
Acanthonotos                             | Animal    | Chordata                   | -7246000      | -5333000     | <>
Acanthotrophon                           | Animal    | Mollusca                   | -7246000      | -3600000     | Acanthotrophon
Acarechimys                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Acar                                     | Animal    | Mollusca                   | -11608000     | -5333000     | Acar
Acentrophryne                            | Animal    | Chordata                   | -23030000     | -5333000     | Acentrophryne
Aceratherium                             | Animal    | Chordata                   | -11608000     | -5333000     | Aceratherium
Acerina                                  | Animal    | Chordata                   | -11608000     | -5333000     | <>
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acerorhinus                              | Animal    | Chordata                   | -11608000     | -5333000     | Acerorhinus
Acer                                     | Plant     | Spermatophyta              | -10300000     | -1800000     | Acer
Acervulina                               | Micro     | Foraminifera               | -11608000     | -5333000     | <>
Acesta                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Acesta
Acharax                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Achirus                                  | Animal    | Chordata                   | -7246000      | -5333000     | Achirus
Achlyoscapter                            | Animal    | Chordata                   | -10300000     | -4900000     | <>
Acicula                                  | Animal    | Mollusca                   | -7246000      | -5333000     | Acicula
Acila                                    | Animal    | Mollusca                   | -11608000     | -5333000     | Acila
Acilius                                  | Animal    | Arthropoda                 | -11608000     | -5333000     | Acilius_(beetle)
Acipenser                                | Animal    | Chordata                   | -11608000     | -5333000     | Acipenser
Acmaea                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -55800000     | -5333000     | Acmopyle
Acomys                                   | Animal    | Chordata                   | -23030000     | -2588000     | Acomys
Acrecebus                                | Animal    | Chordata                   | -11608000     | -5333000     | Acrecebus
Acresuchus                               | Animal    | Chordata                   | -11608000     | -5333000     | Acresuchus
Acritohippus                             | Animal    | Chordata                   | -23030000     | -5333000     | Acritohippus
Acrochordus                              | Animal    | Chordata                   | -11608000     | -5333000     | Acrochordus
Acrophoca                                | Animal    | Chordata                   | -11608000     | -5333000     | Acrophoca
Acrophyseter                             | Animal    | Chordata                   | -7246000      | -5333000     | Acrophyseter
Acropoma                                 | Animal    | Chordata                   | -6500000      | -5333000     | Acropoma
Acropora                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Acropora
Acropsammia                              | Animal    | Cnidaria                   | -23030000     | -5333000     | <>
Acrosterigma                             | Animal    | Mollusca                   | -11608000     | -5333000     | Acrosterigma
Acrostichum                              | Plant     | Pteridophyta               | -23030000     | -2588000     | Acrostichum
Acrotrichis                              | Animal    | Arthropoda                 | -7246000      | -5333000     | Acrotrichis
Actaea                                   | Animal    | Arthropoda                 | -7246000      | -5333000     | Actaea_(crab)
Actenomys                                | Animal    | Chordata                   | -6800000      | -3000000     | <>
Acteocina                                | Animal    | Mollusca                   | -11608000     | -5333000     | Acteocina
Acteon                                   | Animal    | Mollusca                   | -11608000     | -3600000     | Acteon
Actinidia                                | Plant     | Spermatophyta              | -11608000     | -3600000     | Actinidia
Actinodonta                              | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Actinotocarcinus                         | Animal    | Arthropoda                 | -15970000     | -1806000     | Actinotocarcinus
Actumnus                                 | Animal    | Arthropoda                 | -23030000     | -2588000     | Actumnus
Adcrocuta                                | Animal    | Chordata                   | -11608000     | -5333000     | Adcrocuta
