Abylea                                   | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Acandylacanthus                          | Animal    | Chordata                   | -315200000    | -307000000   | <>
Acantherpestes                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -313800000    | -305900000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Acanthorhachis                           | Animal    | Chordata                   | -318100000    | -314600000   | Acanthorhachis
Acanthoscapha                            | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Acanthotelson                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -323200000    | -298900000   | <>
Acharax                                  | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Achistrum                                | Animal    | Echinodermata              | -314600000    | -306950000   | Achistrum
Achlamydocarpon                          | Plant     | Lycophyta                  | -318100000    | -314600000   | <>
Acitheca                                 | Plant     | Pteridophyta               | -323200000    | -298900000   | Acitheca
Aclisina                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Acoblatta                                | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -315200000    | -307000000   | Acondylacanthus
Acratia                                  | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Acrolepis                                | Animal    | Chordata                   | -315200000    | -307000000   | Acrolepis
Actinocrinites                           | Animal    | Echinodermata              | -315200000    | -307000000   | Actinocrinites
Acutichiton                              | Animal    | Mollusca                   | -313800000    | -305900000   | Acutichiton
Adamanterpeton                           | Animal    | Chordata                   | -311450000    | -306950000   | Adamanterpeton
Adamantina                               | Animal    | Chordata                   | -315200000    | -307000000   | Adamantina
Adeloblatta                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adeloneura                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adelophthalmus                           | Animal    | Arthropoda                 | -314600000    | -311450000   | Adelophthalmus
Adenoderma                               | Animal    | Chordata                   | -315200000    | -307000000   | <>
Adetognathus                             | Animal    | Chordata                   | -313800000    | -311450000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Adiaphtharsia                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adiphlebia                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Adolarryia                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Aechminella                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Aedoeophasma                             | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Aenigmatoceras                           | Animal    | Mollusca                   | -318100000    | -314600000   | Aenigmatoceras
Aenigmatodes                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aenigmatopsis                            | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Aetophlebia                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aexitrophocrinus                         | Animal    | Echinodermata              | -315200000    | -307000000   | <>
Affinocrinus                             | Animal    | Echinodermata              | -318100000    | -311450000   | <>
Afghanospirifer                          | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Agaeoleptoptera                          | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Agassizodus                              | Animal    | Chordata                   | -315200000    | -307000000   | Agassizodus
Agathiceras                              | Animal    | Mollusca                   | -315200000    | -307000000   | Agathiceras
Ageleodus                                | Animal    | Chordata                   | -314600000    | -306950000   | Ageleodus
Aglaocrinus                              | Animal    | Echinodermata              | -313800000    | -305900000   | Aglaocrinus
Agogoblattina                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Akiyoshiella                             | Micro     | Foraminifera               | -323200000    | -298900000   | <>
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Aktubites                                | Animal    | Mollusca                   | -311450000    | -306950000   | Aktubites
Alanympha                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Alcimocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Alexahymen                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Alispirifer                              | Animal    | Brachiopoda                | -315200000    | -303700000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -313800000    | -305900000   | <>
Aljutovella                              | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Allocatillocrinus                        | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Allorisma                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Alphachoristites                         | Animal    | Brachiopoda                | -315200000    | -307000000   | <>
Altadema                                 | Animal    | Mollusca                   | -309000000    | -306950000   | <>
Alternifenestella                        | Animal    | Bryozoa                    | -323200000    | -298900000   | <>
Althansia                                | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Alurites                                 | Animal    | Mollusca                   | -318100000    | -314600000   | Alurites
Amandophyllum                            | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Amarixys                                 | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Amaurotoma                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Amazonoproductus                         | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Ambloblatta                              | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Amblymylacris                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -315200000    | -307000000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Amboneura                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Ambozone                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Amelacanthus                             | Animal    | Chordata                   | -315200000    | -307000000   | Amelacanthus
Ametretus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Ameura                                   | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -313800000    | -305900000   | <>
Ammodiscella                             | Micro     | Foraminifera               | -314600000    | -298900000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -313800000    | -305900000   | Ammodiscus
Ammovertella                             | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Amousus                                  | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Ampeliptera                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Ampelocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Amphibamus                               | Animal    | Chordata                   | -311450000    | -306950000   | Amphibamus
Amphipeltis                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Amphipsalidocrinus                       | Animal    | Echinodermata              | -313800000    | -305900000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -309000000    | -306950000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -358900000    | -298900000   | Amplexus
Amygdalophylloides                       | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Amynilyspes                              | Animal    | Arthropoda                 | -311450000    | -306950000   | Amynilyspes
Anagesthes                               | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Ananias                                  | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -313800000    | -305900000   | <>
Anarkemina                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anaxeodesmus                             | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Anchicodium                              | Plant     | Chlorophyta                | -323200000    | -307000000   | <>
Anchicrinus                              | Animal    | Echinodermata              | -318100000    | -311450000   | <>
Ancylus                                  | Animal    | Mollusca                   | -314600000    | -311450000   | Ancylus
Andersoniella                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anegertus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -358900000    | -298900000   | <>
Anematina                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Anepitedius                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Angioblastus                             | Animal    | Echinodermata              | -315200000    | -307000000   | <>
Anglolithoneura                          | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anglopterum                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Angyomphalus                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Ankyropteris                             | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Anniedarwinia                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Annularia                                | Plant     | Sphenophyta                | -311450000    | -300200000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Annulispongia                            | Animal    | Porifera                   | -318100000    | -314600000   | <>
Anobasicrinus                            | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Anomomylacris                            | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Anomphalus                               | Animal    | Mollusca                   | -309000000    | -306950000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anozyga                                  | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracaris                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracerpes                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -313800000    | -305900000   | Anthracoceras
Anthracocorides                          | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Anthracodromeus                          | Animal    | Chordata                   | -311450000    | -306950000   | Anthracodromeus
Anthracomartus                           | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Anthracomya                              | Animal    | Mollusca                   | -326400000    | -306950000   | Anthracomya
Anthraconeilo                            | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Anthracophausia                          | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Anthracophrynus                          | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -315200000    | -303700000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anthracosaurus                           | Animal    | Chordata                   | -311450000    | -306950000   | Anthracosaurus
Anthracoscorpio                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracosiro                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Anthracosta                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracotarbus                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracothremma                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthrakoris                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Antronaria                               | Animal    | Brachiopoda                | -315200000    | -307000000   | <>
Anulofusulinella                         | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Anzinia                                  | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Apachella                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantites                               | Animal    | Mollusca                   | -318100000    | -314600000   | Aphantites
Aphantomartus                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aphelomylacris                           | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Aphractus                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Aphthoroblattina                         | Animal    | Arthropoda                 | -311450000    | -306950000   | Aphthoroblattina
Apiculatasporites                        | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Apithanus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Apophthegma                              | Animal    | Arthropoda                 | -311450000    | -306950000   | Apophthegma
Apotocardium                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arachnastraea                            | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Arachnometa                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Araeonema                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arakespongia                             | Animal    | Porifera                   | -318100000    | -314600000   | <>
Arceodomus                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Archaediscus                             | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Archaemegaptilus                         | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -313800000    | -305900000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -313800000    | -305900000   | Archaeolithophyllum
Archaeologus                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archaeometa                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Archaeophasma                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
