Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Acaenasuchus                             | Animal    | Chordata                   | -228000000    | -208500000   | Acaenasuchus
Acallosuchus                             | Animal    | Chordata                   | -228000000    | -208500000   | Acallosuchus
Acanomyphoria                            | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Acanthinites                             | Animal    | Mollusca                   | -215560000    | -212000000   | Acanthinites
Acanthinopus                             | Animal    | Arthropoda                 | -237000000    | -201300000   | Acanthinopus
Acanthochirana                           | Animal    | Arthropoda                 | -215560000    | -212000000   | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Acanthodrepanites                        | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -237000000    | -208500000   | Acanthosphaera
Acanthotheelia                           | Animal    | Echinodermata              | -212000000    | -205600000   | Acanthotheelia
Acanthothetidites                        | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -237000000    | -201300000   | <>
Acanthotropites                          | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Achistrum                                | Animal    | Echinodermata              | -212000000    | -205600000   | Achistrum
Acicularia                               | Plant     | Chlorophyta                | -212000000    | -205600000   | Acicularia
Aciculella                               | Plant     | Chlorophyta                | -228000000    | -208500000   | <>
Acilia                                   | Animal    | Mollusca                   | -215560000    | -212000000   | Acilia
Acoelia                                  | Animal    | Porifera                   | -228000000    | -208500000   | <>
Acrochordiceras                          | Animal    | Mollusca                   | -247200000    | -221500000   | Acrochordiceras
Acrodus                                  | Animal    | Chordata                   | -228000000    | -208500000   | Acrodus
Acrostichites                            | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -237000000    | -208500000   | <>
Acteonella                               | Animal    | Mollusca                   | -237000000    | -201300000   | Acteonella
Acteonina                                | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Actinoconites                            | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Actinodesma                              | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Actinostreon                             | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Acuminatella                             | Animal    | Chordata                   | -228000000    | -208500000   | Acuminatella
Adamanasuchus                            | Animal    | Chordata                   | -228000000    | -208500000   | Adamanasuchus
Adelobasileus                            | Animal    | Chordata                   | -228000000    | -208500000   | Adelobasileus
Ademosyne                                | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Ademosynoides                            | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Adiyamanium                              | Micro     | Radiolaria                 | -215560000    | -205600000   | <>
Adygella                                 | Animal    | Brachiopoda                | -221500000    | -215560000   | <>
Adygelloides                             | Animal    | Brachiopoda                | -228000000    | -201300000   | <>
Adygellopsis                             | Animal    | Brachiopoda                | -221500000    | -215560000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Aequipecten                              | Animal    | Mollusca                   | -221500000    | -215560000   | Aequipecten
Aeroplana                                | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Aethophyllum                             | Plant     | Pinophyta                  | -228000000    | -201300000   | <>
Aetobarbakinoides                        | Animal    | Chordata                   | -237000000    | -208500000   | Aetobarbakinoides
Aetosauroides                            | Animal    | Chordata                   | -237000000    | -208500000   | Aetosauroides
Aetosaurus                               | Animal    | Chordata                   | -215560000    | -212000000   | Aetosaurus
Agathammina                              | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -237000000    | -201300000   | Agathoxylon
Agglutisolena                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Aghdarbandites                           | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Aipteris                                 | Plant     | Peltaspermophyta           | -228000000    | -201300000   | <>
Aksopora                                 | Animal    | Porifera                   | -212000000    | -205600000   | <>
Aksumya                                  | Animal    | Mollusca                   | -221500000    | -215560000   | <>
Alakiria                                 | Animal    | Cnidaria                   | -221500000    | -215560000   | <>
Alemoatherium                            | Animal    | Chordata                   | -237000000    | -208500000   | Alemoatherium
Alexeyisaurus                            | Animal    | Chordata                   | -228000000    | -208500000   | Alexeyisaurus
Aliabadia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Alinka                                   | Animal    | Arthropoda                 | -228000000    | -208500000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -237000000    | -201300000   | <>
Alloclionites                            | Animal    | Mollusca                   | -212000000    | -205600000   | Alloclionites
Allocosmia                               | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Alostrobus                               | Plant     | Coniferophyta              | -237000000    | -201300000   | <>
Alpinophragmium                          | Micro     | Foraminifera               | -212000000    | -201300000   | <>
Alpinophyllia                            | Animal    | Cnidaria                   | -228000000    | -208500000   | <>
Alpinoseris                              | Animal    | Cnidaria                   | -228000000    | -201300000   | <>
Alpinothalamia                           | Animal    | Porifera                   | -212000000    | -205600000   | <>
Altinerina                               | Micro     | Foraminifera               | -228000000    | -201300000   | <>
Altochara                                | Plant     | Charophyta                 | -228000000    | -208500000   | <>
Amarassites                              | Animal    | Mollusca                   | -215560000    | -212000000   | Amarassites
Amauropsis                               | Animal    | Mollusca                   | -228000000    | -201300000   | Amauropsis
Amblysiphonella                          | Animal    | Porifera                   | -212000000    | -201300000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -228000000    | -201300000   | <>
Ameghinichnus                            | Animal    | Chordata                   | -228000000    | -208500000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -212000000    | -205600000   | Ammodiscus
Ammonites                                | Animal    | Mollusca                   | -221500000    | -215560000   | Ammonites
Ammotibetites                            | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Amoenirhynchia                           | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Amonotis                                 | Animal    | Mollusca                   | -215560000    | -212000000   | <>
Ampakabastraea                           | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Ampezzalina                              | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Ampezzania                               | Animal    | Mollusca                   | -228000000    | -208500000   | <>
Ampezzonaticopsis                        | Animal    | Mollusca                   | -232000000    | -221500000   | <>
