Aboilus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abolescus                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrderma                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrenthorrhinus                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrocossus                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrohadeocoleodes                        | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrosaurus                               | Animal    | Chordata                   | -163500000    | -157300000   | Abrosaurus
Abrotoma                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrotoxyela                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abrotus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Abscondus                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -161200000    | -145000000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -161200000    | -155700000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -163500000    | -145000000   | Acanthodiscus
Acanthogyra                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Acanthothiris                            | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Acastea                                  | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Acesta                                   | Animal    | Mollusca                   | -161200000    | -153500000   | Acesta
Acheonus                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Achistrum                                | Animal    | Echinodermata              | -161200000    | -155700000   | Achistrum
Achrysopilus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acicularia                               | Plant     | Chlorophyta                | -161200000    | -150800000   | Acicularia
Acisarcuatus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aclemus                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aclistophasma                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acmaeoderimorpha                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Acrocidaris                              | Animal    | Echinodermata              | -161200000    | -155700000   | <>
Acrocoelites                             | Animal    | Mollusca                   | -163500000    | -157300000   | Acrocoelites
Acrocythere                              | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Acrodus                                  | Animal    | Chordata                   | -163500000    | -145000000   | Acrodus
Acropeltis                               | Animal    | Echinodermata              | -163500000    | -157300000   | <>
Acrosalenia                              | Animal    | Echinodermata              | -161200000    | -155700000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -163500000    | -157300000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -163500000    | -145000000   | <>
Acteonina                                | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Actinomma                                | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Actinoporella                            | Plant     | Chlorophyta                | -161200000    | -150800000   | <>
Actinostreon                             | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Actinostroma                             | Animal    | Porifera                   | -166100000    | -157300000   | <>
Actinostromina                           | Animal    | Porifera                   | -163500000    | -150800000   | <>
Actostroma                               | Animal    | Porifera                   | -163500000    | -145000000   | <>
Acuariceras                              | Animal    | Mollusca                   | -161200000    | -155700000   | Acuariceras
Adelocoenia                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Adiagnostus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
