Aartsenia                                | Animal    | Mollusca                   | -3600000      | -2588000     | Aartsenia
Abalosia                                 | Animal    | Chordata                   | -3600000      | -2588000     | <>
Abies                                    | Plant     | Pinophyta                  | -23030000     | -2588000     | Abies
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -3600000      | -2588000     | Abra_(bivalve)
Abrocoma                                 | Animal    | Chordata                   | -3600000      | -2588000     | Abrocoma
Abrothrix                                | Animal    | Chordata                   | -3600000      | -2588000     | Abrothrix
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -5333000      | -781000      | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -3600000      | -2588000     | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -3600000      | -2588000     | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -3600000      | -2588000     | Acanthocardia
Acanthochelys                            | Animal    | Chordata                   | -6800000      | -3000000     | Acanthochelys
Acanthochitona                           | Animal    | Mollusca                   | -3600000      | -2588000     | Acanthochitona
Acanthocinus                             | Animal    | Arthropoda                 | -3600000      | -2588000     | Acanthocinus
Acanthodactylus                          | Animal    | Chordata                   | -3600000      | -2588000     | Acanthodactylus
Acanthodesia                             | Animal    | Bryozoa                    | -3600000      | -2588000     | <>
Acar                                     | Animal    | Mollusca                   | -3600000      | 2030         | Acar
Aceratherium                             | Animal    | Chordata                   | -23030000     | -2588000     | Aceratherium
Acer                                     | Plant     | Spermatophyta              | -10300000     | -1800000     | Acer
Acervulina                               | Micro     | Foraminifera               | -5333000      | -11700       | <>
Acesta                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Acesta
Acharax                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Achatina                                 | Animal    | Mollusca                   | -5333000      | -11700       | Achatina
Achnanthes                               | Plant     | Ochrophyta                 | -3600000      | -1806000     | Achnanthes
Acila                                    | Animal    | Mollusca                   | -3600000      | -2588000     | Acila
Acinonyx                                 | Animal    | Chordata                   | -3200000      | -2588000     | Acinonyx
Acipenser                                | Animal    | Chordata                   | -15970000     | -781000      | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Acirsa
Aclis                                    | Animal    | Mollusca                   | -3600000      | -2588000     | Aclis
Acmaea                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Acmaea
Acmaturris                               | Animal    | Mollusca                   | -3600000      | -2588000     | Acmaturris
Acomys                                   | Animal    | Chordata                   | -23030000     | -2588000     | Acomys
Acrilla                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Acroloxus                                | Animal    | Mollusca                   | -5333000      | -11700       | Acroloxus
Acropora                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Acropora
Acrosterigma                             | Animal    | Mollusca                   | -3600000      | -2588000     | Acrosterigma
Acrostichum                              | Plant     | Pteridophyta               | -23030000     | -2588000     | Acrostichum
Actenomys                                | Animal    | Chordata                   | -3600000      | -2588000     | <>
Acteocina                                | Animal    | Mollusca                   | -3600000      | -1806000     | Acteocina
Acteon                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Acteon
Actinidia                                | Plant     | Spermatophyta              | -3600000      | -2588000     | Actinidia
Actinocyclus                             | Plant     | Ochrophyta                 | -3600000      | -2588000     | Actinocyclus
Actinoptychus                            | Plant     | Ochrophyta                 | -3600000      | -2588000     | Actinoptychus
Actinotocarcinus                         | Animal    | Arthropoda                 | -15970000     | -1806000     | Actinotocarcinus
Actitis                                  | Animal    | Chordata                   | -4900000      | -1800000     | Actitis
Actonia                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Actumnus                                 | Animal    | Arthropoda                 | -23030000     | -2588000     | Actumnus
Addisonia                                | Animal    | Mollusca                   | -3600000      | -2588000     | Addisonia
Adelges                                  | Animal    | Arthropoda                 | -3600000      | -2588000     | Adelges
Adelocythara                             | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Adelomelon                               | Animal    | Mollusca                   | -3600000      | -2588000     | Adelomelon
Adeona                                   | Animal    | Bryozoa                    | -3600000      | -2588000     | Adeona
Adeonella                                | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Adeonellopsis                            | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Adeorbis                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Adeorbis
Admete                                   | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Admetula                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Admetula
Adrana                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Adrana
Adusta                                   | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Aechmella                                | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Aechmophorus                             | Animal    | Chordata                   | -4900000      | -1800000     | Aechmophorus
Aedes                                    | Animal    | Arthropoda                 | -4900000      | -1800000     | Aedes
Aegypius                                 | Animal    | Chordata                   | -5333000      | -2588000     | Aegypius
Aepycamelus                              | Animal    | Chordata                   | -10300000     | -1800000     | Aepycamelus
Aepyceros                                | Animal    | Chordata                   | -11608000     | -2588000     | Aepyceros
Aepyprymnus                              | Animal    | Chordata                   | -23030000     | -2588000     | Aepyprymnus
Aequipecten                              | Animal    | Mollusca                   | -23030000     | -11700       | Aequipecten
Aesopus                                  | Animal    | Mollusca                   | -3600000      | -1806000     | <>
Aethesia                                 | Animal    | Chordata                   | -5333000      | -11700       | Aethesia
Aethomys                                 | Animal    | Chordata                   | -5333000      | -11700       | Aethomys
Africanacetus                            | Animal    | Chordata                   | -11608000     | 2030         | Africanacetus
Afrozoila                                | Animal    | Mollusca                   | -11608000     | -2588000     | <>
Agabus                                   | Animal    | Arthropoda                 | -3600000      | -2588000     | <>
Agama                                    | Animal    | Chordata                   | -3600000      | -2588000     | Agama
Agapornis                                | Animal    | Chordata                   | -5333000      | -11700       | Agapornis
Agaricia                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Agaricia
Agariste                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Agariste_(gastropod)
Agaronia                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Agaronia
Agassizia                                | Animal    | Echinodermata              | -3600000      | -781000      | Agassizia
Agathaeromys                             | Animal    | Chordata                   | -3600000      | 2030         | Agathaeromys
Agathistoma                              | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Agathotoma                               | Animal    | Mollusca                   | -5333000      | -2588000     | Agathotoma
Agatrix                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Agatrix
Agelaius                                 | Animal    | Chordata                   | -4900000      | -1800000     | Agelaius
Agkistrodon                              | Animal    | Chordata                   | -4900000      | -1800000     | Agkistrodon
Agladrillia                              | Animal    | Mollusca                   | -3600000      | -2588000     | Agladrillia
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
