Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -190800000    | -182700000   | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -189600000    | -183000000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Acanthodesmia                            | Micro     | Radiolaria                 | -190800000    | -168300000   | <>
Acanthopleuroceras                       | Animal    | Mollusca                   | -189600000    | -183000000   | Acanthopleuroceras
Acanthorhina                             | Animal    | Chordata                   | -183000000    | -182000000   | Acanthorhina
Acanthoteuthis                           | Animal    | Mollusca                   | -190800000    | -182700000   | Acanthoteuthis
Acanthothiris                            | Animal    | Brachiopoda                | -189600000    | -183000000   | <>
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -190800000    | -182700000   | Achistrum
Acratia                                  | Animal    | Arthropoda                 | -189600000    | -183000000   | <>
Acridiopsis                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Acrocoelites                             | Animal    | Mollusca                   | -183000000    | -182000000   | Acrocoelites
Acrocythere                              | Animal    | Arthropoda                 | -189600000    | -183000000   | <>
Acrodus                                  | Animal    | Chordata                   | -190800000    | -182700000   | Acrodus
Acromocoris                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Acrostichites                            | Plant     | Pteridophyta               | -201300000    | -174100000   | <>
Acteonina                                | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -190800000    | -182700000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -183000000    | -182000000   | <>
Actinomma                                | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Actinophlebia                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Actinoptilon                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Actinostreon                             | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adelocoris                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Adeopapposaurus                          | Animal    | Chordata                   | -201300000    | -174100000   | Adeopapposaurus
Adnethiceras                             | Animal    | Mollusca                   | -196500000    | -189600000   | Adnethiceras
Aegasteroceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Aegasteroceras
Aeger                                    | Animal    | Arthropoda                 | -196500000    | -189600000   | Aeger
Aegoceras                                | Animal    | Mollusca                   | -189600000    | -183000000   | Aegoceras
