Abditoloculina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Acanthocrinus                            | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Acanthodes                               | Animal    | Chordata                   | -409100000    | -402500000   | Acanthodes
Acanthodus                               | Animal    | Chordata                   | -419200000    | -393300000   | Acanthodus
Acanthophyllum                           | Animal    | Cnidaria                   | -409100000    | -402500000   | Acanthophyllum
Acanthopyge                              | Animal    | Arthropoda                 | -409100000    | -391900000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -409100000    | -402500000   | <>
Acastava                                 | Animal    | Arthropoda                 | -416000000    | -407600000   | Acastava
Acaste                                   | Animal    | Arthropoda                 | -410800000    | -407600000   | Acaste
Acastella                                | Animal    | Arthropoda                 | -410800000    | -407600000   | Acastella
Acastoides                               | Animal    | Arthropoda                 | -410800000    | -393300000   | Acastoides
Acinophyllum                             | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Acodina                                  | Animal    | Chordata                   | -419200000    | -393300000   | <>
Acodus                                   | Animal    | Chordata                   | -419200000    | -407600000   | Acodus
Acrophyllum                              | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Acrospirifer                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Actinodesma                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Actinodictyon                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Actinopteria                             | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Actinostroma                             | Animal    | Porifera                   | -410800000    | -402500000   | <>
Actinostromella                          | Animal    | Porifera                   | -410800000    | -407600000   | <>
Aculatostroma                            | Animal    | Porifera                   | -419200000    | -407600000   | <>
Acutiramus                               | Animal    | Arthropoda                 | -410800000    | -407600000   | Acutiramus
Adiagoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Adolfia                                  | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -409100000    | -383700000   | <>
Aenigmaticumcrinus                       | Animal    | Echinodermata              | -410800000    | -387700000   | <>
Aesopomum                                | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Aethaspis                                | Animal    | Chordata                   | -419200000    | -407600000   | Aethaspis
Afrops                                   | Animal    | Arthropoda                 | -410800000    | -407600000   | Afrops
Agniesella                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Agoniatites                              | Animal    | Mollusca                   | -419200000    | -358900000   | Agoniatites
Akrosphaerorthoceras                     | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Alaina                                   | Animal    | Lophotrochozoa             | -409100000    | -402500000   | Alaina
Alaionema                                | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Alaskacirrus                             | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Alaskiella                               | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Alberticoryphe                           | Animal    | Arthropoda                 | -409100000    | -387700000   | <>
Aldanispirifer                           | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Alkenia                                  | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Alkenopterus                             | Animal    | Arthropoda                 | -409100000    | -402500000   | Alkenopterus
Alkhovikovia                             | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Allanetes                                | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Allocryptaspis                           | Animal    | Chordata                   | -419200000    | -407600000   | <>
Altajella                                | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Alternatus                               | Animal    | Lophotrochozoa             | -410800000    | -407600000   | Alternatus
Althaspis                                | Animal    | Chordata                   | -419200000    | -407600000   | Althaspis
Altshedata                               | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Alveolitella                             | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Alveolites                               | Animal    | Cnidaria                   | -409100000    | -382700000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Ambonychia                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Amissopecten                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Amnestostroma                            | Animal    | Porifera                   | -419200000    | -393300000   | <>
Amoenophyllites                          | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Amoenospirifer                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Amosina                                  | Animal    | Brachiopoda                | -423000000    | -391900000   | <>
Amphigenia                               | Animal    | Brachiopoda                | -416000000    | -391900000   | <>
Amphipora                                | Animal    | Porifera                   | -409100000    | -402500000   | <>
Amplexiphyllum                           | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Amsdenoides                              | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Amydrotaxis                              | Animal    | Chordata                   | -410800000    | -407600000   | <>
Anabaia                                  | Animal    | Brachiopoda                | -423000000    | -391900000   | <>
Anarcestes                               | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Anarconcha                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Anaspyroceras                            | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Anastrophia                              | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Anathyris                                | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Anatrypa                                 | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Anchiopsis                               | Animal    | Arthropoda                 | -410800000    | -407600000   | Anchiopsis
Ancillotoechia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Ancoradella                              | Animal    | Chordata                   | -425600000    | -391900000   | <>
Ancyrochitina                            | Micro     | Sarcodina                  | -419200000    | -407600000   | Ancyrochitina
Ancyrocrinus                             | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Ancyrodelloides                          | Animal    | Chordata                   | -410800000    | -407600000   | <>
Andenothyone                             | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Andinacaste                              | Animal    | Arthropoda                 | -423000000    | -391900000   | Andinacaste
Anetoceras                               | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Angeisonoceras                           | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Angochitina                              | Micro     | Sarcodina                  | -410800000    | -407600000   | Angochitina
Anomalotoechus                           | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Anomphalus                               | Animal    | Mollusca                   | -410800000    | -407600000   | Anomphalus
Anoplia                                  | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Anostylostroma                           | Animal    | Porifera                   | -410800000    | -407600000   | <>
Antarctilamna                            | Animal    | Chordata                   | -419200000    | -393300000   | Antarctilamna
Anthracoporella                          | Plant     | Chlorophyta                | -410800000    | -393300000   | <>
Antigyra                                 | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Antihomocrinus                           | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Antipleura                               | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Antirhynchonella                         | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Antitrochus                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Antizyga                                 | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Anulipecten                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Aparchitellina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Aparchites                               | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Aphrosalpinx                             | Animal    | Porifera                   | -423000000    | -407600000   | <>
Aphyctoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Apocalymene                              | Animal    | Arthropoda                 | -410800000    | -407600000   | Apocalymene
Apurocrinus                              | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Archaeomartus                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaeometa                              | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Archaeothrix                             | Micro     | Cyanobacteria              | -410800000    | -407600000   | <>
Archasterina                             | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Archiacoceras                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arctipeltis                              | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Arctozone                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Arduspirifer                             | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Areostrophia                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Argentinaster                            | Animal    | Echinodermata              | -419200000    | -393300000   | <>
Arionoceras                              | Animal    | Mollusca                   | -423000000    | -391900000   | Arionoceras
Arkonoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Arthracantha                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Arthroacantha                            | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Arthrophyllum                            | Animal    | Mollusca                   | -409100000    | -388100000   | Arthrophyllum
Asarcophyllum                            | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Aseptalium                               | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Aseptirhynchia                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Asinomphalus                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Asperocrinus                             | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Aspidotheca                              | Animal    | Mollusca                   | -412300000    | -409100000   | <>
Asteracanthus                            | Animal    | Chordata                   | -419200000    | -358900000   | Asteracanthus
Asteropyge                               | Animal    | Arthropoda                 | -410800000    | -407600000   | Asteropyge
Asteroxylon                              | Plant     | Lycopodophyta              | -410800000    | -407600000   | Asteroxylon
Astoceras                                | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Astrictophyllum                          | Animal    | Cnidaria                   | -410800000    | -402500000   | <>
Astutorhyncha                            | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Astycoryphe                              | Animal    | Arthropoda                 | -409100000    | -388100000   | <>
Astylospongia                            | Animal    | Porifera                   | -410800000    | -407600000   | <>
Asymmetrochonetes                        | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
