Abderina                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Abderina
Abderospira                              | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Abdounia                                 | Animal    | Chordata                   | -37200000     | -33900000    | Abdounia
Abelater                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Abelater
Aberrokorynetes                          | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Abies                                    | Plant     | Pinophyta                  | -37200000     | -23030000    | Abies
Ablabesmyia                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Ablabesmyia
Ablator                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Ablator
Abra                                     | Animal    | Mollusca                   | -47800000     | -33900000    | Abra_(bivalve)
Abrosomys                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Absonocytheropteron                      | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Absyrtus                                 | Animal    | Arthropoda                 | -37200000     | -33900000    | Absyrtus
Abyssocypris                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Acaena                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Acaena
Acaenitus                                | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Acalles                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Acalles
Acallomyia                               | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Acalypha                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Acalypha
Acamana                                  | Animal    | Chordata                   | -42000000     | -36000000    | <>
Acampsohelcon                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -48600000     | -37200000    | Acanthocardia
Acanthochermes                           | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Acanthogalathea                          | Animal    | Arthropoda                 | -38000000     | -33900000    | Acanthogalathea
Acanthoglyptus                           | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Acarinina                                | Micro     | Foraminifera               | -41300000     | -33900000    | Acarinina
Acar                                     | Animal    | Mollusca                   | -37200000     | -33900000    | Acar
Acartophthalmites                        | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Acerotella                               | Animal    | Arthropoda                 | -38000000     | -33900000    | Acerotella
Acer                                     | Plant     | Spermatophyta              | -37200000     | -23030000    | Acer
Acervulina                               | Micro     | Foraminifera               | -38000000     | -33900000    | <>
Acesta                                   | Animal    | Mollusca                   | -55800000     | -33900000    | Acesta
Achaenodon                               | Animal    | Chordata                   | -40400000     | -37200000    | Achaenodon
Achalcus                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Achalcus
Acharax                                  | Animal    | Mollusca                   | -37200000     | -28400000    | <>
Achatina                                 | Animal    | Mollusca                   | -37200000     | -33900000    | Achatina
Acherontemys                             | Animal    | Chordata                   | -37200000     | -33900000    | Acherontemys
Acheta                                   | Animal    | Arthropoda                 | -38000000     | -33900000    | Acheta
Achetomorpha                             | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Achrestocoris                            | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Achrochordiella                          | Animal    | Porifera                   | -41300000     | -33900000    | <>
Acicularia                               | Plant     | Chlorophyta                | -38000000     | -33900000    | Acicularia
Acila                                    | Animal    | Mollusca                   | -37200000     | -33900000    | Acila
Acilius                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Acilius_(beetle)
Aclerogamasus                            | Animal    | Arthropoda                 | -38000000     | -33900000    | Aclerogamasus
Aclistomycter                            | Animal    | Chordata                   | -37200000     | -33900000    | Aclistomycter
Acmaea                                   | Animal    | Mollusca                   | -37200000     | -33900000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -48600000     | -33900000    | Acmopyle
Acnemia                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Acnemia
Acocephalus                              | Animal    | Arthropoda                 | -37200000     | -33900000    | <>
Acotherulum                              | Animal    | Chordata                   | -37200000     | -33900000    | <>
Acourtia                                 | Animal    | Arthropoda                 | -38000000     | -33900000    | Acourtia
Acrilla                                  | Animal    | Mollusca                   | -37200000     | -33900000    | <>
Acrobrochus                              | Animal    | Brachiopoda                | -37200000     | -33900000    | Acrobrochus
Acrocyon                                 | Animal    | Chordata                   | -48600000     | -15970000    | <>
