Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Acanomyphoria                            | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Acanthinopus                             | Animal    | Arthropoda                 | -237000000    | -201300000   | Acanthinopus
Acanthocircus                            | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Acanthotheelia                           | Animal    | Echinodermata              | -212000000    | -205600000   | Acanthotheelia
Acanthotriletes                          | Plant     | Lycophyta                  | -237000000    | -201300000   | <>
Achistrum                                | Animal    | Echinodermata              | -212000000    | -205600000   | Achistrum
Acicularia                               | Plant     | Chlorophyta                | -208500000    | -201300000   | Acicularia
Aciculella                               | Plant     | Chlorophyta                | -208500000    | -201300000   | <>
Acmaea                                   | Animal    | Mollusca                   | -208500000    | -201300000   | Acmaea
Acrodus                                  | Animal    | Chordata                   | -208500000    | -201300000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -208500000    | -201300000   | Acrolepis
Acrostichites                            | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Acteonella                               | Animal    | Mollusca                   | -237000000    | -201300000   | Acteonella
Acteonina                                | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Actinoblattula                           | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Actinospongiella                         | Animal    | Porifera                   | -208500000    | -201300000   | <>
Actinostreon                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Actiosaurus                              | Animal    | Chordata                   | -208500000    | -201300000   | Actiosaurus
Adiyamanium                              | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Adygeites                                | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Adygella                                 | Animal    | Brachiopoda                | -228000000    | -201300000   | <>
Adygelloides                             | Animal    | Brachiopoda                | -228000000    | -201300000   | <>
Aeger                                    | Animal    | Arthropoda                 | -208500000    | -201300000   | Aeger
Aenigmaspina                             | Animal    | Chordata                   | -208500000    | -201300000   | Aenigmaspina
Aenne                                    | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Aethophyllum                             | Plant     | Pinophyta                  | -228000000    | -201300000   | <>
Agathammina                              | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -237000000    | -201300000   | Agathoxylon
Ageleodus                                | Animal    | Chordata                   | -208500000    | -201300000   | Ageleodus
Agerchlamys                              | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Agglutisolena                            | Micro     | Foraminifera               | -212000000    | -205600000   | <>
Agkistracanthus                          | Animal    | Chordata                   | -208500000    | -201300000   | Agkistracanthus
Agnosphitys                              | Animal    | Chordata                   | -208500000    | -201300000   | Agnosphitys
Aguilerella                              | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Aipteris                                 | Plant     | Peltaspermophyta           | -208500000    | -201300000   | <>
Aksopora                                 | Animal    | Porifera                   | -212000000    | -205600000   | <>
Alakiria                                 | Animal    | Cnidaria                   | -228000000    | -201300000   | <>
Aliabadia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -208500000    | -201300000   | <>
Alloclionites                            | Animal    | Mollusca                   | -212000000    | -205600000   | Alloclionites
Allocosmia                               | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Alostrobus                               | Plant     | Coniferophyta              | -237000000    | -201300000   | <>
Alpinophragmium                          | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Alpinophyllia                            | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Alpinoseris                              | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Alpinothalamia                           | Animal    | Porifera                   | -212000000    | -205600000   | <>
Altinerina                               | Micro     | Foraminifera               | -228000000    | -201300000   | <>
Alveolacupes                             | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Amarassites                              | Animal    | Mollusca                   | -237000000    | -201300000   | Amarassites
Amauropsis                               | Animal    | Mollusca                   | -228000000    | -201300000   | Amauropsis
Amblysiphonella                          | Animal    | Porifera                   | -208500000    | -201300000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -228000000    | -201300000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -208500000    | -201300000   | Ammodiscus
Ammolagena                               | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Ammovertella                             | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Amoenirhynchia                           | Animal    | Brachiopoda                | -237000000    | -201300000   | <>
Ampakabastraea                           | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Ampezzalina                              | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Ampezzopleura                            | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Amphiclina                               | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Amphitomaria                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Amphitrochus                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -237000000    | -201300000   | <>
Amuria                                   | Micro     | Radiolaria                 | -208500000    | -201300000   | Amuria
Amusium                                  | Animal    | Mollusca                   | -212000000    | -205600000   | Amusium
Analytoceras                             | Animal    | Mollusca                   | -208500000    | -189600000   | Analytoceras
Anaschisma                               | Animal    | Chordata                   | -208500000    | -201300000   | Anaschisma
Anatina                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Anatina
Anchisauripus                            | Animal    | Chordata                   | -208500000    | -196500000   | Anchisauripus
Ancyrogondolella                         | Animal    | Chordata                   | -237000000    | -201300000   | <>
Andangularia                             | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -237000000    | -201300000   | <>
Anepismus                                | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Anguispongia                             | Animal    | Porifera                   | -208500000    | -201300000   | <>
Angularia                                | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Angulaticeras                            | Animal    | Mollusca                   | -208500000    | -189600000   | Angulaticeras
Angulodiscus                             | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Anhydrophilus                            | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Ankylosuchus                             | Animal    | Chordata                   | -237000000    | -201300000   | Ankylosuchus
Annaecoelia                              | Animal    | Porifera                   | -208500000    | -201300000   | <>
Annalepis                                | Plant     | Lycophyta                  | -237000000    | -201300000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -208500000    | -190800000   | <>
Anodontophora                            | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Anomia                                   | Animal    | Mollusca                   | -208500000    | -201300000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -208500000    | -199300000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -208500000    | -174100000   | <>
Anomphalus                               | Animal    | Mollusca                   | -208500000    | -201300000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Antalythalamia                           | Animal    | Porifera                   | -212000000    | -205600000   | <>
Antediplodon                             | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Antevsia                                 | Plant     | Peltaspermophyta           | -208500000    | -174100000   | <>
Anthostylis                              | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -208500000    | -190800000   | <>
Antiquicorbula                           | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Antiquilima                              | Animal    | Mollusca                   | -205600000    | -201600000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -237000000    | -201300000   | Antrimpos
Anulifera                                | Animal    | Mollusca                   | -212000000    | -205600000   | Anulifera
Apachesaurus                             | Animal    | Chordata                   | -208500000    | -201300000   | Apachesaurus
Apatopus                                 | Animal    | Chordata                   | -208500000    | -201300000   | Apatopus
Apertirhynchella                         | Animal    | Brachiopoda                | -237000000    | -201300000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Aplocoma                                 | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Apsendesia                               | Animal    | Bryozoa                    | -208500000    | -201300000   | <>
Arachana                                 | Animal    | Chordata                   | -237000000    | -201300000   | Arachana
Araucarioxylon                           | Plant     | Pinophyta                  | -208500000    | -201300000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -237000000    | -201300000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -208500000    | -201300000   | <>
Arca                                     | Animal    | Mollusca                   | -208500000    | -201300000   | Arca
Arcavicula                               | Animal    | Mollusca                   | -212000000    | -205600000   | <>
Arcestes                                 | Animal    | Mollusca                   | -208500000    | -201300000   | Arcestes
Archaediscus                             | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -208500000    | -201300000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
Archaeopalinurus                         | Animal    | Arthropoda                 | -228000000    | -201300000   | <>
Archaeosemantis                          | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Archaeosmilia                            | Animal    | Cnidaria                   | -228000000    | -201300000   | <>
Archedilaropsis                          | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Archelcana                               | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
Archicercopis                            | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Arctica                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Arctica_(bivalve)
Arcticopora                              | Animal    | Bryozoa                    | -205600000    | -201600000   | <>
Arctomytiloides                          | Animal    | Mollusca                   | -228000000    | -201300000   | <>
Arctosaurus                              | Animal    | Chordata                   | -237000000    | -201300000   | Arctosaurus
Arduorhiza                               | Animal    | Porifera                   | -228000000    | -201300000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -228000000    | -201300000   | <>
Arganodus                                | Animal    | Chordata                   | -237000000    | -201300000   | Arganodus
Arnioceras                               | Animal    | Mollusca                   | -208500000    | -201300000   | Arnioceras
Arpadites                                | Animal    | Mollusca                   | -237000000    | -201300000   | Arpadites
Asoella                                  | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Aspiduriella                             | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Astarte                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -228000000    | -174100000   | Asteracanthus
Asterocalculus                           | Plant     | Rhodophyta                 | -212000000    | -201300000   | <>
Asteroceras                              | Animal    | Mollusca                   | -208500000    | -201300000   | Asteroceras
Asterolepis                              | Animal    | Chordata                   | -208500000    | -201300000   | Asterolepis
Asterotheca                              | Plant     | Pteridophyta               | -208500000    | -201300000   | Asterotheca
Astraeomorpha                            | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Asylosaurus                              | Animal    | Chordata                   | -208500000    | -201300000   | Asylosaurus
