Abadehella                               | Micro     | Foraminifera               | -272300000    | -2.599e+08   | Abadehella
Abajudon                                 | Animal    | Chordata                   | -272300000    | -2.599e+08   | <>
Abashevia                                | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Acaciapora                               | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Acaciaporella                            | Animal    | Cnidaria                   | -272300000    | -268800000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -272300000    | -2.599e+08   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -272300000    | -268800000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Acanthodes                               | Animal    | Chordata                   | -296400000    | -268000000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -272300000    | -2.599e+08   | <>
Acanthophyllum                           | Animal    | Cnidaria                   | -272300000    | -268800000   | Acanthophyllum
Acanthotriletes                          | Plant     | Lycophyta                  | -272500000    | -252300000   | <>
Acentrophorus                            | Animal    | Chordata                   | -272300000    | -268800000   | Acentrophorus
Acharax                                  | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Acheloma                                 | Animal    | Chordata                   | -296400000    | -268000000   | Acheloma
Aclisina                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Acolosia                                 | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -272300000    | -268800000   | Acondylacanthus
Acosarina                                | Animal    | Brachiopoda                | -272300000    | -252170000   | <>
Acratia                                  | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Acritosia                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Acrodus                                  | Animal    | Chordata                   | -272300000    | -268800000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -272300000    | -268800000   | Acrolepis
Acropholis                               | Animal    | Chordata                   | -272300000    | -268800000   | <>
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
